id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,off_camera,duel_type_id,duel_type_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_technique_id,pass_technique_name,pass_through_ball,interception_outcome_id,interception_outcome_name,pass_no_touch,counterpress,dribble_overrun,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_cross,clearance_left_foot,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,clearance_head,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,out,pass_switch,pass_deflected,block_deflection,shot_open_goal,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_key_pass_id,miscontrol_aerial_won,pass_straight,clearance_aerial_won,shot_aerial_won,foul_committed_advantage,foul_won_advantage,pass_inswinging,goalkeeper_punched_out,50_50_outcome_id,50_50_outcome_name,pass_outswinging,foul_won_defensive,pass_goal_assist,ball_recovery_recovery_failure,clearance_other,pass_cut_back,ball_recovery_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_miscommunication,foul_committed_penalty,dribble_nutmeg,timestamp_seconds
031e769b-5836-48f3-8c35-d177f2cddd3d,1511,1,00:31:07.935,31,7,63,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['6e9b68a5-800a-4266-9ad1-a64bc02cca7a'],"[81.6, 64.8]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867.935
b3d576eb-e6da-4f8e-8a01-8b78367e06e3,1512,1,00:31:07.935,31,7,63,2.1781,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['031e769b-5836-48f3-8c35-d177f2cddd3d', '8ebe9730-5cd3-41b1-bc8d-490ba31181eb']","[81.6, 64.8]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,"[81.2, 66.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867.935
8ebe9730-5cd3-41b1-bc8d-490ba31181eb,1513,1,00:31:10.113,31,10,63,1.046,30,Pass,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['fb3b0316-7312-4ea3-8e2c-304d63b564b0'],"[81.2, 66.4]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,4324.0,Daniel Alves da Silva,6.3780875,-2.2896264,1.0,Ground Pass,"[77.0, 61.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870.113
fb3b0316-7312-4ea3-8e2c-304d63b564b0,1514,1,00:31:11.159,31,11,63,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['8ebe9730-5cd3-41b1-bc8d-490ba31181eb'],"[77.0, 61.6]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1871.159
d40edb73-53d4-48d2-86d8-8e00e2399bcc,1515,1,00:31:11.159,31,11,63,0.6851,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['7550551b-4f71-484a-a543-c115abd339ee', 'fb3b0316-7312-4ea3-8e2c-304d63b564b0']","[77.0, 61.6]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,"[77.0, 61.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1871.159
7550551b-4f71-484a-a543-c115abd339ee,1516,1,00:31:11.844,31,11,63,0.7677,30,Pass,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['72873eb6-a455-4efb-9f71-5c0b8eb3f800'],"[77.0, 61.6]",4324.0,Daniel Alves da Silva,2.0,Right Back,5503.0,Lionel Andrés Messi Cuccittini,9.276314,-0.1952814,1.0,Ground Pass,"[86.1, 59.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1871.844
72873eb6-a455-4efb-9f71-5c0b8eb3f800,1517,1,00:31:12.612,31,12,63,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['7550551b-4f71-484a-a543-c115abd339ee'],"[86.1, 59.8]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872.612
bb08ce53-3c71-4bc5-8c5e-fdb80e25dc8a,1518,1,00:31:12.612,31,12,63,2.139099,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['72873eb6-a455-4efb-9f71-5c0b8eb3f800', '764ad8ed-bfa1-4e87-a307-0e23f4f18d9b', 'ab51cfe1-8f10-4f9a-b1f2-000525ce23e6']","[86.1, 59.8]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,"[94.3, 50.9]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872.612
ab51cfe1-8f10-4f9a-b1f2-000525ce23e6,1519,1,00:31:13.000,31,13,63,0.810425,17,Pressure,217,Barcelona,7,From Goal Kick,322,Eibar,,,['bb08ce53-3c71-4bc5-8c5e-fdb80e25dc8a'],"[34.9, 23.5]",6775.0,Daniel García Carrillo,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873.0
7cb26228-b03a-4484-9c0d-6ab25a3736e5,1520,1,00:31:13.819,31,13,63,0.763217,17,Pressure,217,Barcelona,7,From Goal Kick,322,Eibar,,,,"[28.3, 31.7]",24453.0,Josip Radošević,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873.819
