id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,under_pressure,counterpress,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_cross,pass_switch,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_right_foot,out,shot_first_time,pass_inswinging,pass_technique_id,pass_technique_name,pass_straight,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,foul_won_advantage,clearance_left_foot,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_deflected,block_deflection,pass_outswinging,clearance_other,injury_stoppage_in_chain,ball_recovery_recovery_failure,miscontrol_aerial_won,dribble_overrun,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,dribble_no_touch,shot_one_on_one,shot_aerial_won,timestamp_seconds
b542e93e-13b0-4ca0-8bc6-22fa49d2f67f,211,1,00:04:40.028,4,40,13,0.967429,30,Pass,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['273b0e0d-0b70-4fbd-82b5-157874b22f7d'],,"[42.0, 61.1]",19668.0,Augusto Matías Fernández,10.0,Center Defensive Midfield,6804.0,Sergi Gómez Solà,13.230646,2.566168,1.0,Ground Pass,"[30.9, 68.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.028
273b0e0d-0b70-4fbd-82b5-157874b22f7d,212,1,00:04:40.995,4,40,13,,42,Ball Receipt*,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['b542e93e-13b0-4ca0-8bc6-22fa49d2f67f'],,"[30.9, 68.3]",6804.0,Sergi Gómez Solà,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.995
2497a987-81f8-4423-9767-f60ff6ede360,213,1,00:04:40.995,4,40,13,1.014365,43,Carry,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,"['19e8e8fe-e2ff-4001-9bdd-b5a7e93b6e2f', '273b0e0d-0b70-4fbd-82b5-157874b22f7d']",,"[30.9, 68.3]",6804.0,Sergi Gómez Solà,3.0,Right Center Back,,,,,,,,,,,,"[29.3, 67.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.995
19e8e8fe-e2ff-4001-9bdd-b5a7e93b6e2f,214,1,00:04:42.009,4,42,13,2.136415,30,Pass,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['9d8bf555-2d5b-43e6-b792-fb4f862a43a3'],,"[29.3, 67.0]",6804.0,Sergi Gómez Solà,3.0,Right Center Back,6884.0,Sergio Álvarez Conde,27.789207,-2.284887,1.0,Ground Pass,"[11.1, 46.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.009
9d8bf555-2d5b-43e6-b792-fb4f862a43a3,215,1,00:04:44.146,4,44,13,,42,Ball Receipt*,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['19e8e8fe-e2ff-4001-9bdd-b5a7e93b6e2f'],,"[11.1, 46.0]",6884.0,Sergio Álvarez Conde,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.146
34f9d7a3-cbde-427b-9442-2cd03685f910,216,1,00:04:44.146,4,44,13,0.08,43,Carry,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,"['52fd34a5-2a38-4fb9-bbca-f421b7003fff', '9d8bf555-2d5b-43e6-b792-fb4f862a43a3']",,"[11.1, 46.0]",6884.0,Sergio Álvarez Conde,1.0,Goalkeeper,,,,,,,,,,,,"[11.1, 46.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.146
52fd34a5-2a38-4fb9-bbca-f421b7003fff,217,1,00:04:44.226,4,44,13,1.301231,30,Pass,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['682ef883-9914-4a86-9283-fd4cdd7a2aae'],,"[11.1, 46.0]",6884.0,Sergio Álvarez Conde,1.0,Goalkeeper,6890.0,Andreu Fontàs Prat,25.058731,-1.2162293,1.0,Ground Pass,"[19.8, 22.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.226
682ef883-9914-4a86-9283-fd4cdd7a2aae,218,1,00:04:45.527,4,45,13,,42,Ball Receipt*,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['52fd34a5-2a38-4fb9-bbca-f421b7003fff'],,"[19.8, 22.5]",6890.0,Andreu Fontàs Prat,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.527
589c3755-59b1-454a-90bf-714675fd6c1b,219,1,00:04:45.527,4,45,13,4.392881,43,Carry,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,"['4f7d0f5a-e599-4ddd-a1b0-bfff883365ac', '682ef883-9914-4a86-9283-fd4cdd7a2aae']",,"[19.8, 22.5]",6890.0,Andreu Fontàs Prat,5.0,Left Center Back,,,,,,,,,,,,"[34.2, 20.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.527
4f7d0f5a-e599-4ddd-a1b0-bfff883365ac,220,1,00:04:49.920,4,49,13,1.351117,30,Pass,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['4d354cb5-a141-4e35-880d-24671dcb50fa'],,"[34.2, 20.0]",6890.0,Andreu Fontàs Prat,5.0,Left Center Back,5217.0,Iago Aspas Juncal,31.945265,0.6967423,3.0,High Pass,"[58.7, 40.5]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.92
4d354cb5-a141-4e35-880d-24671dcb50fa,221,1,00:04:51.271,4,51,13,,42,Ball Receipt*,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['4f7d0f5a-e599-4ddd-a1b0-bfff883365ac'],,"[58.7, 40.5]",5217.0,Iago Aspas Juncal,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.271
