id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,pass_aerial_won,duel_type_id,duel_type_name,counterpress,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,miscontrol_aerial_won,pass_switch,foul_committed_advantage,foul_won_advantage,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,foul_won_defensive,clearance_aerial_won,dribble_nutmeg,out,pass_through_ball,pass_outswinging,clearance_left_foot,pass_cut_back,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,foul_committed_card_id,foul_committed_card_name,pass_no_touch,bad_behaviour_card_id,bad_behaviour_card_name,shot_aerial_won,pass_deflected,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_other,block_offensive,dribble_overrun,ball_recovery_offensive,pass_goal_assist,shot_open_goal,timestamp_seconds
8825fa8d-ab40-4d0e-9e2d-4c37ad2fa2b5,3109,2,00:30:27.953,75,27,185,2.603976,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['98eab842-571e-4bf9-afdb-99af14d3ba3a', 'bf6984b4-1f50-43d7-b1b5-e086698b2bbc']",,"[36.1, 19.5]",6573.0,Bernardo José Espinosa Zúñiga,5.0,Left Center Back,6602.0,Miguel Ángel Guerrero Martín,44.77689,0.4856221,3.0,High Pass,"[75.7, 40.4]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827.953
98eab842-571e-4bf9-afdb-99af14d3ba3a,3110,2,00:30:30.557,75,30,185,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['8825fa8d-ab40-4d0e-9e2d-4c37ad2fa2b5'],,"[76.1, 39.2]",6602.0,Miguel Ángel Guerrero Martín,22.0,Right Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830.557
44e4c57d-edc3-48e1-9019-5af4c061eba8,3111,2,00:30:30.557,75,30,185,0.0,4,Duel,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['bf6984b4-1f50-43d7-b1b5-e086698b2bbc'],,"[75.7, 40.4]",6602.0,Miguel Ángel Guerrero Martín,22.0,Right Center Forward,,,,,,,,,,,,,,,,,True,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830.557
bf6984b4-1f50-43d7-b1b5-e086698b2bbc,3112,2,00:30:30.557,75,30,185,0.0,9,Clearance,1041,Sporting Gijón,1,Regular Play,207,Valencia,,,"['44e4c57d-edc3-48e1-9019-5af4c061eba8', '8825fa8d-ab40-4d0e-9e2d-4c37ad2fa2b5']",,"[44.4, 39.7]",4406.0,Aymen Abdennour,5.0,Left Center Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,37.0,Head,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,1830.557
30150ed1-939a-4160-8415-35f15fa8dfb1,3113,2,00:30:30.844,75,30,185,0.0,22,Foul Committed,1041,Sporting Gijón,1,Regular Play,207,Valencia,,,['779651d7-bcfa-4ac2-ae56-7ee130f72b78'],,"[44.8, 38.7]",4406.0,Aymen Abdennour,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830.844
779651d7-bcfa-4ac2-ae56-7ee130f72b78,3114,2,00:30:30.844,75,30,185,0.0,21,Foul Won,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['30150ed1-939a-4160-8415-35f15fa8dfb1'],,"[75.3, 41.4]",6602.0,Miguel Ángel Guerrero Martín,22.0,Right Center Forward,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830.844
a15020de-f1a3-42e6-82db-d4108a143eca,3115,2,00:30:31.425,75,31,185,0.0,2,Ball Recovery,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,,,"[75.0, 55.1]",23838.0,Pablo Pérez Rodríguez,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831.425
ec80e285-1d4a-4079-a28a-8148ce80a02c,3116,2,00:30:31.425,75,31,185,1.084534,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['a15020de-f1a3-42e6-82db-d4108a143eca', 'b052d639-2386-4a01-ab9d-4ba6dbce09bd', 'e2962010-c62a-42d2-ac8e-e65f0c6c9d6f']",,"[75.0, 55.1]",23838.0,Pablo Pérez Rodríguez,12.0,Right Midfield,,,,,,,,,,,,"[72.8, 56.1]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831.425
e2962010-c62a-42d2-ac8e-e65f0c6c9d6f,3117,2,00:30:31.942,75,31,185,0.6165,17,Pressure,1041,Sporting Gijón,1,Regular Play,207,Valencia,,,"['b052d639-2386-4a01-ab9d-4ba6dbce09bd', 'ec80e285-1d4a-4079-a28a-8148ce80a02c']",,"[46.2, 26.3]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831.942
b052d639-2386-4a01-ab9d-4ba6dbce09bd,3118,2,00:30:32.510,75,32,185,1.00441,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['d8795729-7829-419a-a1bb-68361e97d62b', 'e2962010-c62a-42d2-ac8e-e65f0c6c9d6f']",,"[72.8, 56.1]",23838.0,Pablo Pérez Rodríguez,12.0,Right Midfield,26633.0,Alberto Lora Ramos,10.440307,2.2066348,2.0,Low Pass,"[66.6, 64.5]",40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832.51
