id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,pass_no_touch,pass_switch,interception_outcome_id,interception_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,out,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_other,clearance_body_part_id,clearance_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_head,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,dribble_overrun,ball_recovery_offensive,foul_committed_advantage,foul_won_advantage,pass_cut_back,clearance_right_foot,foul_won_defensive,ball_recovery_recovery_failure,pass_through_ball,foul_committed_type_id,foul_committed_type_name,clearance_aerial_won,pass_miscommunication,pass_goal_assist,shot_deflected,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,pass_outswinging,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_won_penalty,clearance_left_foot,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
2401f09b-afdb-4db4-86d0-b441b9532308,3076,2,00:36:27.485,81,27,168,0.0,2,Ball Recovery,213,Sevilla,1,Regular Play,213,Sevilla,,,['35804679-c5eb-4fd3-bc50-22651477b8a3'],,"[6.5, 44.7]",6823.0,Sergio Rico González,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187.485,0.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.30715911842293897
5e850795-fab8-4976-8d86-96f008c1502e,3077,2,00:36:27.485,81,27,168,12.293941,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['2401f09b-afdb-4db4-86d0-b441b9532308', '2f013ed7-85b6-4315-9beb-bb44a2fcab65']",,"[6.5, 44.7]",6823.0,Sergio Rico González,1.0,Goalkeeper,,,,,,,,,,,,"[9.9, 48.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187.485,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9467715938595018
2f013ed7-85b6-4315-9beb-bb44a2fcab65,3078,2,00:36:39.779,81,39,168,1.882026,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['f5e70dd7-0d0f-4032-916a-4ece4715b564'],,"[9.9, 48.4]",6823.0,Sergio Rico González,1.0,Goalkeeper,6825.0,Daniel Filipe Martins Carriço,17.780045,0.7257082,1.0,Ground Pass,"[23.2, 60.2]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199.779,12.293999999999869,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.24316473728911114
f5e70dd7-0d0f-4032-916a-4ece4715b564,3079,2,00:36:41.661,81,41,168,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['2f013ed7-85b6-4315-9beb-bb44a2fcab65'],,"[23.2, 60.2]",6825.0,Daniel Filipe Martins Carriço,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201.661,1.8820000000000618,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8418107053774032
129a3e40-2a41-4e19-9ab4-fd443f05b36c,3080,2,00:36:41.661,81,41,168,2.574375,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['47532945-e514-4500-a4be-ea4179a27a9d', 'f5e70dd7-0d0f-4032-916a-4ece4715b564']",,"[23.2, 60.2]",6825.0,Daniel Filipe Martins Carriço,3.0,Right Center Back,,,,,,,,,,,,"[27.6, 66.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201.661,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17376240947928123
47532945-e514-4500-a4be-ea4179a27a9d,3081,2,00:36:44.236,81,44,168,0.851717,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['0111d39c-d925-4cb2-91c6-d57b37c9ebd2'],,"[27.6, 66.9]",6825.0,Daniel Filipe Martins Carriço,3.0,Right Center Back,6356.0,Michael Krohn-Dehli,15.394155,-0.37930012,1.0,Ground Pass,"[41.9, 61.2]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2204.236,2.574999999999818,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9567689673605292
0111d39c-d925-4cb2-91c6-d57b37c9ebd2,3082,2,00:36:45.087,81,45,168,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['47532945-e514-4500-a4be-ea4179a27a9d'],,"[41.9, 61.2]",6356.0,Michael Krohn-Dehli,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205.087,0.8510000000001128,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7728625330500964
3ef64a06-6628-442c-9f0f-27179c910aa4,3083,2,00:36:45.087,81,45,168,0.791729,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['0111d39c-d925-4cb2-91c6-d57b37c9ebd2', 'eb5c2fc5-5473-4379-9fb4-ebafeb169b41']",,"[41.9, 61.2]",6356.0,Michael Krohn-Dehli,21.0,Left Wing,,,,,,,,,,,,"[41.9, 61.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205.087,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.46608584952087795
eb5c2fc5-5473-4379-9fb4-ebafeb169b41,3084,2,00:36:45.879,81,45,168,0.497454,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['9893a9f3-77e6-46bc-a41b-c19824c42c38'],,"[41.9, 61.2]",6356.0,Michael Krohn-Dehli,21.0,Left Wing,6841.0,Víctor Machín Pérez,8.631338,-0.1746722,1.0,Ground Pass,"[50.4, 59.7]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205.879,0.7919999999999163,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8058729813389139
1cc4a323-eab1-4839-b90a-2fe7b5e67047,3085,2,00:36:46.150,81,46,168,0.454521,17,Pressure,213,Sevilla,1,Regular Play,215,Athletic Club,,,"['2484410a-f093-494e-89cc-7a10cccf11c5', '9893a9f3-77e6-46bc-a41b-c19824c42c38']",,"[66.5, 20.4]",6789.0,Mikel Balenziaga Oruesagasti,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2206.15,0.27100000000018554,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.23611491009976726
9893a9f3-77e6-46bc-a41b-c19824c42c38,3086,2,00:36:46.377,81,46,168,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,"['1cc4a323-eab1-4839-b90a-2fe7b5e67047', 'eb5c2fc5-5473-4379-9fb4-ebafeb169b41']",,"[50.4, 59.7]",6841.0,Víctor Machín Pérez,17.0,Right Wing,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2206.377,0.22699999999986176,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6605704722179201
2484410a-f093-494e-89cc-7a10cccf11c5,3087,2,00:36:46.377,81,46,168,1.580887,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,"['1cc4a323-eab1-4839-b90a-2fe7b5e67047', '6c623bd3-9a21-4a0b-9c55-0f4738ad8368']",,"[48.4, 58.6]",6841.0,Víctor Machín Pérez,17.0,Right Wing,6825.0,Daniel Filipe Martins Carriço,17.647663,2.2437673,3.0,High Pass,"[37.4, 72.4]",,,40.0,Right Foot,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2206.377,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.15823555479967444
6c623bd3-9a21-4a0b-9c55-0f4738ad8368,3088,2,00:36:47.957,81,47,168,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['2484410a-f093-494e-89cc-7a10cccf11c5'],,"[37.4, 72.4]",6825.0,Daniel Filipe Martins Carriço,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207.957,1.5799999999999272,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.38573793723342764
46de4250-bb2f-4c9c-a3f0-4dd4a1a421c3,3089,2,00:36:47.957,81,47,168,2.172483,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['016f8647-79cc-4eb4-bd82-20faf2f21edd', '6c623bd3-9a21-4a0b-9c55-0f4738ad8368']",,"[37.4, 72.4]",6825.0,Daniel Filipe Martins Carriço,3.0,Right Center Back,,,,,,,,,,,,"[38.9, 74.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207.957,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5924070395990597
016f8647-79cc-4eb4-bd82-20faf2f21edd,3090,2,00:36:50.130,81,50,168,0.729556,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['db6cc900-4206-4dbf-a0d5-31d419175761'],,"[38.9, 74.8]",6825.0,Daniel Filipe Martins Carriço,3.0,Right Center Back,6841.0,Víctor Machín Pérez,16.042444,-0.62604654,1.0,Ground Pass,"[51.9, 65.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210.13,2.173000000000229,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.10325605528675263
db6cc900-4206-4dbf-a0d5-31d419175761,3091,2,00:36:50.859,81,50,168,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['016f8647-79cc-4eb4-bd82-20faf2f21edd'],,"[51.9, 65.4]",6841.0,Víctor Machín Pérez,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210.859,0.7289999999998145,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.156457223742969
e6adbdda-f9cb-49ca-94e0-488cd9d37adc,3092,2,00:36:50.859,81,50,168,3.866847,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['732f6fa2-02c8-4936-8e5d-c2af5d1d6bb6', 'ace68b9c-db2e-4627-a573-8fa18093bbe8', 'db6cc900-4206-4dbf-a0d5-31d419175761']",,"[51.9, 65.4]",6841.0,Víctor Machín Pérez,17.0,Right Wing,,,,,,,,,,,,"[67.6, 61.2]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210.859,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3727806308425847
732f6fa2-02c8-4936-8e5d-c2af5d1d6bb6,3093,2,00:36:53.836,81,53,168,0.727218,17,Pressure,213,Sevilla,1,Regular Play,215,Athletic Club,,,['e6adbdda-f9cb-49ca-94e0-488cd9d37adc'],,"[56.5, 16.5]",6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2213.836,2.9769999999998618,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.8431483112171636
