id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,out,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_cross,clearance_head,foul_committed_advantage,foul_won_advantage,clearance_right_foot,goalkeeper_end_location,pass_technique_id,pass_technique_name,pass_outswinging,pass_switch,bad_behaviour_card_id,bad_behaviour_card_name,shot_aerial_won,clearance_aerial_won,miscontrol_aerial_won,dribble_overrun,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,shot_one_on_one,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_goal_assist,pass_cut_back,pass_deflected,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
836edafb-5fc3-4b70-a6c9-845167b11de1,2811,2,00:21:56.675,66,56,168,0.0,3,Dispossessed,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,,,"['0574fae4-762d-4bdc-81a3-6a58edb9d36c', 'c7cbbb78-eb9c-4e10-87fd-7913699034e0']",,"[107.4, 3.1]",11539.0,Adrián Embarba Blázquez,6.0,Left Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316.675,4.772999999999911,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6937751745542718
c7cbbb78-eb9c-4e10-87fd-7913699034e0,2812,2,00:21:56.675,66,56,168,0.0,4,Duel,360,Rayo Vallecano,7,From Goal Kick,215,Athletic Club,,,['836edafb-5fc3-4b70-a6c9-845167b11de1'],,"[12.7, 77.0]",6389.0,Mikel San José Domínguez,17.0,Right Wing,,,,,,,,,,,,,,,,,True,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316.675,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1948671407400301
45f73adc-ffa8-4ca9-a774-68b8acb5bcde,2813,2,00:22:02.140,67,2,169,1.777316,30,Pass,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['a4326a14-6d54-4f25-b244-9b78ef8e503a'],,"[97.8, 0.1]",7900.0,Tiago Manuel Dias Correia,16.0,Left Midfield,18404.0,José Ángel Crespo Rincón,15.875768,2.8078904,2.0,Low Pass,"[82.8, 5.3]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322.14,5.4650000000001455,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7430669964518886
a4326a14-6d54-4f25-b244-9b78ef8e503a,2814,2,00:22:03.917,67,3,169,,42,Ball Receipt*,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['45f73adc-ffa8-4ca9-a774-68b8acb5bcde'],,"[82.8, 5.3]",18404.0,José Ángel Crespo Rincón,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.917,1.7769999999998163,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.948474291999893
064843df-1de5-4209-bec5-2436dde00d4f,2815,2,00:22:03.917,67,3,169,0.08,43,Carry,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,"['64f5aa51-ed13-44a8-a85d-b9bbcfd8498c', 'a4326a14-6d54-4f25-b244-9b78ef8e503a']",,"[82.8, 5.3]",18404.0,José Ángel Crespo Rincón,5.0,Left Center Back,,,,,,,,,,,,"[81.1, 5.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.917,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9370234602627415
64f5aa51-ed13-44a8-a85d-b9bbcfd8498c,2816,2,00:22:03.997,67,3,169,1.307689,30,Pass,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['d9f8a2cb-f95a-4799-8acd-5a68edfcf04d'],,"[81.1, 5.3]",18404.0,José Ángel Crespo Rincón,5.0,Left Center Back,7900.0,Tiago Manuel Dias Correia,10.5948105,-0.3068263,3.0,High Pass,"[91.2, 2.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.997,0.08000000000015461,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.39034290032896646
d9f8a2cb-f95a-4799-8acd-5a68edfcf04d,2817,2,00:22:05.305,67,5,169,,42,Ball Receipt*,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['64f5aa51-ed13-44a8-a85d-b9bbcfd8498c'],,"[91.2, 2.1]",7900.0,Tiago Manuel Dias Correia,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325.305,1.3079999999999927,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17847171247753468
9fef5403-d578-40bb-91ac-ba41c34c051d,2818,2,00:22:05.305,67,5,169,1.659933,43,Carry,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,"['2f8bd472-cbfa-47f2-a2bd-3c1cfde97b73', 'd9f8a2cb-f95a-4799-8acd-5a68edfcf04d', 'e11044fd-505f-4733-9f4d-54384aa9536a']",,"[91.2, 2.1]",7900.0,Tiago Manuel Dias Correia,16.0,Left Midfield,,,,,,,,,,,,"[91.2, 2.1]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325.305,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.030967197480327835
e11044fd-505f-4733-9f4d-54384aa9536a,2819,2,00:22:06.323,67,6,169,0.802805,17,Pressure,360,Rayo Vallecano,4,From Throw In,215,Athletic Club,,,"['058f3e49-bf78-476a-b624-5fcc2178b5ec', '2f8bd472-cbfa-47f2-a2bd-3c1cfde97b73', '9fef5403-d578-40bb-91ac-ba41c34c051d']",,"[28.9, 78.0]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326.323,1.018000000000029,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7920794631578641
9351c5aa-f22c-44a6-8c10-c35ea7013cc0,2820,2,00:22:06.965,67,6,169,0.0,39,Dribbled Past,360,Rayo Vallecano,4,From Throw In,215,Athletic Club,,,"['058f3e49-bf78-476a-b624-5fcc2178b5ec', '2f8bd472-cbfa-47f2-a2bd-3c1cfde97b73']",,"[28.9, 78.0]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326.965,0.6419999999998254,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3446671711926299
