id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,pass_cross,pass_switch,off_camera,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,out,pass_outswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_left_foot,clearance_right_foot,interception_outcome_id,interception_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,clearance_aerial_won,shot_one_on_one,shot_open_goal,miscontrol_aerial_won,foul_committed_card_id,foul_committed_card_name,pass_miscommunication,dribble_overrun,ball_recovery_recovery_failure,shot_aerial_won,shot_first_time,foul_committed_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,pass_through_ball,pass_cut_back,foul_won_advantage,bad_behaviour_card_id,bad_behaviour_card_name,dribble_nutmeg,pass_deflected,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
b055ed58-c166-4f42-8ed6-6c1fac6a1ae0,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,214,Espanyol,1,Regular Play,214,Espanyol,4231.0,"[{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 5}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.3389770108024558
5f0aa15e-2267-453a-a53e-93874c1ed852,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,214,Espanyol,1,Regular Play,207,Valencia,433.0,"[{'player': {'id': 6898, 'name': 'Jaume Doménech Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 27482, 'name': 'Aderllan Leandro de Jesus Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6596, 'name': 'José Luis Gayà Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10037, 'name': 'Danilo Barbosa da Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6725, 'name': 'Zakaria Bakkali'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.4196258527646608
0172aa87-8a2b-4796-a5c9-f703621ec8b7,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,214,Espanyol,1,Regular Play,214,Espanyol,,,['7037b989-6169-41cb-9c80-cffe42abb8d7'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.4157763394353795
7037b989-6169-41cb-9c80-cffe42abb8d7,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,214,Espanyol,1,Regular Play,207,Valencia,,,['0172aa87-8a2b-4796-a5c9-f703621ec8b7'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.3898192362737444
b1ed1318-e918-432a-9465-69b646853aeb,5,1,00:00:01.136,0,1,2,0.541233,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,['c68b6278-7373-4625-a17d-cd73c94bb151'],"[60.0, 40.0]",7781.0,Felipe Salvador Caicedo Corozo,23.0,Center Forward,5719.0,Marco Asensio Willemsen,3.905125,-1.6220335,1.0,Ground Pass,"[59.8, 36.1]",38.0,Left Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.136,1.136,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5657615951782423
c68b6278-7373-4625-a17d-cd73c94bb151,6,1,00:00:01.678,0,1,2,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['b1ed1318-e918-432a-9465-69b646853aeb'],"[59.8, 36.1]",5719.0,Marco Asensio Willemsen,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.678,0.542,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.330569192106721
169547ce-754c-4e6a-98f0-f4172f5f2e97,7,1,00:00:01.678,0,1,2,2.34052,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,['4a9b6c2d-49f8-4c40-b5bb-b80a5b2483fa'],"[59.8, 35.7]",5719.0,Marco Asensio Willemsen,19.0,Center Attacking Midfield,6762.0,Álvaro González Soberón,27.018513,2.5351117,1.0,Ground Pass,"[37.6, 51.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.678,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.9291842942240788
4a9b6c2d-49f8-4c40-b5bb-b80a5b2483fa,8,1,00:00:04.018,0,4,2,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['169547ce-754c-4e6a-98f0-f4172f5f2e97'],"[37.6, 51.1]",6762.0,Álvaro González Soberón,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.018,2.34,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1274347053780316
f3de470b-2f87-408b-b77b-c0917e0e79b9,9,1,00:00:04.018,0,4,2,2.279999,43,Carry,214,Espanyol,9,From Kick Off,214,Espanyol,,,"['4a9b6c2d-49f8-4c40-b5bb-b80a5b2483fa', 'a49c3e25-ebdf-47ff-8da5-ed660b09f8bd']","[37.6, 51.1]",6762.0,Álvaro González Soberón,3.0,Right Center Back,,,,,,,,,,,,"[44.3, 55.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.018,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7386379135400284
a49c3e25-ebdf-47ff-8da5-ed660b09f8bd,10,1,00:00:06.298,0,6,2,3.015237,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,['9d59f010-a797-44c2-8856-27752e08a085'],"[44.3, 55.9]",6762.0,Álvaro González Soberón,3.0,Right Center Back,7781.0,Felipe Salvador Caicedo Corozo,49.784534,0.058284014,3.0,High Pass,"[94.0, 58.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.298,2.2800000000000002,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7326589231733803
