id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,out,counterpress,pass_miscommunication,foul_committed_type_id,foul_committed_type_name,dribble_outcome_id,dribble_outcome_name,pass_cross,clearance_right_foot,off_camera,duel_outcome_id,duel_outcome_name,miscontrol_aerial_won,clearance_left_foot,pass_switch,pass_deflected,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,pass_through_ball,pass_technique_id,pass_technique_name,foul_committed_card_id,foul_committed_card_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,foul_committed_advantage,foul_won_advantage,foul_won_defensive,shot_one_on_one,goalkeeper_outcome_id,goalkeeper_outcome_name,shot_aerial_won,pass_no_touch,shot_first_time,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,dribble_nutmeg,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_outswinging,pass_inswinging,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,bad_behaviour_card_id,bad_behaviour_card_name,shot_open_goal,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
d1dbb71e-eeb8-4d1f-b4b2-29008928f1de,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,442.0,"[{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4788, 'name': 'Jesús Gámez Duarte'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6383, 'name': 'Thomas Teye Partey'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 6377, 'name': 'Ángel Martín Correa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 16}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5710843696894705
f436b555-5ec7-4f59-aa95-2b5e7a94be32,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,212,Atlético Madrid,1,Regular Play,322,Eibar,4141.0,"[{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 24508, 'name': 'Manuel Castellano Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 9462, 'name': 'José Ignacio Peleteiro Ramallo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7417810775588781
c800ac62-a30c-4062-9fc3-a822c62588cb,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['49b94190-c6eb-4c61-b45b-e2574aec98bf'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.37868801468093927
49b94190-c6eb-4c61-b45b-e2574aec98bf,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,212,Atlético Madrid,1,Regular Play,322,Eibar,,,['c800ac62-a30c-4062-9fc3-a822c62588cb'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.7207724510076666
2014ea0b-09da-46be-83c6-39c5c2ed841b,5,1,00:00:00.876,0,0,2,0.292719,30,Pass,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,['3947a713-2f6e-4db9-850a-cc8c7173203d'],"[61.0, 40.1]",6377.0,Ángel Martín Correa,24.0,Left Center Forward,5199.0,Jorge Resurrección Merodio,3.0610456,2.2404354,1.0,Ground Pass,"[59.1, 42.5]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.876,0.876,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7346045431790755
3947a713-2f6e-4db9-850a-cc8c7173203d,6,1,00:00:01.169,0,1,2,,42,Ball Receipt*,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,['2014ea0b-09da-46be-83c6-39c5c2ed841b'],"[59.1, 42.5]",5199.0,Jorge Resurrección Merodio,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.169,0.29300000000000004,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.24413080734835635
2a08e68a-5c09-4cd0-83c0-1f782dcfc33f,7,1,00:00:01.169,0,1,2,0.726157,43,Carry,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,"['3947a713-2f6e-4db9-850a-cc8c7173203d', 'caaf881d-ec47-4572-a2dc-cec802ef0341']","[59.1, 42.5]",5199.0,Jorge Resurrección Merodio,11.0,Left Defensive Midfield,,,,,,,,,,,,"[57.8, 42.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.169,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.47195785206023577
caaf881d-ec47-4572-a2dc-cec802ef0341,8,1,00:00:01.895,0,1,2,1.120404,30,Pass,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,['12e5b7b6-5c54-4f3e-9334-97caf113eff7'],"[57.8, 42.3]",5199.0,Jorge Resurrección Merodio,11.0,Left Defensive Midfield,6384.0,Gabriel Fernández Arenas,14.876156,-2.7773147,1.0,Ground Pass,"[43.9, 37.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.895,0.726,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7377534015396455
12e5b7b6-5c54-4f3e-9334-97caf113eff7,9,1,00:00:03.015,0,3,2,,42,Ball Receipt*,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,['caaf881d-ec47-4572-a2dc-cec802ef0341'],"[43.9, 37.0]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.015,1.12,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9710689026697948
4b71d5b9-1ac5-4ec8-88df-ac5cc7249bcc,10,1,00:00:03.015,0,3,2,1.444529,43,Carry,212,Atlético Madrid,9,From Kick Off,212,Atlético Madrid,,,"['12e5b7b6-5c54-4f3e-9334-97caf113eff7', 'ac7e8d18-b8c4-41cb-b870-acf0cb421109']","[43.9, 37.0]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,"[43.9, 37.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.015,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9955107460653011
