id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,out,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,dribble_outcome_id,dribble_outcome_name,pass_switch,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,dribble_overrun,pass_cross,pass_through_ball,pass_technique_id,pass_technique_name,miscontrol_aerial_won,pass_goal_assist,shot_deflected,block_deflection,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_outswinging,clearance_aerial_won,pass_deflected,foul_won_defensive,pass_inswinging,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_one_on_one,shot_aerial_won,50_50_outcome_id,50_50_outcome_name,dribble_nutmeg,pass_cut_back,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_left_foot,pass_no_touch,foul_committed_card_id,foul_committed_card_name,foul_committed_advantage,foul_won_advantage,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
ca11677a-3ac8-47b4-870c-71cc51715763,1058,1,00:27:38.129,27,38,63,1.3210241,43,Carry,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,"['0b62c8e2-d778-41cb-bfb6-2b19b530a4cc', '2af6d9a4-b6cc-42ba-985d-5ab99bcd2330']","[22.5, 15.3]",18404.0,José Ángel Crespo Rincón,5.0,Left Center Back,,,,,,,,,,,,"[23.2, 13.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.129,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3730561978103496
2af6d9a4-b6cc-42ba-985d-5ab99bcd2330,1059,1,00:27:39.450,27,39,63,0.865628,30,Pass,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,['c0185407-2850-43d9-a8bd-f660553a49c4'],"[23.2, 13.2]",18404.0,José Ángel Crespo Rincón,5.0,Left Center Back,6914.0,Roberto Román Triguero,20.110197,-0.57283133,1.0,Ground Pass,"[40.1, 2.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659.45,1.32100000000014,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.21860376968151018
c0185407-2850-43d9-a8bd-f660553a49c4,1060,1,00:27:40.316,27,40,63,,42,Ball Receipt*,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,['2af6d9a4-b6cc-42ba-985d-5ab99bcd2330'],"[40.1, 2.3]",6914.0,Roberto Román Triguero,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660.316,0.8659999999999854,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9050871322827655
17eb46f3-3d20-4fa2-beb7-167cf79ff898,1061,1,00:27:40.316,27,40,63,0.733519,43,Carry,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,"['934f4b45-4c6c-4c59-b742-3c379464b3b2', '9a53b681-0642-409c-993c-6ec8c37e0670', 'c0185407-2850-43d9-a8bd-f660553a49c4']","[40.1, 2.3]",6914.0,Roberto Román Triguero,6.0,Left Back,,,,,,,,,,,,"[38.6, 1.2]",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660.316,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.051840311947826456
934f4b45-4c6c-4c59-b742-3c379464b3b2,1062,1,00:27:40.785,27,40,63,0.488979,17,Pressure,360,Rayo Vallecano,8,From Keeper,220,Real Madrid,,,"['17eb46f3-3d20-4fa2-beb7-167cf79ff898', '9a53b681-0642-409c-993c-6ec8c37e0670']","[79.4, 76.5]",6399.0,Gareth Frank Bale,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660.785,0.46900000000005093,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.01306612107064642
9a53b681-0642-409c-993c-6ec8c37e0670,1063,1,00:27:41.049,27,41,63,1.716163,30,Pass,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,"['934f4b45-4c6c-4c59-b742-3c379464b3b2', '9f592fed-a269-48e6-b5c3-e10923bb396c', 'eb259e4f-30c6-41d7-bca0-d9f23306b0c2']","[38.6, 1.2]",6914.0,Roberto Román Triguero,6.0,Left Back,7900.0,Tiago Manuel Dias Correia,20.931316,0.47646743,3.0,High Pass,"[57.2, 10.8]",40.0,Right Foot,,,,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661.049,0.2639999999998963,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4614894469814077
9f592fed-a269-48e6-b5c3-e10923bb396c,1064,1,00:27:42.765,27,42,63,,42,Ball Receipt*,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,['9a53b681-0642-409c-993c-6ec8c37e0670'],"[61.4, 5.7]",7900.0,Tiago Manuel Dias Correia,21.0,Left Wing,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.765,1.7160000000001219,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6947585786324552
eb259e4f-30c6-41d7-bca0-d9f23306b0c2,1065,1,00:27:42.765,27,42,64,0.0,2,Ball Recovery,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['9a53b681-0642-409c-993c-6ec8c37e0670'],"[62.9, 69.3]",20016.0,Kléper Laveran Lima Ferreira,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.765,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04467420729606819
ecb6f51e-e2dc-4503-8143-535fd5f8008a,1066,1,00:27:42.765,27,42,64,3.339783,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['4e7167d2-774b-4f2b-a980-5af372782b16', 'e393ca34-5d29-40de-ae37-fa30cc94f39b', 'eb259e4f-30c6-41d7-bca0-d9f23306b0c2']","[62.9, 69.3]",20016.0,Kléper Laveran Lima Ferreira,3.0,Right Center Back,,,,,,,,,,,,"[66.1, 68.0]",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.765,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22460148660065815
4e7167d2-774b-4f2b-a980-5af372782b16,1067,1,00:27:45.031,27,45,64,1.341054,17,Pressure,220,Real Madrid,1,Regular Play,360,Rayo Vallecano,,,"['e393ca34-5d29-40de-ae37-fa30cc94f39b', 'ecb6f51e-e2dc-4503-8143-535fd5f8008a']","[52.0, 14.1]",4711.0,Pablo Hernández Domínguez,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665.031,2.265999999999849,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3513801781422853
