id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,carry_end_location,dribble_outcome_id,dribble_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,foul_won_defensive,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,out,clearance_right_foot,pass_inswinging,clearance_left_foot,dribble_overrun,interception_outcome_id,interception_outcome_name,pass_cross,shot_one_on_one,shot_first_time,goalkeeper_end_location,pass_miscommunication,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,foul_won_advantage,ball_recovery_recovery_failure,pass_goal_assist,shot_deflected,block_deflection,pass_outswinging,pass_deflected,pass_cut_back,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,shot_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
2afc22a3-0c4b-4c05-871c-6c5dfff9fcfc,2539,2,00:24:06.657,69,6,149,1.429454,17,Pressure,223,Málaga,3,From Free Kick,223,Málaga,,,"['9de50723-0252-48f8-b370-aac1885b045b', 'e75c9aeb-457a-486e-8493-c14e863b34dd']",,"[113.7, 22.7]",8234.0,Ignacio Camacho Barnola,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446.657,0.12099999999986721,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.9899538940249948
e75c9aeb-457a-486e-8493-c14e863b34dd,2540,2,00:24:08.016,69,8,149,2.093342,30,Pass,223,Málaga,3,From Free Kick,208,Las Palmas,,,"['0e5bb9b4-5bc1-47db-9b1f-1163318249f6', '2afc22a3-0c4b-4c05-871c-6c5dfff9fcfc', '70a8c3c7-7673-4d76-bf39-eda352f2cbb6']",True,"[0.8, 59.7]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,6608.0,Nabil El Zhar,33.92359,0.42540768,3.0,High Pass,"[31.7, 73.7]",40.0,Right Foot,,,9.0,Incomplete,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448.016,1.359000000000151,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3848788025249429
70a8c3c7-7673-4d76-bf39-eda352f2cbb6,2541,2,00:24:10.109,69,10,149,,42,Ball Receipt*,223,Málaga,3,From Free Kick,208,Las Palmas,,,['e75c9aeb-457a-486e-8493-c14e863b34dd'],,"[33.6, 74.5]",6608.0,Nabil El Zhar,12.0,Right Midfield,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.109,2.092999999999847,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22955965688308377
0e5bb9b4-5bc1-47db-9b1f-1163318249f6,2542,2,00:24:10.109,69,10,149,0.0,10,Interception,223,Málaga,3,From Free Kick,223,Málaga,,,['e75c9aeb-457a-486e-8493-c14e863b34dd'],,"[88.4, 6.4]",6844.0,Federico Ricca Rostagnol,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,1450.109,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8366550079461588
7bd6c4d7-5ed4-445d-a741-7aa868362439,2543,2,00:24:10.109,69,10,149,0.873568,43,Carry,223,Málaga,3,From Free Kick,223,Málaga,,,"['0e5bb9b4-5bc1-47db-9b1f-1163318249f6', '2d3dc6a3-c3f3-43c9-a793-575b52138748']",,"[88.4, 6.4]",6844.0,Federico Ricca Rostagnol,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,"[91.1, 1.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.109,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3137706890098658
2d3dc6a3-c3f3-43c9-a793-575b52138748,2544,2,00:24:10.983,69,10,149,1.656928,30,Pass,223,Málaga,3,From Free Kick,223,Málaga,,,['f4e54c03-8a2a-4d82-9cf2-4bdea45a730c'],,"[91.1, 1.9]",6844.0,Federico Ricca Rostagnol,6.0,Left Back,8419.0,Duje Čop,8.072174,0.7328151,1.0,Ground Pass,"[97.1, 7.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.983,0.8740000000000236,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.41938189650220703
f4e54c03-8a2a-4d82-9cf2-4bdea45a730c,2545,2,00:24:12.640,69,12,149,,42,Ball Receipt*,223,Málaga,3,From Free Kick,223,Málaga,,,['2d3dc6a3-c3f3-43c9-a793-575b52138748'],,"[97.1, 7.3]",8419.0,Duje Čop,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.64,1.6570000000001528,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25599994372738233
ce82dec4-6864-4b62-b3d8-9e332653efbb,2546,2,00:24:12.640,69,12,149,1.814352,43,Carry,223,Málaga,3,From Free Kick,223,Málaga,,,"['a54516f5-80dd-4c52-83a5-a00d795641b9', 'ae072db3-2a71-4ab9-8095-21921755e378', 'f4e54c03-8a2a-4d82-9cf2-4bdea45a730c']",,"[97.1, 7.3]",8419.0,Duje Čop,24.0,Left Center Forward,,,,,,,,,,,,,,,,True,,,,,,,"[95.9, 11.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.64,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.31793049515649974
a54516f5-80dd-4c52-83a5-a00d795641b9,2547,2,00:24:14.376,69,14,149,0.468982,17,Pressure,223,Málaga,3,From Free Kick,208,Las Palmas,,,"['ae072db3-2a71-4ab9-8095-21921755e378', 'ce82dec4-6864-4b62-b3d8-9e332653efbb']",,"[24.2, 66.6]",6928.0,Pedro Taunausú Domínguez Placeres,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454.376,1.7359999999998763,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2388444058890563
ae072db3-2a71-4ab9-8095-21921755e378,2548,2,00:24:14.454,69,14,149,1.252856,30,Pass,223,Málaga,3,From Free Kick,223,Málaga,,,"['5371fcd6-bd75-4165-a363-12ac8738bdc4', 'a54516f5-80dd-4c52-83a5-a00d795641b9']",,"[95.9, 11.0]",8419.0,Duje Čop,24.0,Left Center Forward,6764.0,Pablo Fornals Malla,15.387333,2.014098,1.0,Ground Pass,"[89.3, 24.9]",40.0,Right Foot,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454.454,0.07799999999997453,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.03721546180462776
