id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_cross,counterpress,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,out,clearance_left_foot,pass_switch,pass_outswinging,shot_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,off_camera,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,foul_won_defensive,pass_deflected,block_deflection,clearance_right_foot,foul_committed_offensive,pass_straight,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,ball_recovery_recovery_failure,bad_behaviour_card_id,bad_behaviour_card_name,dribble_overrun,pass_goal_assist,pass_through_ball,shot_first_time,pass_cut_back,shot_open_goal,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,pass_no_touch,goalkeeper_punched_out,pass_miscommunication,clearance_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
688f5d9b-e7c5-44f3-a66b-f3deea727cf7,2529,2,00:28:49.491,73,49,176,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['6b65f456-2bbc-47ba-aeb9-cd3e48e33b80'],"[36.3, 32.1]",26781.0,Diego Mainz García,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729.491,1.2560000000000855,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5209924474112564
028b946c-c7a0-405f-9185-d0254aa2f614,2530,2,00:28:49.491,73,49,176,0.896173,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['4e4beb6d-729d-4a82-a5ee-eabf6b244c04', '688f5d9b-e7c5-44f3-a66b-f3deea727cf7']","[36.3, 32.1]",26781.0,Diego Mainz García,5.0,Left Center Back,,,,,,,,,,,,"[36.3, 32.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729.491,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.379235921329797
4e4beb6d-729d-4a82-a5ee-eabf6b244c04,2531,2,00:28:50.387,73,50,176,1.504201,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,['cfbf2eb8-07d0-4393-94b0-11592415754d'],"[36.3, 32.1]",26781.0,Diego Mainz García,5.0,Left Center Back,4498.0,Jean-Sylvain Claude Babin,21.203773,1.5519307,1.0,Ground Pass,"[36.7, 53.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730.387,0.8959999999999582,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.987295121160589
cfbf2eb8-07d0-4393-94b0-11592415754d,2532,2,00:28:51.892,73,51,176,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['4e4beb6d-729d-4a82-a5ee-eabf6b244c04'],"[36.7, 53.3]",4498.0,Jean-Sylvain Claude Babin,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731.892,1.5050000000001091,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6583932210022895
b3c82b9f-eeb9-47f3-a863-ba4ebe90c90e,2533,2,00:28:51.892,73,51,176,1.543893,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['3308e71a-a6c5-4ac3-a225-2a80adecb315', 'cfbf2eb8-07d0-4393-94b0-11592415754d']","[36.7, 53.3]",4498.0,Jean-Sylvain Claude Babin,3.0,Right Center Back,,,,,,,,,,,,"[36.7, 53.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731.892,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12759867566641947
3308e71a-a6c5-4ac3-a225-2a80adecb315,2534,2,00:28:53.435,73,53,176,1.205046,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,['fb27a000-d9de-4fe6-b551-d54b23b49866'],"[36.7, 53.3]",4498.0,Jean-Sylvain Claude Babin,3.0,Right Center Back,20064.0,Hugo Miguel Almeida Costa Lopes,21.88744,1.2692742,1.0,Ground Pass,"[43.2, 74.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1733.435,1.5429999999998927,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.05170824377511285
fb27a000-d9de-4fe6-b551-d54b23b49866,2535,2,00:28:54.640,73,54,176,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['3308e71a-a6c5-4ac3-a225-2a80adecb315'],"[43.2, 74.2]",20064.0,Hugo Miguel Almeida Costa Lopes,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734.64,1.2050000000001546,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17779290259621583
3a13a2fe-7d2d-42ad-b10a-6fcac9168981,2536,2,00:28:54.640,73,54,176,1.927777,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['389e0423-0d1a-405a-aac3-bd8b3e5dfd20', 'fb27a000-d9de-4fe6-b551-d54b23b49866']","[43.2, 74.2]",20064.0,Hugo Miguel Almeida Costa Lopes,2.0,Right Back,,,,,,,,,,,,"[50.2, 74.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734.64,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.32327309165290774
389e0423-0d1a-405a-aac3-bd8b3e5dfd20,2537,2,00:28:56.568,73,56,176,2.444674,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,"['518d1b4b-e72a-4216-b55f-57a022dfdad0', 'd62d02bd-7c9c-4420-a28b-fe2fc7bc35fb']","[50.2, 74.2]",20064.0,Hugo Miguel Almeida Costa Lopes,2.0,Right Back,27109.0,Youssef El-Arabi,47.74191,-0.49550188,3.0,High Pass,"[92.2, 51.5]",40.0,Right Foot,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736.568,1.9279999999998836,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9757197711481657
d62d02bd-7c9c-4420-a28b-fe2fc7bc35fb,2538,2,00:28:59.013,73,59,176,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['389e0423-0d1a-405a-aac3-bd8b3e5dfd20'],"[91.2, 51.5]",27109.0,Youssef El-Arabi,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739.013,2.4449999999999363,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.19193044019788696
