id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,off_camera,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,counterpress,interception_outcome_id,interception_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,pass_switch,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,out,clearance_left_foot,foul_won_defensive,pass_aerial_won,pass_cut_back,pass_deflected,block_deflection,clearance_head,goalkeeper_end_location,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,shot_aerial_won,pass_technique_id,pass_technique_name,pass_outswinging,clearance_aerial_won,pass_through_ball,pass_inswinging,dribble_nutmeg,foul_committed_advantage,foul_won_advantage,injury_stoppage_in_chain,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,pass_miscommunication,pass_no_touch,miscontrol_aerial_won,dribble_overrun,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
0c77de45-a335-438a-85d5-c0088981d8a1,2437,2,00:28:37.608,73,37,163,2.046473,30,Pass,216,Getafe,3,From Free Kick,216,Getafe,,,"['1bc57eb5-67b7-4d94-8d3b-a259a392e00d', '30b413bb-0c7d-4e9d-98a5-3751f4a0581b']","[73.1, 76.1]",6907.0,Pedro León Sánchez Gil,17.0,Right Wing,25881.0,Juan Antonio Rodríguez Villamuela,48.35411,-0.858581,3.0,High Pass,"[104.7, 39.5]",40.0,Right Foot,62.0,Free Kick,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717.608,38.74199999999996,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8771548647395245
1bc57eb5-67b7-4d94-8d3b-a259a392e00d,2438,2,00:28:39.654,73,39,163,,42,Ball Receipt*,216,Getafe,3,From Free Kick,216,Getafe,,,['0c77de45-a335-438a-85d5-c0088981d8a1'],"[103.8, 36.9]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719.654,2.046000000000049,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3051909127659437
f432fa29-fbc8-4181-9415-540b96f578c8,2439,2,00:28:39.654,73,39,163,0.0,4,Duel,216,Getafe,3,From Free Kick,216,Getafe,,,['30b413bb-0c7d-4e9d-98a5-3751f4a0581b'],"[104.7, 39.5]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719.654,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22717956511491677
30b413bb-0c7d-4e9d-98a5-3751f4a0581b,2440,2,00:28:39.654,73,39,163,0.0,9,Clearance,216,Getafe,3,From Free Kick,219,RC Deportivo La Coruña,,,"['0c77de45-a335-438a-85d5-c0088981d8a1', 'f432fa29-fbc8-4181-9415-540b96f578c8']","[15.4, 40.6]",6869.0,Alejandro Arribas Garrido,3.0,Right Center Back,,,,,,,,,,,,,,True,,,,,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,1719.654,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9683903852423602
e4f50c23-bb94-4b0c-b9a6-83f0f5ee70d2,2441,2,00:28:43.211,73,43,163,0.0,2,Ball Recovery,216,Getafe,3,From Free Kick,216,Getafe,,,,"[79.4, 19.1]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723.211,3.5570000000000164,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9357273864461283
5edc3484-792e-4c37-b7c4-cff43ff6bca5,2442,2,00:28:43.211,73,43,163,0.478192,43,Carry,216,Getafe,3,From Free Kick,216,Getafe,,,"['92524ac3-0af7-4d80-9f82-489b90409409', 'e4f50c23-bb94-4b0c-b9a6-83f0f5ee70d2']","[79.4, 19.1]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,,,,,,,,,,,,,"[79.4, 16.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723.211,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8131912428236052
92524ac3-0af7-4d80-9f82-489b90409409,2443,2,00:28:43.689,73,43,163,3.581303,30,Pass,216,Getafe,3,From Free Kick,216,Getafe,,,"['4336ed20-f7a4-4059-af95-f1825beffc98', 'ad9a17d2-ce38-44f2-bc5c-1eea47ef52df']","[79.4, 16.5]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,15893.0,Víctor Rodríguez Romero,26.30076,-0.40239555,3.0,High Pass,"[103.6, 6.2]",38.0,Left Foot,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723.689,0.4780000000000655,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.696343796378964
1cdd6cac-0a20-4893-8926-52650f68fedf,2444,2,00:28:46.838,73,46,163,0.463317,17,Pressure,216,Getafe,3,From Free Kick,216,Getafe,,,['4336ed20-f7a4-4059-af95-f1825beffc98'],"[110.4, 4.7]",15893.0,Víctor Rodríguez Romero,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726.838,3.1489999999998872,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5039872325915312
ad9a17d2-ce38-44f2-bc5c-1eea47ef52df,2445,2,00:28:47.270,73,47,163,,42,Ball Receipt*,216,Getafe,3,From Free Kick,216,Getafe,,,['92524ac3-0af7-4d80-9f82-489b90409409'],"[103.6, 6.4]",15893.0,Víctor Rodríguez Romero,21.0,Left Wing,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1727.27,0.43200000000001637,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9802498681158589
4336ed20-f7a4-4059-af95-f1825beffc98,2446,2,00:28:47.270,73,47,163,0.0,10,Interception,216,Getafe,3,From Free Kick,219,RC Deportivo La Coruña,,,"['1cdd6cac-0a20-4893-8926-52650f68fedf', '92524ac3-0af7-4d80-9f82-489b90409409']","[16.5, 73.9]",6738.0,Juan Francisco Moreno Fuertes,2.0,Right Back,,,,,,,,,,,,,,True,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1727.27,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.8758698058410513
