id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,off_camera,pass_switch,counterpress,interception_outcome_id,interception_outcome_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,foul_won_defensive,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_end_location,clearance_head,pass_cross,pass_inswinging,shot_aerial_won,ball_recovery_recovery_failure,dribble_overrun,foul_committed_advantage,foul_won_advantage,foul_committed_card_id,foul_committed_card_name,clearance_left_foot,foul_committed_type_id,foul_committed_type_name,clearance_aerial_won,shot_first_time,pass_deflected,foul_committed_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,shot_saved_off_target,goalkeeper_shot_saved_off_target,shot_one_on_one,pass_outswinging,goalkeeper_punched_out,clearance_other,pass_goal_assist,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
1e5acdfb-0056-410f-9504-63bff648f6c6,2971,2,00:42:53.359,87,53,218,1.4,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['9a348e1f-b691-46e5-b9a4-3156466b6d11', '9d912a10-dea0-4a24-9119-362f90c2ef9a']","[107.1, 55.4]",6659.0,Víctor Camarasa Ferrando,19.0,Center Attacking Midfield,,,,,,,,,,,,"[116.7, 58.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573.359,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.26184997036052104
9a348e1f-b691-46e5-b9a4-3156466b6d11,2972,2,00:42:54.759,87,54,218,0.246256,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['d05f79e6-5a7e-4ac0-9996-f311ee1e4db7'],"[116.7, 58.6]",6659.0,Víctor Camarasa Ferrando,19.0,Center Attacking Midfield,,,7.81025,-1.6220335,2.0,Low Pass,"[116.3, 50.8]",40.0,Right Foot,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2574.759,1.400000000000091,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.828833194948724
d05f79e6-5a7e-4ac0-9996-f311ee1e4db7,2973,2,00:42:55.006,87,55,218,0.0,6,Block,221,Levante UD,1,Regular Play,360,Rayo Vallecano,,,['9a348e1f-b691-46e5-b9a4-3156466b6d11'],"[3.8, 29.3]",6914.0,Roberto Román Triguero,4.0,Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2575.006,0.24699999999984357,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6858466337561561
1ea3f1bd-4bdc-483a-99b1-ea0a2e87cf55,2974,2,00:43:30.879,88,30,219,1.243382,30,Pass,221,Levante UD,2,From Corner,221,Levante UD,,,['9a60ba5e-2bf8-4840-b11a-11d202e213b2'],"[120.0, 80.0]",24149.0,José Antonio García Rabasco,11.0,Left Defensive Midfield,,,38.32558,-1.6517707,3.0,High Pass,"[116.9, 41.8]",40.0,Right Foot,61.0,Corner,,,,,,,,,9.0,Incomplete,,,,105.0,Outswinging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,2610.879,35.87300000000005,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9850202048950026
9a60ba5e-2bf8-4840-b11a-11d202e213b2,2975,2,00:43:32.123,88,32,219,0.0,9,Clearance,221,Levante UD,2,From Corner,360,Rayo Vallecano,,,['1ea3f1bd-4bdc-483a-99b1-ea0a2e87cf55'],"[3.2, 38.3]",6914.0,Roberto Román Triguero,4.0,Center Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2612.123,1.2440000000001419,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.890329660778672
2b63f61b-1bb5-4565-8538-51a327ee2fdf,2976,2,00:43:35.509,88,35,219,0.4,17,Pressure,221,Levante UD,2,From Corner,221,Levante UD,,,,"[80.8, 55.0]",6787.0,Pedro López Muñoz,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2615.509,3.3859999999999673,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.972052164344926
9af82bf3-a6ca-4764-9724-32ff1b821d50,2977,2,00:43:35.949,88,35,219,0.0,22,Foul Committed,221,Levante UD,2,From Corner,360,Rayo Vallecano,,,['37bb88c3-808e-4019-b2d8-c38eba377475'],"[39.7, 24.8]",11542.0,Javier Guerra Rodríguez,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Yellow Card,,,,,,,,,,,,,,,,,,,,,,2615.949,0.44000000000005457,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.16275021842315662
37bb88c3-808e-4019-b2d8-c38eba377475,2978,2,00:43:35.949,88,35,219,0.0,21,Foul Won,221,Levante UD,2,From Corner,221,Levante UD,,,['9af82bf3-a6ca-4764-9724-32ff1b821d50'],"[80.4, 55.3]",6787.0,Pedro López Muñoz,2.0,Right Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2615.949,0.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07936053548335964
fefbbeda-8f5f-4d56-a757-fd2e54bd4600,2979,2,00:44:22.309,89,22,220,1.959999,30,Pass,221,Levante UD,3,From Free Kick,221,Levante UD,,,['57e12cce-3b35-4077-871c-6e799bac98bb'],"[81.1, 60.9]",24149.0,José Antonio García Rabasco,11.0,Left Defensive Midfield,6659.0,Víctor Camarasa Ferrando,24.329817,0.22803113,3.0,High Pass,"[104.8, 66.4]",40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662.309,46.36000000000013,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5454406335052712
57e12cce-3b35-4077-871c-6e799bac98bb,2980,2,00:44:24.269,89,24,220,,42,Ball Receipt*,221,Levante UD,3,From Free Kick,221,Levante UD,,,['fefbbeda-8f5f-4d56-a757-fd2e54bd4600'],"[104.8, 66.4]",6659.0,Víctor Camarasa Ferrando,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2664.269,1.9599999999995816,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3314568307323046
