id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,counterpress,ball_recovery_recovery_failure,pass_cross,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,out,off_camera,dribble_outcome_id,dribble_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_miscommunication,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,clearance_right_foot,clearance_left_foot,pass_aerial_won,pass_technique_id,pass_technique_name,pass_through_ball,pass_cut_back,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_advantage,foul_won_advantage,pass_goal_assist,shot_aerial_won,shot_first_time,clearance_aerial_won,foul_committed_card_id,foul_committed_card_name,ball_recovery_offensive,dribble_nutmeg,pass_outswinging,block_deflection,pass_no_touch,bad_behaviour_card_id,bad_behaviour_card_name,pass_inswinging,shot_one_on_one,50_50_outcome_id,50_50_outcome_name,foul_committed_offensive,foul_committed_penalty,shot_follows_dribble,block_offensive,pass_straight,shot_deflected,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
d621b4ce-fd22-4263-9502-add1a8b38bd2,1580,1,00:40:07.724,40,7,78,0.0,39,Dribbled Past,208,Las Palmas,1,Regular Play,217,Barcelona,,,"['08b2d7e4-ca3a-44a2-b612-97036d8b32f3', 'd12259dd-66e5-438a-a84d-da3decef29bc', 'd80307e9-bdf0-4370-946e-51b050afbe10']","[98.7, 56.2]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2407.724,0.693000000000211,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4996031990314046
08b2d7e4-ca3a-44a2-b612-97036d8b32f3,1581,1,00:40:07.724,40,7,78,0.0,14,Dribble,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['d621b4ce-fd22-4263-9502-add1a8b38bd2'],"[21.4, 23.9]",6626.0,Mubarak Wakaso,15.0,Left Center Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2407.724,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3904660438840638
d80307e9-bdf0-4370-946e-51b050afbe10,1582,1,00:40:07.724,40,7,78,1.725,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['08b2d7e4-ca3a-44a2-b612-97036d8b32f3', 'd621b4ce-fd22-4263-9502-add1a8b38bd2', 'ecc9c50f-abac-4fc1-b293-91fa9c439113']","[21.4, 23.9]",6626.0,Mubarak Wakaso,15.0,Left Center Midfield,,,,,,,,,,,,"[19.3, 23.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2407.724,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.48309702200010995
ecc9c50f-abac-4fc1-b293-91fa9c439113,1583,1,00:40:09.449,40,9,78,0.843452,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['47513041-e9a6-4f75-8d51-d51e2354f824'],"[19.3, 23.5]",6626.0,Mubarak Wakaso,15.0,Left Center Midfield,15805.0,Hernán Daniel Santana Trujillo,7.0434365,0.8960554,1.0,Ground Pass,"[23.7, 29.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409.449,1.724999999999909,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.12156063460353406
7addf25c-8754-437d-b140-151d7d5e03a8,1584,1,00:40:10.270,40,10,78,0.482744,17,Pressure,208,Las Palmas,1,Regular Play,217,Barcelona,,,"['2612450f-5a18-4d9f-9ede-38c2fe65cc7e', '47513041-e9a6-4f75-8d51-d51e2354f824', 'e7a3cd2b-526b-45f1-bc59-81dfc119e9cf']","[97.0, 49.7]",6616.0,Munir El Haddadi Mohamed,17.0,Right Wing,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410.27,0.8209999999999127,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8022096937789337
47513041-e9a6-4f75-8d51-d51e2354f824,1585,1,00:40:10.292,40,10,78,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['7addf25c-8754-437d-b140-151d7d5e03a8', 'ecc9c50f-abac-4fc1-b293-91fa9c439113']","[23.7, 29.0]",15805.0,Hernán Daniel Santana Trujillo,10.0,Center Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410.292,0.021999999999934516,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6827113304111816
e7a3cd2b-526b-45f1-bc59-81dfc119e9cf,1586,1,00:40:10.292,40,10,78,0.403248,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['2612450f-5a18-4d9f-9ede-38c2fe65cc7e', '47513041-e9a6-4f75-8d51-d51e2354f824', '7addf25c-8754-437d-b140-151d7d5e03a8']","[23.7, 29.0]",15805.0,Hernán Daniel Santana Trujillo,10.0,Center Defensive Midfield,,,,,,,,,,,,"[24.7, 26.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410.292,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06752944354162038
2612450f-5a18-4d9f-9ede-38c2fe65cc7e,1587,1,00:40:10.695,40,10,78,1.454836,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['7addf25c-8754-437d-b140-151d7d5e03a8', 'be8f6cfc-e413-4b2f-bd66-1f8512600d89']","[24.7, 26.6]",15805.0,Hernán Daniel Santana Trujillo,10.0,Center Defensive Midfield,3610.0,Roque Mesa Quevedo,21.026175,-0.1096068,1.0,Ground Pass,"[45.6, 24.3]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410.695,0.4030000000002474,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2954571317182234
76c81ee4-5dc7-40d4-847b-781514a3c176,1588,1,00:40:11.959,40,11,78,0.950675,17,Pressure,208,Las Palmas,1,Regular Play,217,Barcelona,,,"['a098036c-d1ac-4f82-b24d-d89f19c350f3', 'be8f6cfc-e413-4b2f-bd66-1f8512600d89', 'ca5a30f2-9cc4-4990-a44e-c34f98b267a3', 'd61c2f6f-1899-4701-870d-d79a2ab3153e']","[70.1, 59.1]",5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2411.959,1.263999999999669,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.7618538317392848
be8f6cfc-e413-4b2f-bd66-1f8512600d89,1589,1,00:40:12.150,40,12,78,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['2612450f-5a18-4d9f-9ede-38c2fe65cc7e', '76c81ee4-5dc7-40d4-847b-781514a3c176']","[45.6, 24.3]",3610.0,Roque Mesa Quevedo,13.0,Right Center Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2412.15,0.1910000000002583,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9524570952838797
