id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,counterpress,pass_cross,out,pass_switch,off_camera,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,clearance_left_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,pass_cut_back,pass_goal_assist,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,clearance_right_foot,foul_won_defensive,pass_outswinging,shot_aerial_won,shot_one_on_one,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,ball_recovery_recovery_failure,shot_open_goal,dribble_overrun,foul_committed_advantage,foul_won_advantage,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,block_deflection,pass_inswinging,shot_deflected,dribble_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
98a34166-ba6b-4ff9-a674-3331da49597c,854,1,00:24:18.758,24,18,63,1.661868,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['7ad73b2b-1b58-4fd0-b8c1-f337c4dde228'],"[14.2, 40.8]",4711.0,Pablo Hernández Domínguez,17.0,Right Wing,24255.0,Juan Carlos Martín Corral,11.723907,-2.6436074,2.0,Low Pass,"[3.9, 35.2]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.758,1.3020000000001346,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.08584420778983604
7ad73b2b-1b58-4fd0-b8c1-f337c4dde228,855,1,00:24:20.420,24,20,63,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['98a34166-ba6b-4ff9-a674-3331da49597c'],"[3.9, 35.2]",24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460.42,1.6620000000000346,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3219353461779203
56e694db-274b-41cd-9e51-31b40633aa29,856,1,00:24:20.420,24,20,63,6.510117,43,Carry,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['663b2898-064d-4053-8df7-7a08f517e683', '7ad73b2b-1b58-4fd0-b8c1-f337c4dde228']","[3.9, 35.2]",24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,,,,,,,,,,,,"[5.6, 30.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460.42,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.16505421613561821
663b2898-064d-4053-8df7-7a08f517e683,857,1,00:24:26.930,24,26,63,1.532081,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['83050b5d-6a1b-4932-acc7-f99826c77a17'],"[5.6, 30.9]",24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,6914.0,Roberto Román Triguero,24.480604,-1.3942311,1.0,Ground Pass,"[9.9, 6.8]",69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466.93,6.509999999999991,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.45007471202488303
83050b5d-6a1b-4932-acc7-f99826c77a17,858,1,00:24:28.462,24,28,63,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['663b2898-064d-4053-8df7-7a08f517e683'],"[9.9, 6.8]",6914.0,Roberto Román Triguero,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468.462,1.5319999999999254,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8667134465733263
2dac1fa3-2d6e-4805-a47a-52c96d35da39,859,1,00:24:28.462,24,28,63,1.01207,43,Carry,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['47d77d74-a422-40aa-8f5b-c26911ce8746', '62bbe80b-0870-4e96-a9ff-46a33eb4810b', '83050b5d-6a1b-4932-acc7-f99826c77a17']","[9.9, 6.8]",6914.0,Roberto Román Triguero,5.0,Left Center Back,,,,,,,,,,,,"[8.4, 8.3]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468.462,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7477664883895274
62bbe80b-0870-4e96-a9ff-46a33eb4810b,860,1,00:24:29.086,24,29,63,0.483121,17,Pressure,360,Rayo Vallecano,1,Regular Play,219,RC Deportivo La Coruña,,,"['2dac1fa3-2d6e-4805-a47a-52c96d35da39', '47d77d74-a422-40aa-8f5b-c26911ce8746']","[108.9, 72.0]",6732.0,Lucas Pérez Martínez,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469.086,0.6240000000000236,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.17637945556377976
47d77d74-a422-40aa-8f5b-c26911ce8746,861,1,00:24:29.474,24,29,63,1.533294,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['62bbe80b-0870-4e96-a9ff-46a33eb4810b', 'bf1e119a-478a-4dd9-a15f-b378a896fa36']","[8.4, 8.3]",6914.0,Roberto Román Triguero,5.0,Left Center Back,24255.0,Juan Carlos Martín Corral,19.480503,1.7933629,1.0,Ground Pass,"[4.1, 27.3]",40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469.474,0.38799999999991996,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.1847210999649569
bf1e119a-478a-4dd9-a15f-b378a896fa36,862,1,00:24:31.008,24,31,63,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['47d77d74-a422-40aa-8f5b-c26911ce8746'],"[4.1, 27.3]",24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471.008,1.5340000000001055,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.10359171358765262
5cc2e001-235d-4400-a1ea-26ea7477f873,863,1,00:24:31.008,24,31,63,1.251615,43,Carry,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['3841d47b-3f6a-4ea6-8403-ef1843f69bad', '779bc8bf-1d04-4a7d-95c2-cfe0de014365', 'bf1e119a-478a-4dd9-a15f-b378a896fa36']","[4.1, 27.3]",24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,,,,,,,,,,,,"[4.8, 23.2]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471.008,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1536007294840399
