id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,pass_technique_id,pass_technique_name,pass_through_ball,ball_receipt_outcome_id,ball_receipt_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,counterpress,out,pass_aerial_won,interception_outcome_id,interception_outcome_name,pass_outswinging,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,pass_cross,off_camera,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_end_location,pass_switch,clearance_right_foot,foul_won_defensive,clearance_left_foot,dribble_overrun,ball_recovery_offensive,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_cut_back,shot_aerial_won,shot_saved_off_target,goalkeeper_shot_saved_off_target,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_deflection,goalkeeper_punched_out,pass_inswinging,foul_committed_offensive,pass_no_touch,miscontrol_aerial_won,dribble_nutmeg,foul_committed_penalty,shot_saved_to_post,goalkeeper_shot_saved_to_post,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Own Goal Against,event_type_Own Goal For,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
64b5bdc4-474c-4237-89dc-db4554c71beb,1760,2,00:07:41.607,52,41,149,0.590173,17,Pressure,360,Rayo Vallecano,1,Regular Play,216,Getafe,,,"['24721be6-a429-456a-b7a3-2a63250e6368', 'c8db2135-3de9-4da6-9e44-7d826deecac5']","[76.3, 41.9]",24035.0,Álvaro Vázquez García,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.607,1.1210000000000377,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8277707704289623
c8db2135-3de9-4da6-9e44-7d826deecac5,1761,2,00:07:42.086,52,42,149,2.126275,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['64b5bdc4-474c-4237-89dc-db4554c71beb', 'be43950c-5212-4e3a-96e5-29decc3a4c69']","[49.4, 37.2]",26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,6914.0,Roberto Román Triguero,40.7237,1.1962178,1.0,Ground Pass,"[64.3, 75.1]",,,40.0,Right Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.086,0.478999999999985,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7421934922803983
be43950c-5212-4e3a-96e5-29decc3a4c69,1762,2,00:07:44.213,52,44,149,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['c8db2135-3de9-4da6-9e44-7d826deecac5'],"[64.3, 75.1]",6914.0,Roberto Román Triguero,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.213,2.1270000000000095,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.14900304539159936
264c7d5e-7af5-4a1f-81bf-2f4f989b3328,1763,2,00:07:44.213,52,44,149,1.999997,43,Carry,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['be43950c-5212-4e3a-96e5-29decc3a4c69', 'd6418623-8dd2-41b6-b06d-54d3d76f00b7']","[64.3, 75.1]",6914.0,Roberto Román Triguero,2.0,Right Back,,,,,,,,,,,,"[70.2, 77.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.213,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5466619035423562
d6418623-8dd2-41b6-b06d-54d3d76f00b7,1764,2,00:07:46.213,52,46,149,1.492522,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['4e28dcfb-a69a-4aff-9ba7-795dbd9073de'],"[70.2, 77.7]",6914.0,Roberto Román Triguero,2.0,Right Back,11539.0,Adrián Embarba Blázquez,18.726719,0.053425048,1.0,Ground Pass,"[88.9, 78.7]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.213,2.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5198468936398751
4e28dcfb-a69a-4aff-9ba7-795dbd9073de,1765,2,00:07:47.705,52,47,149,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['d6418623-8dd2-41b6-b06d-54d3d76f00b7'],"[88.9, 78.7]",11539.0,Adrián Embarba Blázquez,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.705,1.4919999999999618,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1798793314219549
eb024004-4407-4263-afc1-4d11f119b24a,1766,2,00:07:47.705,52,47,149,3.006535,43,Carry,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['4e28dcfb-a69a-4aff-9ba7-795dbd9073de', '869df8a0-81da-4d2b-b469-d7bced47c907', 'b0276498-0e60-4f39-a404-42d0380601f2']","[88.9, 78.7]",11539.0,Adrián Embarba Blázquez,17.0,Right Wing,,,,,,,,,,,,"[80.5, 73.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.705,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9033608603590347
869df8a0-81da-4d2b-b469-d7bced47c907,1767,2,00:07:49.160,52,49,149,1.384219,17,Pressure,360,Rayo Vallecano,1,Regular Play,216,Getafe,,,['eb024004-4407-4263-afc1-4d11f119b24a'],"[37.4, 1.5]",27054.0,Roberto Lago Soto,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.16,1.455000000000041,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8436259332966547
b0276498-0e60-4f39-a404-42d0380601f2,1768,2,00:07:50.712,52,50,149,0.99703,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['6e365bdc-a7f3-4c78-ab6d-e68d7262f497'],"[80.5, 73.0]",11539.0,Adrián Embarba Blázquez,17.0,Right Wing,26848.0,Roberto Trashorras Gayoso,14.354442,-2.1124105,1.0,Ground Pass,"[73.1, 60.7]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.712,1.551999999999964,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8573177966352689
6e365bdc-a7f3-4c78-ab6d-e68d7262f497,1769,2,00:07:51.709,52,51,149,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['b0276498-0e60-4f39-a404-42d0380601f2'],"[73.1, 60.7]",26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.709,0.9970000000000141,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5595862149349669
