id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,clearance_aerial_won,clearance_head,off_camera,duel_outcome_id,duel_outcome_name,clearance_right_foot,pass_cross,out,pass_inswinging,pass_technique_id,pass_technique_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_punched_out,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_outswinging,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,pass_deflected,block_deflection,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,shot_aerial_won,goalkeeper_end_location,foul_committed_offensive,foul_committed_penalty,foul_won_penalty,pass_cut_back,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,miscontrol_aerial_won,pass_straight,pass_goal_assist,shot_one_on_one,dribble_overrun,foul_committed_advantage,foul_won_advantage,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
78734878-1648-4f84-bae0-0c6148179451,557,1,00:11:38.126,11,38,25,1.273991,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['8d0a605f-dbbb-4f92-9922-86df09d1d0a3'],"[111.1, 77.8]",6742.0,Sergio Gontán Gallardo,17.0,Right Wing,6712.0,Gonzalo Escalante,11.002727,-1.7075521,1.0,Ground Pass,"[109.6, 66.9]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.126,3.119000000000028,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.1595807545285175
8d0a605f-dbbb-4f92-9922-86df09d1d0a3,558,1,00:11:39.400,11,39,25,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['78734878-1648-4f84-bae0-0c6148179451'],"[109.6, 66.9]",6712.0,Gonzalo Escalante,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.4,1.274000000000001,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.14969723054645234
4d9aaa59-321e-4eb5-8478-8bbc487c77ea,559,1,00:11:39.400,11,39,25,0.885805,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['1267e9a5-c3f9-4746-bd26-2d403e6536c8', '8d0a605f-dbbb-4f92-9922-86df09d1d0a3']","[109.6, 66.9]",6712.0,Gonzalo Escalante,11.0,Left Defensive Midfield,,,,,,,,,,,,"[109.1, 69.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.4,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7395435494755462
1267e9a5-c3f9-4746-bd26-2d403e6536c8,560,1,00:11:40.286,11,40,25,0.519579,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['3ffae1ce-78fa-4521-839c-bfa4f432bb55', '6901e3bf-f610-4aef-8546-3f46796811bd']","[109.1, 69.0]",6712.0,Gonzalo Escalante,11.0,Left Defensive Midfield,6742.0,Sergio Gontán Gallardo,2.5079873,-1.9809237,1.0,Ground Pass,"[108.1, 66.7]",,,40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.2860000000001,0.886000000000081,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7362627595478085
6801b554-1cba-414f-b7ce-668cfca92416,561,1,00:11:40.439,11,40,25,0.330768,17,Pressure,322,Eibar,1,Regular Play,322,Eibar,,,,"[107.2, 67.3]",6742.0,Sergio Gontán Gallardo,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.439,0.15299999999990632,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.16392809658887575
6901e3bf-f610-4aef-8546-3f46796811bd,562,1,00:11:40.805,11,40,25,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['1267e9a5-c3f9-4746-bd26-2d403e6536c8'],"[106.8, 68.0]",6742.0,Sergio Gontán Gallardo,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.805,0.36599999999998545,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12023318857754917
3ffae1ce-78fa-4521-839c-bfa4f432bb55,563,1,00:11:40.805,11,40,25,0.0,10,Interception,322,Eibar,1,Regular Play,215,Athletic Club,,,['1267e9a5-c3f9-4746-bd26-2d403e6536c8'],"[12.0, 13.4]",6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.805,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3657466436811845
fbc292a6-f103-4a99-842e-96220d6fcaac,564,1,00:11:44.168,11,44,25,4.132484,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['0c604490-67ba-4bc1-a17b-de001c23344c'],"[88.2, 65.0]",6775.0,Daniel García Carrillo,9.0,Right Defensive Midfield,6700.0,Sergio Enrich Ametller,50.089222,-0.8829598,3.0,High Pass,"[120.0, 26.3]",66.0,Recovery,40.0,Right Foot,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.168,3.3630000000000564,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.8977741604419706
0c604490-67ba-4bc1-a17b-de001c23344c,565,1,00:11:48.300,11,48,25,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['fbc292a6-f103-4a99-842e-96220d6fcaac'],"[116.4, 24.3]",6700.0,Sergio Enrich Ametller,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.3,4.131999999999948,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3726069005937802
e1d77438-5e1d-48a9-bc06-4c78ab797bcf,566,1,00:12:05.989,12,5,26,2.516411,30,Pass,215,Athletic Club,7,From Goal Kick,215,Athletic Club,,,['d3b0d686-578d-466d-859e-db379cbc84ba'],"[6.0, 44.0]",6576.0,Gorka Iraizoz Moreno,1.0,Goalkeeper,12191.0,Gorka Elustondo Urkola,33.102264,0.078625455,1.0,Ground Pass,"[39.0, 46.6]",63.0,Goal Kick,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.989,17.689000000000078,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4831468836060874
d3b0d686-578d-466d-859e-db379cbc84ba,567,1,00:12:08.505,12,8,26,,42,Ball Receipt*,215,Athletic Club,7,From Goal Kick,215,Athletic Club,,,['e1d77438-5e1d-48a9-bc06-4c78ab797bcf'],"[39.0, 46.6]",12191.0,Gorka Elustondo Urkola,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.505,2.5159999999999627,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4861936975920572
