id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,out,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_switch,pass_cross,foul_won_defensive,pass_technique_id,pass_technique_name,pass_outswinging,counterpress,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,pass_through_ball,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,ball_recovery_recovery_failure,pass_inswinging,pass_cut_back,dribble_nutmeg,dribble_overrun,block_deflection,pass_goal_assist,clearance_left_foot,pass_straight,shot_aerial_won,shot_first_time,foul_committed_offensive,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,shot_saved_off_target,goalkeeper_shot_saved_off_target,foul_committed_advantage,foul_won_advantage,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
9805fd6a-2741-4acc-9e05-3957d87fd481,702,1,00:18:27.934,18,27,36,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['d4a2daa4-1fb7-4906-a9e1-0088d392a3e9'],,"[31.5, 56.8]",5582.0,Celso Borges Mora,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107.934,1.1359999999999673,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21895501961831332
46e22f16-a9fd-4aac-91c2-6ba47e491222,703,1,00:18:27.934,18,27,36,0.092205,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['72a8ca4a-ae25-4177-8148-2f3091798427', '9805fd6a-2741-4acc-9e05-3957d87fd481']",,"[31.5, 56.8]",5582.0,Celso Borges Mora,9.0,Right Defensive Midfield,,,,,,,,,,,,"[31.5, 56.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107.934,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12702133769577384
72a8ca4a-ae25-4177-8148-2f3091798427,704,1,00:18:28.026,18,28,36,1.36986,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['84b6bc46-01ec-43a2-b446-a389fc9b9cdf'],,"[31.5, 56.8]",5582.0,Celso Borges Mora,9.0,Right Defensive Midfield,6728.0,Federico Nicolás Cartabia,18.11574,0.56503576,1.0,Ground Pass,"[46.8, 66.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108.026,0.09200000000009823,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5466445560278069
84b6bc46-01ec-43a2-b446-a389fc9b9cdf,705,1,00:18:29.396,18,29,36,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['72a8ca4a-ae25-4177-8148-2f3091798427'],,"[46.8, 66.5]",6728.0,Federico Nicolás Cartabia,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.396,1.3699999999998909,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5583317528546978
8d47084c-a37b-4b52-9081-409c4ea867e9,706,1,00:18:29.396,18,29,36,2.7354,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['3381f83b-5155-46a9-b306-341dfdb4fd15', '84b6bc46-01ec-43a2-b446-a389fc9b9cdf', 'e5c2ddb1-1b44-4fe6-bd1b-91d4e1fd6a25']",,"[46.8, 66.5]",6728.0,Federico Nicolás Cartabia,17.0,Right Wing,,,,,,,,,,,,"[48.3, 63.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.396,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5326878897775681
3381f83b-5155-46a9-b306-341dfdb4fd15,707,1,00:18:31.536,18,31,36,0.580534,17,Pressure,219,RC Deportivo La Coruña,1,Regular Play,221,Levante UD,,,['8d47084c-a37b-4b52-9081-409c4ea867e9'],,"[71.8, 22.0]",6668.0,José Luis Morales Nogales,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111.536,2.1400000000001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.27904378304499133
e5c2ddb1-1b44-4fe6-bd1b-91d4e1fd6a25,708,1,00:18:32.132,18,32,36,1.191981,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['da3d6fc1-0c47-497e-88f7-9584ed5faab8'],,"[48.3, 63.1]",6728.0,Federico Nicolás Cartabia,17.0,Right Wing,6733.0,Pedro Mosquera Parada,18.189283,-1.918628,1.0,Ground Pass,"[42.1, 46.0]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.132,0.5960000000000036,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.15297694683856544
da3d6fc1-0c47-497e-88f7-9584ed5faab8,709,1,00:18:32.206,18,32,36,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['e5c2ddb1-1b44-4fe6-bd1b-91d4e1fd6a25'],,"[42.1, 46.0]",6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.206,0.07399999999984175,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7511481801217138
a1e977db-70b0-422b-9848-3141622471ac,710,1,00:18:32.206,18,32,36,1.416492,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['7379249e-1921-4739-aa8d-8c2b84ea9426', 'da3d6fc1-0c47-497e-88f7-9584ed5faab8', 'dd32fa2f-ff23-4752-a4dc-8f4edfd04043']",,"[42.1, 46.0]",6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,,,,,,,,,,,,"[43.4, 46.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.206,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5958171451337702
dd32fa2f-ff23-4752-a4dc-8f4edfd04043,711,1,00:18:32.206,18,32,36,0.0,6,Block,219,RC Deportivo La Coruña,1,Regular Play,221,Levante UD,,,['a1e977db-70b0-422b-9848-3141622471ac'],,"[73.1, 28.5]",6668.0,José Luis Morales Nogales,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,1112.206,0.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17517746059070782
7379249e-1921-4739-aa8d-8c2b84ea9426,712,1,00:18:33.622,18,33,36,3.889996,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,,,"[43.4, 46.6]",6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,,,36.572803,1.1511838,3.0,High Pass,"[58.3, 80.0]",,,38.0,Left Foot,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113.622,1.4160000000001673,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.47935817427091787
dd6c99b2-0d0d-461e-a2f3-6fc9c45920d0,713,1,00:18:48.498,18,48,37,2.225359,30,Pass,221,Levante UD,4,From Throw In,221,Levante UD,,,['503ff1fd-eb5c-409c-be7d-cabd6d7d8e3d'],True,"[61.8, 0.1]",6784.0,Antonio García Aranda,6.0,Left Back,27122.0,Simão Mate,29.372776,2.274253,2.0,Low Pass,"[42.8, 22.5]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128.498,14.875999999999976,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7763649929126925
