id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_switch,dribble_outcome_id,dribble_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_cross,out,clearance_aerial_won,pass_inswinging,pass_technique_id,pass_technique_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_recovery_recovery_failure,pass_through_ball,pass_aerial_won,block_offensive,pass_cut_back,dribble_nutmeg,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,clearance_other,clearance_right_foot,foul_won_defensive,pass_goal_assist,shot_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,dribble_overrun,clearance_left_foot,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,pass_outswinging,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_straight,50_50_outcome_id,50_50_outcome_name,foul_committed_advantage,foul_won_advantage,pass_no_touch,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
847261af-f3cd-41d1-beb6-ad199f3cf780,2704,2,00:19:34.329,64,34,144,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['a352d6d5-72fc-4143-be75-e1a535e82d82'],,"[116.8, 11.1]",27348.0,Ricky van Wolfswinkel,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174.329,3.0190000000000055,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9312574640870843
d75d1142-b3b9-40a5-bd0f-88a363885d51,2705,2,00:19:34.329,64,34,144,1.277173,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['847261af-f3cd-41d1-beb6-ad199f3cf780', 'b039a923-02ab-4409-846b-88f6eab77119']",,"[116.8, 11.1]",27348.0,Ricky van Wolfswinkel,19.0,Center Attacking Midfield,,,,,,,,,,,,,"[116.8, 11.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174.329,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21733981371151367
b039a923-02ab-4409-846b-88f6eab77119,2706,2,00:19:35.606,64,35,144,1.379964,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['3c914cdc-c6e2-475b-a212-5cedc14d49d2'],,"[116.8, 11.1]",27348.0,Ricky van Wolfswinkel,19.0,Center Attacking Midfield,6832.0,Rubén Castro Martín,12.332883,-3.068552,1.0,Ground Pass,"[104.5, 10.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1da18163-97f3-40c8-a627-ed9963cd7e95,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175.606,1.2770000000000437,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.8498846337819476
3c914cdc-c6e2-475b-a212-5cedc14d49d2,2707,2,00:19:36.986,64,36,144,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['b039a923-02ab-4409-846b-88f6eab77119'],,"[104.5, 10.2]",6832.0,Rubén Castro Martín,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176.986,1.3800000000001091,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07883950291847885
058f146c-f189-4974-a4e1-e68f8566a659,2708,2,00:19:36.986,64,36,144,2.957396,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['1da18163-97f3-40c8-a627-ed9963cd7e95', '3c914cdc-c6e2-475b-a212-5cedc14d49d2']",,"[104.5, 10.2]",6832.0,Rubén Castro Martín,23.0,Center Forward,,,,,,,,,,,,,"[101.4, 24.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176.986,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2475780038269968
1da18163-97f3-40c8-a627-ed9963cd7e95,2709,2,00:19:39.943,64,39,144,0.08185,16,Shot,218,Real Betis,1,Regular Play,218,Real Betis,,,"['58bea43b-7da6-490c-8672-37fb9086dd6e', 'c205e7fa-074f-48f2-99da-d38d6d92830d']",,"[101.4, 24.3]",6832.0,Rubén Castro Martín,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019278372,"[102.6, 25.5]",b039a923-02ab-4409-846b-88f6eab77119,93.0,Normal,,40.0,Right Foot,87.0,Open Play,96.0,Blocked,"[{'location': [107.0, 27.3], 'player': {'id': 27348, 'name': 'Ricky van Wolfswinkel'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [116.7, 37.3], 'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 25.7], 'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.7, 31.2], 'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.4, 35.8], 'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.6, 41.3], 'player': {'id': 10754, 'name': 'Héctor Hernández Ortega'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.1, 25.9], 'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.2, 27.3], 'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.2, 47.0], 'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.0, 29.8], 'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.2, 27.2], 'player': {'id': 6873, 'name': 'Francisco Portillo Soler'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.3, 33.8], 'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179.943,2.95699999999988,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.05790871289718402
c205e7fa-074f-48f2-99da-d38d6d92830d,2710,2,00:19:40.025,64,40,144,0.0,6,Block,218,Real Betis,1,Regular Play,210,Real Sociedad,,,['1da18163-97f3-40c8-a627-ed9963cd7e95'],,"[17.5, 54.6]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.025,0.08200000000010732,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8975126152174623
58bea43b-7da6-490c-8672-37fb9086dd6e,2711,2,00:19:40.065,64,40,144,0.0,23,Goal Keeper,218,Real Betis,1,Regular Play,210,Real Sociedad,,,['1da18163-97f3-40c8-a627-ed9963cd7e95'],,"[3.4, 42.8]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,Shot Faced,,,,,,,,,,,,,,,,,,,,,,,,"[3.4, 42.8]",44.0,Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.065,0.03999999999996362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.9485927782192062
d76bac69-9a9b-47ed-a46d-ec831c84b9be,2712,2,00:19:41.732,64,41,145,0.0,23,Goal Keeper,210,Real Sociedad,8,From Keeper,210,Real Sociedad,,,,,"[8.6, 47.0]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,Keeper Sweeper,47.0,Claim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181.732,1.6669999999999163,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.4611164293220099
9d26d879-53d9-4be6-99e8-e84914cf6210,2713,2,00:19:41.732,64,41,145,13.435068,43,Carry,210,Real Sociedad,8,From Keeper,210,Real Sociedad,,,"['7aabbc9f-afd5-4883-87e6-b419f0db5046', 'd76bac69-9a9b-47ed-a46d-ec831c84b9be']",,"[8.6, 47.0]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,,,,,,,,,,,,,"[17.5, 51.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181.732,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6704828449179843
