id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,carry_end_location,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,counterpress,pass_switch,out,dribble_outcome_id,dribble_outcome_name,dribble_overrun,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_deflected,goalkeeper_outcome_id,goalkeeper_outcome_name,duel_outcome_id,duel_outcome_name,clearance_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,pass_inswinging,foul_committed_offensive,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_outswinging,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_left_foot,ball_recovery_recovery_failure,pass_cut_back,dribble_nutmeg,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,injury_stoppage_in_chain,bad_behaviour_card_id,bad_behaviour_card_name,pass_straight,50_50_outcome_id,50_50_outcome_name,shot_saved_to_post,goalkeeper_shot_saved_to_post,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
814db517-ef2c-4525-8535-54534a459146,1512,2,00:04:42.209,49,42,113,2.209518,43,Carry,222,Villarreal,4,From Throw In,222,Villarreal,,,"['35961bfb-686f-4a1e-9d07-4cfcfeb8caf5', '9a14d8f2-cd19-466d-a0fe-d436ffc83aba', 'b4b9d56a-3153-4218-8a48-21352ccbf615']",,"[31.0, 68.8]",6862.0,Cédric Bakambu,22.0,Right Center Forward,,,,,,,,,,,,True,,,,,"[31.9, 68.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.209,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8361308962270164
b4b9d56a-3153-4218-8a48-21352ccbf615,1513,2,00:04:44.162,49,44,113,0.596363,17,Pressure,222,Villarreal,4,From Throw In,1049,Granada,,,"['35961bfb-686f-4a1e-9d07-4cfcfeb8caf5', '814db517-ef2c-4525-8535-54534a459146']",,"[94.1, 12.5]",7158.0,Cristiano Biraghi,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.162,1.9529999999999745,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.918540938052753
35961bfb-686f-4a1e-9d07-4cfcfeb8caf5,1514,2,00:04:44.419,49,44,113,1.692501,30,Pass,222,Villarreal,4,From Throw In,222,Villarreal,,,"['2e2fa91e-be0b-4011-b891-c4f75e4b32d3', 'b4b9d56a-3153-4218-8a48-21352ccbf615']",,"[31.9, 68.6]",6862.0,Cédric Bakambu,22.0,Right Center Forward,6752.0,Víctor Ruíz Torre,25.279438,-1.7658645,1.0,Ground Pass,"[27.0, 43.8]",40.0,Right Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.419,0.257000000000005,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.5725270357077877
2e2fa91e-be0b-4011-b891-c4f75e4b32d3,1515,2,00:04:46.111,49,46,113,,42,Ball Receipt*,222,Villarreal,4,From Throw In,222,Villarreal,,,['35961bfb-686f-4a1e-9d07-4cfcfeb8caf5'],,"[27.0, 43.8]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.111,1.6920000000000073,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.581234244536719
72a48f6b-0ca8-4cea-aefb-4a5f78079cd5,1516,2,00:04:46.111,49,46,113,0.04,43,Carry,222,Villarreal,4,From Throw In,222,Villarreal,,,"['2e2fa91e-be0b-4011-b891-c4f75e4b32d3', '624d4ad4-0cee-41e9-8326-b1bbe7065650']",,"[27.0, 43.8]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,"[27.4, 44.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.111,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1635658449016878
624d4ad4-0cee-41e9-8326-b1bbe7065650,1517,2,00:04:46.151,49,46,113,1.758551,30,Pass,222,Villarreal,4,From Throw In,222,Villarreal,,,['9d9fd6e6-bc15-4720-a7ee-c2a679f34538'],,"[27.4, 44.0]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,6622.0,Tomás Pina Isla,21.312202,0.14123349,1.0,Ground Pass,"[48.5, 47.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.151,0.040000000000020464,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.05437262469875159
9d9fd6e6-bc15-4720-a7ee-c2a679f34538,1518,2,00:04:47.910,49,47,113,,42,Ball Receipt*,222,Villarreal,4,From Throw In,222,Villarreal,,,['624d4ad4-0cee-41e9-8326-b1bbe7065650'],,"[48.5, 47.0]",6622.0,Tomás Pina Isla,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.91,1.7590000000000146,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6626891412781669
9a0602fe-2291-4728-898d-3d7fa9034044,1519,2,00:04:47.910,49,47,113,3.799997,43,Carry,222,Villarreal,4,From Throw In,222,Villarreal,,,"['9d9fd6e6-bc15-4720-a7ee-c2a679f34538', 'ca0523f4-fc49-4e73-b9e4-7de7e74f2604']",,"[48.5, 47.0]",6622.0,Tomás Pina Isla,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,"[83.9, 28.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.91,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5022128405643995
ca0523f4-fc49-4e73-b9e4-7de7e74f2604,1520,2,00:04:51.710,49,51,113,2.153768,30,Pass,222,Villarreal,4,From Throw In,222,Villarreal,,,['8db0602c-544e-47a6-938f-9b46e5419103'],,"[83.9, 28.6]",6622.0,Tomás Pina Isla,11.0,Left Defensive Midfield,6828.0,Jaume Vicent Costa Jordá,16.959364,-0.35532004,1.0,Ground Pass,"[99.8, 22.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.71,3.7999999999999545,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7707749191040436
8db0602c-544e-47a6-938f-9b46e5419103,1521,2,00:04:53.863,49,53,113,,42,Ball Receipt*,222,Villarreal,4,From Throw In,222,Villarreal,,,['ca0523f4-fc49-4e73-b9e4-7de7e74f2604'],,"[99.8, 22.7]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.863,2.15300000000002,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.30613190515352684
