id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,dribble_overrun,dribble_outcome_id,dribble_outcome_name,50_50_outcome_id,50_50_outcome_name,interception_outcome_id,interception_outcome_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_switch,off_camera,out,duel_outcome_id,duel_outcome_name,pass_through_ball,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_aerial_won,ball_recovery_recovery_failure,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,miscontrol_aerial_won,clearance_right_foot,foul_committed_advantage,foul_won_advantage,foul_won_defensive,shot_first_time,clearance_left_foot,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,foul_committed_penalty,foul_won_penalty,pass_no_touch,bad_behaviour_card_id,bad_behaviour_card_name,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,pass_cut_back,dribble_nutmeg,shot_aerial_won,block_deflection,shot_saved_off_target,goalkeeper_shot_saved_off_target,injury_stoppage_in_chain,block_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
3fab6105-23dc-485b-81b5-f6e861e52bff,301,1,00:07:19.163,7,19,18,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['034e0098-91bf-49b8-9720-a4b4aca5cafd'],"[64.5, 6.5]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.163,1.1380000000000337,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3952549263933183
83525e7b-9d2a-4f88-a686-381f9f899314,302,1,00:07:19.163,7,19,18,0.260064,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['09c2796f-556e-4bed-98db-36f7f98a7fe2', 'd230ead7-59e2-4a7b-a29f-f1698461b6f3']","[64.5, 6.5]",6724.0,Manuel Agudo Durán,21.0,Left Wing,6802.0,Jonathan Castro Otto,4.726521,-3.0356083,1.0,Ground Pass,"[59.8, 6.0]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.163,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.38170120326385504
d230ead7-59e2-4a7b-a29f-f1698461b6f3,303,1,00:07:19.423,7,19,18,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['83525e7b-9d2a-4f88-a686-381f9f899314'],"[57.5, 6.3]",6802.0,Jonathan Castro Otto,6.0,Left Back,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.423,0.2599999999999909,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.92010254716551
09c2796f-556e-4bed-98db-36f7f98a7fe2,304,1,00:07:19.423,7,19,18,0.0,6,Block,209,Celta Vigo,4,From Throw In,215,Athletic Club,,,['83525e7b-9d2a-4f88-a686-381f9f899314'],"[60.3, 74.1]",6390.0,Markel Susaeta Laskurain,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.423,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3491860491626003
0721b816-c98f-4380-96f4-b60da053decb,305,1,00:07:20.055,7,20,18,0.0,2,Ball Recovery,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,,"[62.7, 8.1]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.055,0.632000000000005,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6404706651681146
4ffa1903-1f2f-462a-9e67-de2cf8b2cdcb,306,1,00:07:20.131,7,20,19,0.523751,30,Pass,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['e76f3eb9-6815-441b-a304-ae7355c8d9c9'],"[55.3, 71.5]",6390.0,Markel Susaeta Laskurain,17.0,Right Wing,6649.0,Óscar de Marcos Arana,1.8248287,-2.976444,1.0,Ground Pass,"[53.5, 71.2]",38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.131,0.07599999999996498,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.42357380363952535
e76f3eb9-6815-441b-a304-ae7355c8d9c9,307,1,00:07:20.655,7,20,19,,42,Ball Receipt*,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['4ffa1903-1f2f-462a-9e67-de2cf8b2cdcb'],"[53.5, 71.2]",6649.0,Óscar de Marcos Arana,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.655,0.5240000000000009,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9093200420260564
d060980e-6c02-4c94-8372-86bea40bd825,308,1,00:07:20.655,7,20,19,2.026733,43,Carry,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['64006cc7-e05d-448a-b513-7554701c5f87', '739edb4c-4f65-4a98-ad70-737e1750de22', 'e76f3eb9-6815-441b-a304-ae7355c8d9c9']","[53.5, 71.2]",6649.0,Óscar de Marcos Arana,2.0,Right Back,,,,,,,,,,,,"[51.2, 68.2]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.655,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6721272923254552
64006cc7-e05d-448a-b513-7554701c5f87,309,1,00:07:20.896,7,20,19,2.127474,17,Pressure,215,Athletic Club,1,Regular Play,209,Celta Vigo,,,"['739edb4c-4f65-4a98-ad70-737e1750de22', 'd060980e-6c02-4c94-8372-86bea40bd825']","[66.4, 8.9]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.896,0.2410000000000423,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.823222595055952
30396581-f53a-4e1f-b5fd-fdae05ba6f44,310,1,00:07:22.682,7,22,19,0.0,22,Foul Committed,215,Athletic Club,1,Regular Play,209,Celta Vigo,,,['739edb4c-4f65-4a98-ad70-737e1750de22'],"[68.9, 11.9]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.682,1.7860000000000014,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12850111533612651
739edb4c-4f65-4a98-ad70-737e1750de22,311,1,00:07:22.682,7,22,19,0.0,21,Foul Won,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['30396581-f53a-4e1f-b5fd-fdae05ba6f44', '64006cc7-e05d-448a-b513-7554701c5f87']","[51.2, 68.2]",6649.0,Óscar de Marcos Arana,2.0,Right Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.682,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8440312091404694
c7d0f90f-5100-4cb7-8fd7-10167ead2c5e,312,1,00:07:40.113,7,40,20,1.629515,30,Pass,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['56f020fb-f47c-4c87-a8b9-d4d54b620866'],"[53.0, 56.4]",6389.0,Mikel San José Domínguez,9.0,Right Defensive Midfield,6396.0,Beñat Etxebarria Urkiaga,10.58017,1.693979,1.0,Ground Pass,"[51.7, 66.9]",38.0,Left Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.113,17.430999999999983,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.9133981342545152
56f020fb-f47c-4c87-a8b9-d4d54b620866,313,1,00:07:41.742,7,41,20,,42,Ball Receipt*,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['c7d0f90f-5100-4cb7-8fd7-10167ead2c5e'],"[51.7, 66.9]",6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.742,1.629000000000019,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5738243701881282
a689a221-3e46-48bd-9827-6f3cc6d8390b,314,1,00:07:44.779,7,44,20,2.783392,30,Pass,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['ee389f9d-73a4-416a-8890-d01b756ca7a9'],"[50.7, 66.9]",6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,6576.0,Gorka Iraizoz Moreno,40.021618,-2.4890964,1.0,Ground Pass,"[18.9, 42.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.779,3.0369999999999777,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.22116491919349768
ee389f9d-73a4-416a-8890-d01b756ca7a9,315,1,00:07:47.562,7,47,20,,42,Ball Receipt*,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['a689a221-3e46-48bd-9827-6f3cc6d8390b'],"[18.9, 42.6]",6576.0,Gorka Iraizoz Moreno,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.562,2.7830000000000155,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1569758704436336
7900ab52-3f8f-4688-9025-61b80caa4b77,316,1,00:07:47.562,7,47,20,1.679961,30,Pass,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['2ed7471a-de7b-4e13-9832-53f5ae9aab96'],"[18.9, 42.6]",6576.0,Gorka Iraizoz Moreno,1.0,Goalkeeper,6788.0,Xabier Etxeita Gorritxategi,27.222233,-0.88687605,1.0,Ground Pass,"[36.1, 21.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.562,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.4713187767285304
2ed7471a-de7b-4e13-9832-53f5ae9aab96,317,1,00:07:49.242,7,49,20,,42,Ball Receipt*,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['7900ab52-3f8f-4688-9025-61b80caa4b77'],"[36.1, 21.5]",6788.0,Xabier Etxeita Gorritxategi,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.242,1.6800000000000068,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8543488474914044
5ecc5a1f-ecac-41c4-a48a-799ce4eea3d3,318,1,00:07:49.242,7,49,20,1.198399,43,Carry,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,"['2ed7471a-de7b-4e13-9832-53f5ae9aab96', '77f18689-bd09-4e89-97b1-a2e5265ae8a7']","[36.1, 21.5]",6788.0,Xabier Etxeita Gorritxategi,5.0,Left Center Back,,,,,,,,,,,,"[36.1, 21.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.242,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7326901184325934
