id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,counterpress,under_pressure,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_aerial_won,duel_type_id,duel_type_name,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,foul_won_defensive,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,off_camera,out,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,goalkeeper_end_location,pass_technique_id,pass_technique_name,pass_outswinging,pass_shot_assist,shot_first_time,foul_committed_advantage,foul_won_advantage,dribble_outcome_id,dribble_outcome_name,clearance_left_foot,block_save_block,foul_committed_card_id,foul_committed_card_name,pass_deflected,block_deflection,clearance_right_foot,clearance_other,pass_cut_back,clearance_aerial_won,ball_recovery_recovery_failure,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,dribble_nutmeg,block_offensive,pass_through_ball,50_50_outcome_id,50_50_outcome_name,shot_one_on_one,pass_inswinging,miscontrol_aerial_won,dribble_overrun,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
32e2c6e3-3c0d-4db7-aefd-d942546d16cd,52,1,00:00:45.229,0,45,4,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['67894277-e6e5-4d41-bc15-8cb05db04d61'],"[56.1, 36.5]",6873.0,Francisco Portillo Soler,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.229,1.213000000000001,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4543748206767415
c7255d86-cf62-428a-bec0-1fc9d1ecec46,53,1,00:00:45.229,0,45,4,0.111282,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['085bcb72-6022-4930-b38c-6d07908c89b2', '32e2c6e3-3c0d-4db7-aefd-d942546d16cd']","[56.1, 36.5]",6873.0,Francisco Portillo Soler,19.0,Center Attacking Midfield,,,,,,,,,,,,"[56.1, 36.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.229,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7167976923780068
085bcb72-6022-4930-b38c-6d07908c89b2,54,1,00:00:45.340,0,45,4,1.181636,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['e2a7b10f-9ce0-4093-8f01-18631b745afc'],"[56.1, 36.5]",6873.0,Francisco Portillo Soler,19.0,Center Attacking Midfield,5671.0,Alfred John Momar N''Diaye,14.073024,-2.3712687,1.0,Ground Pass,"[46.0, 26.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.34,0.1110000000000042,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.647752239758984
e2a7b10f-9ce0-4093-8f01-18631b745afc,55,1,00:00:46.522,0,46,4,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['085bcb72-6022-4930-b38c-6d07908c89b2'],"[46.0, 26.7]",5671.0,Alfred John Momar N''Diaye,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.522,1.181999999999995,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.40342379865654454
aec871d5-0860-4979-b244-817a1e3424e9,56,1,00:00:46.522,0,46,4,3.658111,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['63992a9e-319a-4e34-9fef-42c77b3830ac', 'e2a7b10f-9ce0-4093-8f01-18631b745afc']","[46.0, 26.7]",5671.0,Alfred John Momar N''Diaye,9.0,Right Defensive Midfield,,,,,,,,,,,,"[48.0, 30.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.522,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6858160831951388
63992a9e-319a-4e34-9fef-42c77b3830ac,57,1,00:00:50.180,0,50,4,0.98365,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['a2d788c9-e5f3-4509-a63d-11626b06a35b'],"[48.0, 30.1]",5671.0,Alfred John Momar N''Diaye,9.0,Right Defensive Midfield,27346.0,Petros Matheus dos Santos Araújo,19.527416,0.573799,1.0,Ground Pass,"[64.4, 40.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.18,3.6580000000000013,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.9156675722282008
a2d788c9-e5f3-4509-a63d-11626b06a35b,58,1,00:00:51.164,0,51,4,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['63992a9e-319a-4e34-9fef-42c77b3830ac'],"[64.4, 40.7]",27346.0,Petros Matheus dos Santos Araújo,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.164,0.9840000000000018,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2559341403168689
4687d45c-cd3d-4882-8dab-54edcbd8db38,59,1,00:00:51.164,0,51,4,1.921913,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['a2d788c9-e5f3-4509-a63d-11626b06a35b', 'dc212310-9825-40e6-82bf-2b1593116ad6']","[64.4, 40.7]",27346.0,Petros Matheus dos Santos Araújo,15.0,Left Center Midfield,,,,,,,,,,,,"[66.4, 41.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.164,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9348419397133431
dc212310-9825-40e6-82bf-2b1593116ad6,60,1,00:00:53.085,0,53,4,0.591852,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['294858e1-a576-42da-81ad-a82f366ede44'],"[66.4, 41.6]",27346.0,Petros Matheus dos Santos Araújo,15.0,Left Center Midfield,26723.0,Álvaro Cejudo Carmona,14.710541,1.4481276,1.0,Ground Pass,"[68.2, 56.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.085,1.9209999999999994,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8286389006398072
2a95aaa6-d200-4c23-9312-9d4bc861e65c,61,1,00:00:53.655,0,53,4,0.583008,17,Pressure,218,Real Betis,1,Regular Play,214,Espanyol,,,"['294858e1-a576-42da-81ad-a82f366ede44', '353678bc-a3a9-4227-ae84-22e6029f8d96', '972fc770-b7e2-410e-b6e1-6ae83f69e91b']","[51.2, 20.8]",27241.0,Víctor Guillermo Álvarez Delgado,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.655,0.5700000000000003,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.9011777242461994
294858e1-a576-42da-81ad-a82f366ede44,62,1,00:00:53.677,0,53,4,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,"['2a95aaa6-d200-4c23-9312-9d4bc861e65c', 'dc212310-9825-40e6-82bf-2b1593116ad6']","[68.2, 56.2]",26723.0,Álvaro Cejudo Carmona,17.0,Right Wing,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.677,0.021999999999998465,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.16344894690646117
972fc770-b7e2-410e-b6e1-6ae83f69e91b,63,1,00:00:53.677,0,53,4,0.479895,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['294858e1-a576-42da-81ad-a82f366ede44', '2a95aaa6-d200-4c23-9312-9d4bc861e65c', '353678bc-a3a9-4227-ae84-22e6029f8d96']","[68.2, 56.2]",26723.0,Álvaro Cejudo Carmona,17.0,Right Wing,,,,,,,,,,,,"[67.0, 57.2]",,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.677,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.026254941678172106
353678bc-a3a9-4227-ae84-22e6029f8d96,64,1,00:00:54.157,0,54,4,3.285624,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,"['2a95aaa6-d200-4c23-9312-9d4bc861e65c', '578c8dbd-c469-44ac-b79a-ab99dd7c064f']","[67.0, 57.2]",26723.0,Álvaro Cejudo Carmona,17.0,Right Wing,6872.0,Bruno González Cabrera,25.005,2.2967744,1.0,Ground Pass,"[50.4, 75.9]",40.0,Right Foot,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.157,0.4799999999999969,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.7007662558439298
578c8dbd-c469-44ac-b79a-ab99dd7c064f,65,1,00:00:57.443,0,57,4,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['353678bc-a3a9-4227-ae84-22e6029f8d96'],"[50.4, 75.9]",6872.0,Bruno González Cabrera,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.443,3.2860000000000014,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5983691356136143
191b5d6f-2406-417c-9416-18acf505962a,66,1,00:00:57.443,0,57,4,0.547056,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['578c8dbd-c469-44ac-b79a-ab99dd7c064f', '5ca5340a-4583-474c-be20-69875abacc7f']","[50.4, 75.9]",6872.0,Bruno González Cabrera,3.0,Right Center Back,,,,,,,,,,,,"[50.4, 75.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.443,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.16965208664121612
5ca5340a-4583-474c-be20-69875abacc7f,67,1,00:00:57.990,0,57,4,3.335932,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['9c686299-6898-4645-94b9-9e1be0739612'],"[50.4, 75.9]",6872.0,Bruno González Cabrera,3.0,Right Center Back,,,51.596317,-0.49919203,3.0,High Pass,"[95.7, 51.2]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.99,0.5470000000000041,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3833464573175366
