id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,pass_outcome_id,pass_outcome_name,pass_cross,pass_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,off_camera,interception_outcome_id,interception_outcome_name,out,clearance_left_foot,pass_switch,foul_committed_card_id,foul_committed_card_name,clearance_head,pass_technique_id,pass_technique_name,pass_inswinging,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,clearance_aerial_won,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_body_part_id,goalkeeper_body_part_name,miscontrol_aerial_won,pass_no_touch,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,pass_outswinging,dribble_nutmeg,foul_won_defensive,pass_through_ball,foul_committed_advantage,foul_won_advantage,ball_recovery_recovery_failure,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_aerial_won,block_deflection,pass_goal_assist,pass_miscommunication,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
999b8977-be91-4615-82ff-f8d3edf213a5,2363,2,00:31:35.649,76,35,147,0.0,22,Foul Committed,218,Real Betis,3,From Free Kick,213,Sevilla,,,['5edd2d0e-79ac-49c2-8c6f-ab54c76ac39f'],"[61.9, 22.0]",3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.649,0.4329999999999927,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5564753068260725
5edd2d0e-79ac-49c2-8c6f-ab54c76ac39f,2364,2,00:31:35.649,76,35,147,0.0,21,Foul Won,218,Real Betis,3,From Free Kick,218,Real Betis,,,['999b8977-be91-4615-82ff-f8d3edf213a5'],"[58.2, 58.1]",27346.0,Petros Matheus dos Santos Araújo,11.0,Left Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,1895.649,0.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.47739813188294045
93bafcd3-976c-48b7-8bc9-93fa73b6b6bf,2365,2,00:31:42.751,76,42,148,2.524054,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['924b203a-0f57-474f-8db8-a63895c29790'],"[60.2, 61.2]",6872.0,Bruno González Cabrera,2.0,Right Back,5671.0,Alfred John Momar N''Diaye,20.2,-1.5707964,1.0,Ground Pass,"[60.2, 41.0]",62.0,Free Kick,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902.751,7.102000000000089,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9509657973109682
924b203a-0f57-474f-8db8-a63895c29790,2366,2,00:31:45.275,76,45,148,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['93bafcd3-976c-48b7-8bc9-93fa73b6b6bf'],"[60.2, 41.0]",5671.0,Alfred John Momar N''Diaye,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905.275,2.5240000000001146,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6986534918212196
5376a968-c6b8-4dd3-ab9d-a4bcd117e665,2367,2,00:31:45.275,76,45,148,0.900197,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['924b203a-0f57-474f-8db8-a63895c29790', 'ba2f5f96-79a8-4186-8a19-508210708c6f']","[60.2, 41.0]",5671.0,Alfred John Momar N''Diaye,9.0,Right Defensive Midfield,,,,,,,,,,,,,"[61.1, 38.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905.275,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.61748266303336
ba2f5f96-79a8-4186-8a19-508210708c6f,2368,2,00:31:46.175,76,46,148,1.531549,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['bde96a09-08f2-4cdf-966c-d47fcddcfc7c'],"[61.1, 38.5]",5671.0,Alfred John Momar N''Diaye,9.0,Right Defensive Midfield,6593.0,Martín Montoya Torralbo,25.911581,-1.3923236,1.0,Ground Pass,"[65.7, 13.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906.175,0.8999999999998636,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8989735619044239
bde96a09-08f2-4cdf-966c-d47fcddcfc7c,2369,2,00:31:47.707,76,47,148,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['ba2f5f96-79a8-4186-8a19-508210708c6f'],"[65.7, 13.0]",6593.0,Martín Montoya Torralbo,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907.707,1.5320000000001528,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5337143106933906
688904f3-eece-49f6-a22f-90deeb43c312,2370,2,00:31:47.707,76,47,148,0.442416,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['76d144b9-b1ed-43ad-b480-dda9d54eb935', 'bde96a09-08f2-4cdf-966c-d47fcddcfc7c']","[65.7, 13.0]",6593.0,Martín Montoya Torralbo,6.0,Left Back,,,,,,,,,,,,,"[63.7, 11.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907.707,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6682074137903609
76d144b9-b1ed-43ad-b480-dda9d54eb935,2371,2,00:31:48.149,76,48,148,1.219006,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['df8ae7b9-35d1-440c-8d4e-80c4987f36d9'],"[63.7, 11.6]",6593.0,Martín Montoya Torralbo,6.0,Left Back,6697.0,Daniel Ceballos Fernández,14.722093,-0.24003637,1.0,Ground Pass,"[78.0, 8.1]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908.149,0.4419999999997799,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.4301352107481604
df8ae7b9-35d1-440c-8d4e-80c4987f36d9,2372,2,00:31:49.368,76,49,148,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['76d144b9-b1ed-43ad-b480-dda9d54eb935'],"[78.0, 8.1]",6697.0,Daniel Ceballos Fernández,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909.368,1.219000000000051,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6412357732227161
