id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,pass_outcome_id,pass_outcome_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,foul_won_defensive,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_deflected,shot_technique_id,shot_technique_name,shot_freeze_frame,block_deflection,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,off_camera,pass_technique_id,pass_technique_name,pass_through_ball,out,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,interception_outcome_id,interception_outcome_name,pass_switch,shot_first_time,goalkeeper_end_location,pass_inswinging,clearance_aerial_won,clearance_head,clearance_left_foot,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,foul_committed_card_id,foul_committed_card_name,dribble_nutmeg,pass_goal_assist,pass_no_touch,dribble_no_touch,dribble_overrun,ball_recovery_offensive,shot_one_on_one,miscontrol_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
5819f32f-c5e6-444c-9156-52278a39e6a9,232,1,00:06:20.536,6,20,26,0.159099,17,Pressure,222,Villarreal,3,From Free Kick,360,Rayo Vallecano,,,"['5c82742e-2d8a-4e47-a154-9246761d2a9d', '7e828847-035c-45b9-98e4-e93bb585610e']","[24.7, 23.7]",6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.536,0.6720000000000255,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5539254628606133
5c82742e-2d8a-4e47-a154-9246761d2a9d,233,1,00:06:20.648,6,20,26,,42,Ball Receipt*,222,Villarreal,3,From Free Kick,222,Villarreal,,,"['37d57a02-7d4a-457e-bd44-7bb691365419', '5819f32f-c5e6-444c-9156-52278a39e6a9']","[95.3, 56.5]",26009.0,Roberto Soldado Rillo,22.0,Right Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.648,0.11200000000002319,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.928513412771631
7e828847-035c-45b9-98e4-e93bb585610e,234,1,00:06:20.648,6,20,26,0.16,43,Carry,222,Villarreal,3,From Free Kick,222,Villarreal,,,"['38b817e4-b5db-4074-a424-c2d1603771d1', '5819f32f-c5e6-444c-9156-52278a39e6a9', '5c82742e-2d8a-4e47-a154-9246761d2a9d']","[95.3, 56.5]",26009.0,Roberto Soldado Rillo,22.0,Right Center Forward,,,,,,,,,,,,"[93.2, 59.4]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.648,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.11289554709903105
38b817e4-b5db-4074-a424-c2d1603771d1,235,1,00:06:20.808,6,20,26,0.0,38,Miscontrol,222,Villarreal,3,From Free Kick,222,Villarreal,,,,"[93.2, 59.4]",26009.0,Roberto Soldado Rillo,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.808,0.15999999999996817,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.9151509583841414
3ce9ee9c-dbdf-4864-be2e-c49e9e32ec89,236,1,00:06:33.482,6,33,27,1.239772,30,Pass,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['434cd9e7-5b9a-4619-9ee6-cfa296628410'],"[32.1, 0.1]",6914.0,Roberto Román Triguero,6.0,Left Back,11542.0,Javier Guerra Rodríguez,13.737904,0.551655,3.0,High Pass,"[43.8, 7.3]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.482,12.674000000000035,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.595966700009319
434cd9e7-5b9a-4619-9ee6-cfa296628410,237,1,00:06:34.722,6,34,27,,42,Ball Receipt*,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['3ce9ee9c-dbdf-4864-be2e-c49e9e32ec89'],"[43.8, 7.3]",11542.0,Javier Guerra Rodríguez,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.722,1.2399999999999523,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17152314022046566
2f30f940-6c3c-40ea-8a13-3017c5828d8e,238,1,00:06:34.722,6,34,27,0.574701,43,Carry,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,"['434cd9e7-5b9a-4619-9ee6-cfa296628410', '6d11eb3f-5711-496e-bb55-9b26341b9ced', '822b2518-b929-43af-b77c-6af6ab24cf7b']","[43.8, 7.3]",11542.0,Javier Guerra Rodríguez,23.0,Center Forward,,,,,,,,,,,,"[40.0, 6.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.722,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5238360448074364
6d11eb3f-5711-496e-bb55-9b26341b9ced,239,1,00:06:34.858,6,34,27,0.605873,17,Pressure,360,Rayo Vallecano,4,From Throw In,222,Villarreal,,,"['2f30f940-6c3c-40ea-8a13-3017c5828d8e', '822b2518-b929-43af-b77c-6af6ab24cf7b']","[77.6, 73.4]",6357.0,Jonathan dos Santos Ramírez,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.858,0.1360000000000241,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9730564603582482
822b2518-b929-43af-b77c-6af6ab24cf7b,240,1,00:06:35.296,6,35,27,0.969984,30,Pass,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,"['6d11eb3f-5711-496e-bb55-9b26341b9ced', 'da570329-68d3-4def-a117-0bab88abba77']","[40.0, 6.5]",11542.0,Javier Guerra Rodríguez,23.0,Center Forward,6914.0,Roberto Román Triguero,7.702597,-2.625667,1.0,Ground Pass,"[33.3, 2.7]",,,40.0,Right Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.296,0.4379999999999882,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.08693708968186997
da570329-68d3-4def-a117-0bab88abba77,241,1,00:06:36.266,6,36,27,,42,Ball Receipt*,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['822b2518-b929-43af-b77c-6af6ab24cf7b'],"[33.3, 2.7]",6914.0,Roberto Román Triguero,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.266,0.9700000000000273,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.751888844178117
