id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,pass_switch,out,off_camera,pass_technique_id,pass_technique_name,pass_through_ball,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,pass_cross,clearance_right_foot,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_inswinging,clearance_left_foot,shot_one_on_one,pass_cut_back,foul_committed_advantage,foul_won_advantage,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,ball_recovery_recovery_failure,foul_won_defensive,pass_no_touch,pass_outswinging,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_goal_assist,shot_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,dribble_overrun,ball_recovery_offensive,miscontrol_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
2f3b086b-03f7-494e-a1a3-ed6d9d2220bc,2712,2,00:29:22.653,74,22,151,0.666855,43,Carry,215,Athletic Club,4,From Throw In,215,Athletic Club,,,"['b7a76c60-9009-4c3f-9598-bab47f1c56a2', 'be2c286b-cd9c-4334-b882-e5daa0178d62']","[58.6, 49.6]",6788.0,Xabier Etxeita Gorritxategi,3.0,Right Center Back,,,,,,,,,,,,"[57.8, 47.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762.653,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9434092149235958
b7a76c60-9009-4c3f-9598-bab47f1c56a2,2713,2,00:29:23.320,74,23,151,0.828559,30,Pass,215,Athletic Club,4,From Throw In,215,Athletic Club,,,['f03d98bb-5448-45e2-bbda-097c64029093'],"[57.8, 47.8]",6788.0,Xabier Etxeita Gorritxategi,3.0,Right Center Back,6389.0,Mikel San José Domínguez,4.3185644,-1.6635526,1.0,Ground Pass,"[57.4, 43.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763.32,0.6669999999999163,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.22053284939294227
f03d98bb-5448-45e2-bbda-097c64029093,2714,2,00:29:24.148,74,24,151,,42,Ball Receipt*,215,Athletic Club,4,From Throw In,215,Athletic Club,,,['b7a76c60-9009-4c3f-9598-bab47f1c56a2'],"[57.4, 43.5]",6389.0,Mikel San José Domínguez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764.148,0.8279999999999745,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9324465009619384
4d5382d5-ed08-4b71-a838-ab0c35cfb22f,2715,2,00:29:24.148,74,24,151,0.987482,43,Carry,215,Athletic Club,4,From Throw In,215,Athletic Club,,,"['5f56c4ad-a7c7-4fcf-9589-339aec565ca8', 'f03d98bb-5448-45e2-bbda-097c64029093']","[57.4, 43.5]",6389.0,Mikel San José Domínguez,11.0,Left Defensive Midfield,,,,,,,,,,,,"[56.8, 42.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764.148,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8878639568193122
5f56c4ad-a7c7-4fcf-9589-339aec565ca8,2716,2,00:29:25.136,74,25,151,1.784789,30,Pass,215,Athletic Club,4,From Throw In,215,Athletic Club,,,['c04215d1-dafd-4592-884c-abf132b53b70'],"[56.8, 42.2]",6389.0,Mikel San José Domínguez,11.0,Left Defensive Midfield,4353.0,Aymeric Laporte,20.004,-1.550799,1.0,Ground Pass,"[57.2, 22.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1765.136,0.9880000000000564,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.13290598438558376
c04215d1-dafd-4592-884c-abf132b53b70,2717,2,00:29:26.920,74,26,151,,42,Ball Receipt*,215,Athletic Club,4,From Throw In,215,Athletic Club,,,['5f56c4ad-a7c7-4fcf-9589-339aec565ca8'],"[57.2, 22.2]",4353.0,Aymeric Laporte,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766.92,1.7840000000001055,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03777223553701814
1d8ee021-43a0-4133-a791-5c34cbf713d9,2718,2,00:29:26.920,74,26,151,3.400566,43,Carry,215,Athletic Club,4,From Throw In,215,Athletic Club,,,"['c04215d1-dafd-4592-884c-abf132b53b70', 'c209ce73-cd7c-47cd-ae70-45567f16534a']","[57.2, 22.2]",4353.0,Aymeric Laporte,5.0,Left Center Back,,,,,,,,,,,,"[70.7, 22.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766.92,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2974276507365211
c209ce73-cd7c-47cd-ae70-45567f16534a,2719,2,00:29:30.321,74,30,151,0.806308,30,Pass,215,Athletic Club,4,From Throw In,215,Athletic Club,,,['15b4fa9b-2fc7-4baf-aa99-1cd0eb1c1430'],"[70.7, 22.2]",4353.0,Aymeric Laporte,5.0,Left Center Back,6391.0,Raúl García Escudero,23.04886,-0.06512516,1.0,Ground Pass,"[93.7, 20.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770.321,3.40099999999984,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.33986164169164945
15b4fa9b-2fc7-4baf-aa99-1cd0eb1c1430,2720,2,00:29:31.127,74,31,151,,42,Ball Receipt*,215,Athletic Club,4,From Throw In,215,Athletic Club,,,['c209ce73-cd7c-47cd-ae70-45567f16534a'],"[93.7, 20.7]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771.127,0.80600000000004,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4771616471428435
1358f6bf-02b5-4d6c-962d-00d4332acd01,2721,2,00:29:31.127,74,31,151,2.038257,43,Carry,215,Athletic Club,4,From Throw In,215,Athletic Club,,,"['063800ff-72f2-47ab-9a8c-a3d3622de972', '15b4fa9b-2fc7-4baf-aa99-1cd0eb1c1430']","[93.7, 20.7]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,,,,,,,,,,"[96.4, 21.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771.127,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6994252648020636
