id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,out,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,off_camera,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,pass_aerial_won,clearance_head,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cross,clearance_aerial_won,pass_deflected,block_deflection,pass_miscommunication,pass_technique_id,pass_technique_name,pass_through_ball,pass_outswinging,foul_committed_offensive,foul_won_defensive,dribble_overrun,ball_recovery_recovery_failure,pass_inswinging,pass_goal_assist,clearance_left_foot,pass_cut_back,goalkeeper_end_location,shot_saved_off_target,goalkeeper_shot_saved_off_target,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,block_offensive,shot_aerial_won,pass_no_touch,shot_one_on_one,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_open_goal,foul_committed_penalty,foul_won_penalty,clearance_other,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
f1fb5170-4fba-4ef9-92a5-32a821fc46c4,2339,2,00:16:55.359,61,55,136,2.000047,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['80ad4b28-b45f-4e84-bec9-4abd77a7c7e2', 'f8253a2d-abd4-4c29-8fb5-83dce00be4aa']","[72.6, 61.5]",5470.0,Ivan Rakitić,15.0,Left Center Midfield,,,,,,,,,,,,"[84.4, 51.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.359,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8810914231745288
80ad4b28-b45f-4e84-bec9-4abd77a7c7e2,2340,2,00:16:57.359,61,57,136,0.796257,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['170d319e-2fce-4de0-b757-6c3fe1c9c750'],"[84.4, 51.0]",5470.0,Ivan Rakitić,15.0,Left Center Midfield,4320.0,Neymar da Silva Santos Junior,25.197817,-0.87250113,1.0,Ground Pass,"[100.6, 31.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.359,2.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5982758026005038
170d319e-2fce-4de0-b757-6c3fe1c9c750,2341,2,00:16:58.156,61,58,136,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,['80ad4b28-b45f-4e84-bec9-4abd77a7c7e2'],"[100.6, 31.7]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.156,0.7969999999999118,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7576422677344099
2eb6337c-2776-484f-9f59-e78881fb1518,2342,2,00:16:58.156,61,58,136,2.043909,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['170d319e-2fce-4de0-b757-6c3fe1c9c750', '3dcefbb8-f1f3-43f7-bb89-ecb322210293', 'aa52fdaf-ae1e-4e0d-a6e3-d301694df694']","[100.6, 31.7]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,"[98.9, 36.3]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.156,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08119074478409127
3dcefbb8-f1f3-43f7-bb89-ecb322210293,2343,2,00:16:59.947,61,59,136,0.5565,17,Pressure,217,Barcelona,4,From Throw In,360,Rayo Vallecano,,,"['2eb6337c-2776-484f-9f59-e78881fb1518', 'aa52fdaf-ae1e-4e0d-a6e3-d301694df694']","[19.3, 44.9]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019.947,1.7910000000000537,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.10945435711640794
aa52fdaf-ae1e-4e0d-a6e3-d301694df694,2344,2,00:17:00.200,62,0,136,0.727834,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,"['3dcefbb8-f1f3-43f7-bb89-ecb322210293', '9d84b33e-9db9-4f55-9902-059ac9d7452b']","[98.9, 36.3]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,5503.0,Lionel Andrés Messi Cuccittini,8.609298,1.5243182,1.0,Ground Pass,"[99.3, 44.9]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.2,0.25300000000004275,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0680271307639011
9d84b33e-9db9-4f55-9902-059ac9d7452b,2345,2,00:17:00.927,62,0,136,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,['aa52fdaf-ae1e-4e0d-a6e3-d301694df694'],"[99.3, 44.9]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.927,0.7269999999999754,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9507384151092173
bac5b945-0edc-42a8-997d-d17f344e89cd,2346,2,00:17:00.927,62,0,136,0.608099,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['9d84b33e-9db9-4f55-9902-059ac9d7452b', 'fe608fd7-77f5-4fc1-b272-6767b142ee5f']","[99.3, 44.9]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,,,,,,,,,,,,"[99.5, 43.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.927,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.814607185340187
fe608fd7-77f5-4fc1-b272-6767b142ee5f,2347,2,00:17:01.535,62,1,136,0.589201,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,"['bac196f6-6564-4ff5-9d93-71d92eaadf18', 'ffde6d94-4ee0-477d-9e8b-3762f73773d9']","[99.5, 43.6]",5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,5216.0,Andrés Iniesta Luján,13.138112,-1.42567,1.0,Ground Pass,"[101.4, 30.6]",38.0,Left Foot,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.535,0.6079999999999472,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.005286156022451749
ffde6d94-4ee0-477d-9e8b-3762f73773d9,2348,2,00:17:02.125,62,2,136,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,['fe608fd7-77f5-4fc1-b272-6767b142ee5f'],"[99.7, 23.1]",5216.0,Andrés Iniesta Luján,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022.125,0.5900000000000318,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9279390482385124
