id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,out,clearance_head,clearance_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,pass_cross,ball_recovery_recovery_failure,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_switch,pass_goal_assist,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,off_camera,clearance_left_foot,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,miscontrol_aerial_won,foul_committed_advantage,foul_won_defensive,foul_won_advantage,pass_cut_back,pass_technique_id,pass_technique_name,pass_through_ball,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_deflected,block_deflection,pass_outswinging,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,clearance_other,block_offensive,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
0c07d2b1-70ea-44ed-bf2f-ce1ec7e3aa78,636,1,00:15:47.535,15,47,42,1.407815,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['809adb50-d7e0-4dd5-9f5d-f281a1465aff', 'a2104e42-fa13-4143-9093-6d11ca06dbd7']","[48.9, 15.1]",6671.0,Asier Illarramendi Andonegi,11.0,Left Defensive Midfield,6685.0,Mikel Oyarzabal Ugarte,12.592855,1.3547114,3.0,High Pass,"[51.6, 27.4]",37.0,Head,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.535,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.33899781503213244
a2104e42-fa13-4143-9093-6d11ca06dbd7,637,1,00:15:48.943,15,48,42,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['0c07d2b1-70ea-44ed-bf2f-ce1ec7e3aa78'],"[50.7, 29.4]",6685.0,Mikel Oyarzabal Ugarte,17.0,Right Wing,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.943,1.4080000000000155,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8600243458217413
809adb50-d7e0-4dd5-9f5d-f281a1465aff,638,1,00:15:48.943,15,48,42,1.325318,30,Pass,210,Real Sociedad,1,Regular Play,322,Eibar,,,"['0c07d2b1-70ea-44ed-bf2f-ce1ec7e3aa78', '53dd6d26-8df7-4c3f-aea9-9e13f4f173cd']","[68.5, 52.7]",6775.0,Daniel García Carrillo,9.0,Right Defensive Midfield,,,18.976301,-0.7332068,2.0,Low Pass,"[82.6, 40.0]",37.0,Head,66.0,Recovery,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.943,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.014252120741332308
53dd6d26-8df7-4c3f-aea9-9e13f4f173cd,639,1,00:15:50.268,15,50,42,0.0,2,Ball Recovery,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['809adb50-d7e0-4dd5-9f5d-f281a1465aff'],"[37.5, 40.1]",6679.0,Aritz Elustondo Irribaria,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.268,1.3250000000000455,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.453447324477819
528cc4dc-ab39-46c7-b3fe-22d71acb8e9f,640,1,00:15:50.268,15,50,42,2.552811,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['53dd6d26-8df7-4c3f-aea9-9e13f4f173cd', '8727af0c-f649-4545-9531-44b95b693928', 'ebfddc9c-ae65-469a-a597-e4e6706987ca']","[37.5, 40.1]",6679.0,Aritz Elustondo Irribaria,2.0,Right Back,,,,,,,,,,,,"[46.4, 31.9]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.268,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7277904918674627
ebfddc9c-ae65-469a-a597-e4e6706987ca,641,1,00:15:51.179,15,51,42,1.523663,17,Pressure,210,Real Sociedad,1,Regular Play,322,Eibar,,,['528cc4dc-ab39-46c7-b3fe-22d71acb8e9f'],"[80.0, 42.5]",5687.0,Takashi Inui,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951.179,0.9109999999999445,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3699057014400433
8727af0c-f649-4545-9531-44b95b693928,642,1,00:15:52.821,15,52,42,2.657499,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['036f049a-5d4e-4b4d-b969-b477e9cf2fe5'],"[46.4, 31.9]",6679.0,Aritz Elustondo Irribaria,2.0,Right Back,6694.0,Gerónimo Rulli,37.006214,2.9759998,1.0,Ground Pass,"[9.9, 38.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.821,1.6420000000000528,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4174781956644946
036f049a-5d4e-4b4d-b969-b477e9cf2fe5,643,1,00:15:55.479,15,55,42,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['8727af0c-f649-4545-9531-44b95b693928'],"[9.9, 38.0]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.479,2.6580000000000155,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8114363082149408
9b37606c-2737-4a71-927b-7f830f0c8451,644,1,00:15:55.479,15,55,42,3.249062,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['036f049a-5d4e-4b4d-b969-b477e9cf2fe5', '476d2e0a-0ecc-4d5c-8118-44a7c89caed8']","[9.9, 38.0]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,,,,,,,,,,,,"[15.1, 40.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.479,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.23523173111517792
476d2e0a-0ecc-4d5c-8118-44a7c89caed8,645,1,00:15:58.728,15,58,42,3.81573,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['17dc5939-09cf-479f-9540-977d769a23cf', '3b941b70-ffd7-4110-b80d-25593e6ca1a8']","[15.1, 40.0]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,6685.0,Mikel Oyarzabal Ugarte,63.07583,-0.18495838,3.0,High Pass,"[77.1, 28.4]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958.728,3.24899999999991,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.31761081695665183
17dc5939-09cf-479f-9540-977d769a23cf,646,1,00:16:02.544,16,2,42,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['476d2e0a-0ecc-4d5c-8118-44a7c89caed8'],"[73.3, 26.7]",6685.0,Mikel Oyarzabal Ugarte,17.0,Right Wing,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.544,3.816000000000031,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.41517640099654973
51f21a21-99fb-4ff4-a06d-d471df2471f0,647,1,00:16:02.544,16,2,42,0.0,4,Duel,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['3b941b70-ffd7-4110-b80d-25593e6ca1a8'],"[77.1, 28.4]",6685.0,Mikel Oyarzabal Ugarte,17.0,Right Wing,,,,,,,,,,,,,True,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.544,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8523809062058505
3b941b70-ffd7-4110-b80d-25593e6ca1a8,648,1,00:16:02.544,16,2,42,0.0,9,Clearance,210,Real Sociedad,1,Regular Play,322,Eibar,,,"['476d2e0a-0ecc-4d5c-8118-44a7c89caed8', '51f21a21-99fb-4ff4-a06d-d471df2471f0']","[43.0, 51.7]",26764.0,Jon Ansotegi Gorostola,3.0,Right Center Back,,,,,,,,,,,,,True,,,,,,,,,37.0,Head,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.544,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.024175595875035483
