id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_switch,pass_cross,pass_outcome_id,pass_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_punched_out,goalkeeper_type_id,goalkeeper_type_name,pass_technique_id,pass_technique_name,pass_inswinging,duel_type_id,duel_type_name,pass_aerial_won,off_camera,ball_receipt_outcome_id,ball_receipt_outcome_name,out,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,interception_outcome_id,interception_outcome_name,counterpress,clearance_right_foot,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,shot_first_time,shot_freeze_frame,pass_outswinging,miscontrol_aerial_won,clearance_other,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,goalkeeper_end_location,clearance_left_foot,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,foul_committed_advantage,foul_won_advantage,pass_goal_assist,ball_recovery_recovery_failure,dribble_nutmeg,pass_straight,pass_through_ball,shot_one_on_one,pass_cut_back,pass_miscommunication,pass_no_touch,dribble_overrun,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
1dd80620-6390-49ea-9af8-948a930ee2cb,463,1,00:11:49.825,11,49,23,0.0,8,Offside,322,Eibar,2,From Corner,322,Eibar,,,,"[110.5, 40.6]",6557.0,Adrián González Morales,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.825,2.1240000000000236,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.04248390033377247
a2657bb5-3ac5-4803-9189-9cfb6a76b976,464,1,00:12:10.526,12,10,24,1.225448,30,Pass,207,Valencia,3,From Free Kick,207,Valencia,,,['18e76140-1c03-4ae8-ad9a-e9743cb922d3'],"[14.8, 39.0]",25144.0,Diego Alves Carreira,1.0,Goalkeeper,3638.0,Shkodran Mustafi,21.912554,1.1970695,1.0,Ground Pass,"[22.8, 59.4]",40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.526,20.700999999999908,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3072958937478345
18e76140-1c03-4ae8-ad9a-e9743cb922d3,465,1,00:12:11.751,12,11,24,,42,Ball Receipt*,207,Valencia,3,From Free Kick,207,Valencia,,,['a2657bb5-3ac5-4803-9189-9cfb6a76b976'],"[22.8, 59.4]",3638.0,Shkodran Mustafi,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731.751,1.2250000000000227,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6484646090415332
8c16fb30-85ed-45f3-a9ed-f0c6b4681c69,466,1,00:12:13.382,12,13,24,1.6,30,Pass,207,Valencia,3,From Free Kick,207,Valencia,,,['ab35b6fc-deaa-4aaa-a331-7e71983c8fab'],"[22.8, 59.4]",3638.0,Shkodran Mustafi,3.0,Right Center Back,25144.0,Diego Alves Carreira,22.204954,-1.9153349,1.0,Ground Pass,"[15.3, 38.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733.382,1.6309999999999718,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.20811349496607967
ab35b6fc-deaa-4aaa-a331-7e71983c8fab,467,1,00:12:14.982,12,14,24,,42,Ball Receipt*,207,Valencia,3,From Free Kick,207,Valencia,,,['8c16fb30-85ed-45f3-a9ed-f0c6b4681c69'],"[15.3, 38.5]",25144.0,Diego Alves Carreira,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.982,1.6000000000000227,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.30637161650168654
3c4c7ad6-8329-41f1-a681-e1b8d4ccd2b2,468,1,00:12:14.982,12,14,24,2.012603,43,Carry,207,Valencia,3,From Free Kick,207,Valencia,,,"['ab35b6fc-deaa-4aaa-a331-7e71983c8fab', 'b9162a0c-d80b-4c04-9d49-b4ce033385b6', 'dae69361-9d75-401f-99b8-cb3eac5a86b5']","[15.3, 38.5]",25144.0,Diego Alves Carreira,1.0,Goalkeeper,,,,,,,,,,,,"[11.0, 32.9]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.982,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5430480287109879
b9162a0c-d80b-4c04-9d49-b4ce033385b6,469,1,00:12:15.135,12,15,24,1.766353,17,Pressure,207,Valencia,3,From Free Kick,322,Eibar,,,['3c4c7ad6-8329-41f1-a681-e1b8d4ccd2b2'],"[107.6, 45.0]",6566.0,Borja González Tomás,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.135,0.15300000000002,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.48045966419705033
dae69361-9d75-401f-99b8-cb3eac5a86b5,470,1,00:12:16.995,12,16,24,2.288448,30,Pass,207,Valencia,3,From Free Kick,207,Valencia,,,['cb5bc5dd-022e-4bdd-98c7-0a0e0bc9c476'],"[11.0, 32.9]",25144.0,Diego Alves Carreira,1.0,Goalkeeper,26780.0,Guilherme Magdalena Siqueira,43.690845,-0.73196447,3.0,High Pass,"[43.5, 3.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.995,1.8600000000000136,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7229933517424385
cb5bc5dd-022e-4bdd-98c7-0a0e0bc9c476,471,1,00:12:19.284,12,19,24,,42,Ball Receipt*,207,Valencia,3,From Free Kick,207,Valencia,,,['dae69361-9d75-401f-99b8-cb3eac5a86b5'],"[43.5, 3.7]",26780.0,Guilherme Magdalena Siqueira,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.284,2.2889999999999873,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06890895039034117
683191fd-c2de-4ca5-b38c-460008544e7a,472,1,00:12:19.284,12,19,24,2.093617,30,Pass,207,Valencia,3,From Free Kick,207,Valencia,,,['981aeaec-b7cd-44bc-b0ee-a4e105ce23cc'],"[43.5, 3.7]",26780.0,Guilherme Magdalena Siqueira,6.0,Left Back,10802.0,André Filipe Tavares Gomes,9.364828,2.0965648,3.0,High Pass,"[38.8, 11.8]",70.0,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.284,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.2751910869273869
981aeaec-b7cd-44bc-b0ee-a4e105ce23cc,473,1,00:12:21.377,12,21,24,,42,Ball Receipt*,207,Valencia,3,From Free Kick,207,Valencia,,,['683191fd-c2de-4ca5-b38c-460008544e7a'],"[38.8, 11.8]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.377,2.092999999999961,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4771598615543996
