id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,out,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,duel_type_id,duel_type_name,pass_aerial_won,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,clearance_head,counterpress,pass_cross,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,dribble_overrun,dribble_no_touch,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,clearance_right_foot,clearance_aerial_won,shot_one_on_one,goalkeeper_technique_id,goalkeeper_technique_name,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_aerial_won,pass_cut_back,injury_stoppage_in_chain,pass_technique_id,pass_technique_name,pass_straight,dribble_nutmeg,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_other,pass_goal_assist,pass_no_touch,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
9fa424c2-a51c-408e-8acb-01cad85b3aa1,1361,1,00:35:31.937,35,31,87,3.932229,43,Carry,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['846548a8-5930-49ad-be3e-1348208fc216', 'c37ea7c1-6de4-4868-a281-f7ec34b4418d']","[83.9, 40.7]",6668.0,José Luis Morales Nogales,21.0,Left Wing,,,,,,,,,,,,"[98.1, 49.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131.937,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.27179332172386717
846548a8-5930-49ad-be3e-1348208fc216,1362,1,00:35:35.869,35,35,87,1.670486,30,Pass,221,Levante UD,3,From Free Kick,221,Levante UD,,,['4f2e2698-4983-44ee-873f-40f41d7e6508'],"[98.1, 49.7]",6668.0,José Luis Morales Nogales,21.0,Left Wing,23943.0,Rubén García Santos,18.161774,1.1810877,1.0,Ground Pass,"[105.0, 66.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2135.869,3.9320000000002437,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4784788626708346
4f2e2698-4983-44ee-873f-40f41d7e6508,1363,1,00:35:37.540,35,37,87,,42,Ball Receipt*,221,Levante UD,3,From Free Kick,221,Levante UD,,,['846548a8-5930-49ad-be3e-1348208fc216'],"[105.0, 66.5]",23943.0,Rubén García Santos,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137.54,1.6709999999998217,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8835792742316186
a83bb647-e975-4267-a3a7-9fe34a5ca4ba,1364,1,00:35:37.540,35,37,87,4.328031,43,Carry,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['1ca4eb8e-251a-48f6-ab64-4a179a3a4b68', '4f2e2698-4983-44ee-873f-40f41d7e6508', 'f0879535-add8-4c52-b41b-798256f7d00b']","[105.0, 66.5]",23943.0,Rubén García Santos,17.0,Right Wing,,,,,,,,,,,,"[116.6, 61.7]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137.54,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3941335245348796
f0879535-add8-4c52-b41b-798256f7d00b,1365,1,00:35:41.044,35,41,87,0.823621,17,Pressure,221,Levante UD,3,From Free Kick,214,Espanyol,,,"['1ca4eb8e-251a-48f6-ab64-4a179a3a4b68', 'a83bb647-e975-4267-a3a7-9fe34a5ca4ba']","[4.5, 18.4]",4741.0,Juan Rafael Fuentes Hernández,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141.044,3.5039999999999054,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8772123576950228
1ca4eb8e-251a-48f6-ab64-4a179a3a4b68,1366,1,00:35:41.868,35,41,87,0.0,3,Dispossessed,221,Levante UD,3,From Free Kick,221,Levante UD,,,"['8d261650-95e0-4c18-84c4-7b4b56162545', 'f0879535-add8-4c52-b41b-798256f7d00b']","[116.6, 61.7]",23943.0,Rubén García Santos,17.0,Right Wing,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141.868,0.8240000000000691,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7584335203717996
8d261650-95e0-4c18-84c4-7b4b56162545,1367,1,00:35:41.868,35,41,87,0.0,4,Duel,221,Levante UD,3,From Free Kick,214,Espanyol,,,['1ca4eb8e-251a-48f6-ab64-4a179a3a4b68'],"[3.5, 18.4]",4741.0,Juan Rafael Fuentes Hernández,6.0,Left Back,,,,,,,,,,,,,,,,,,True,,,,,11.0,Tackle,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141.868,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5288040036214284
a060c218-fc22-4bd4-8765-e5df5bc4c98e,1368,1,00:36:13.294,36,13,88,1.651358,30,Pass,221,Levante UD,2,From Corner,221,Levante UD,,,['d1e7afcc-69c6-420d-a48e-9a04028300bd'],"[120.0, 80.0]",23943.0,Rubén García Santos,17.0,Right Wing,26012.0,David Navarro Pedrós,40.587807,-1.7918704,3.0,High Pass,"[111.1, 40.4]",38.0,Left Foot,61.0,Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ed8c6851-c4a4-459e-8685-f3342845647c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,Straight,True,,,,,,,,,,,,2173.294,31.42599999999993,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.07950197504267653
d1e7afcc-69c6-420d-a48e-9a04028300bd,1369,1,00:36:14.945,36,14,88,,42,Ball Receipt*,221,Levante UD,2,From Corner,221,Levante UD,,,['a060c218-fc22-4bd4-8765-e5df5bc4c98e'],"[111.1, 40.4]",26012.0,David Navarro Pedrós,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2174.945,1.6510000000002947,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9473053176870497
c71f94ad-39c6-43fb-b3e4-bc5e8fe609c0,1370,1,00:36:14.945,36,14,88,0.0,4,Duel,221,Levante UD,2,From Corner,214,Espanyol,,,['ed8c6851-c4a4-459e-8685-f3342845647c'],"[9.2, 39.7]",6762.0,Álvaro González Soberón,3.0,Right Center Back,,,,,,,,,,,,,,,,,,True,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2174.945,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04650069620262087
ed8c6851-c4a4-459e-8685-f3342845647c,1371,1,00:36:14.945,36,14,88,0.857418,16,Shot,221,Levante UD,2,From Corner,221,Levante UD,,,"['536fbed8-961d-43c0-aefb-2c03cc38c1e7', 'c71f94ad-39c6-43fb-b3e4-bc5e8fe609c0']","[110.9, 40.4]",26012.0,David Navarro Pedrós,3.0,Right Center Back,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,0.07782489,"[120.0, 44.7, 4.1]",a060c218-fc22-4bd4-8765-e5df5bc4c98e,87.0,Open Play,98.0,Off T,,93.0,Normal,37.0,Head,"[{'location': [112.8, 40.0], 'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.3, 35.4], 'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.7, 36.5], 'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [115.0, 43.0], 'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [112.3, 46.1], 'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.3, 39.8], 'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [114.7, 39.8], 'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.2, 39.9], 'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.9, 41.1], 'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 34.9], 'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.3, 44.9], 'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.2, 44.8], 'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.4, 42.2], 'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.6, 36.0], 'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.9, 37.5], 'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [118.5, 40.6], 'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,2174.945,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.13011861652962087
536fbed8-961d-43c0-aefb-2c03cc38c1e7,1372,1,00:36:15.803,36,15,88,0.0,23,Goal Keeper,221,Levante UD,2,From Corner,214,Espanyol,,,['ed8c6851-c4a4-459e-8685-f3342845647c'],"[1.6, 39.5]",6792.0,Pau López Sabata,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,Shot Faced,,,,,,,,,,,,,,,,,,,,,,,"[1.6, 39.5]",44.0,Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175.803,0.8579999999997199,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2891199669507911
ea10a4f8-f234-47ea-b3a0-b810559396fc,1373,1,00:36:38.280,36,38,89,3.457763,30,Pass,214,Espanyol,7,From Goal Kick,214,Espanyol,,,"['42a9f81b-7bd3-4ab0-a6b8-30947a288dba', 'b9c00f58-565e-42fd-a225-be7e04e0528b']","[7.0, 36.1]",6792.0,Pau López Sabata,1.0,Goalkeeper,6838.0,Hernán Arsenio Pérez González,63.45329,0.040986497,3.0,High Pass,"[70.4, 38.7]",38.0,Left Foot,63.0,Goal Kick,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2198.28,22.477000000000317,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.596106373200849
b9c00f58-565e-42fd-a225-be7e04e0528b,1374,1,00:36:41.738,36,41,89,,42,Ball Receipt*,214,Espanyol,7,From Goal Kick,214,Espanyol,,,['ea10a4f8-f234-47ea-b3a0-b810559396fc'],"[70.4, 38.7]",6838.0,Hernán Arsenio Pérez González,17.0,Right Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201.738,3.457999999999629,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8215990082896023
