id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,duel_outcome_id,duel_outcome_name,pass_cross,out,clearance_right_foot,pass_technique_id,pass_technique_name,pass_outswinging,pass_aerial_won,off_camera,pass_switch,dribble_outcome_id,dribble_outcome_name,50_50_outcome_id,50_50_outcome_name,foul_won_defensive,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_inswinging,block_offensive,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,clearance_left_foot,shot_open_goal,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_penalty,foul_won_penalty,ball_recovery_recovery_failure,dribble_overrun,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,pass_through_ball,foul_committed_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Own Goal Against,event_type_Own Goal For,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
747676ad-de31-4c3f-b48f-e357b6915fc5,2829,2,00:36:04.807,81,4,165,0.138289,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['12b3ebf2-e4a1-4a25-8fbf-9884817d8b38', 'e3fb43af-aa5d-4ee4-9961-416eb6080fd4']","[76.7, 57.2]",19668.0,Augusto Matías Fernández,9.0,Right Defensive Midfield,6724.0,Manuel Agudo Durán,5.3450913,0.30400094,1.0,Ground Pass,"[81.8, 58.8]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2164.807,2.25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.31930250645723457
12b3ebf2-e4a1-4a25-8fbf-9884817d8b38,2830,2,00:36:04.945,81,4,165,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['747676ad-de31-4c3f-b48f-e357b6915fc5'],"[84.6, 60.6]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2164.945,0.1380000000003747,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6700206759957121
e3fb43af-aa5d-4ee4-9961-416eb6080fd4,2831,2,00:36:04.945,81,4,165,0.0,10,Interception,209,Celta Vigo,4,From Throw In,219,RC Deportivo La Coruña,,,['747676ad-de31-4c3f-b48f-e357b6915fc5'],"[38.3, 21.3]",6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2164.945,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.6673422454714878
0f47dac8-2d15-4a76-a0a4-8678ca0ec670,2832,2,00:36:07.402,81,7,166,0.0,2,Ball Recovery,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,,"[41.7, 31.2]",5724.0,Fayçal Fajr,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2167.402,2.45699999999988,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.49379970868031686
2a13b584-fd4a-48ab-b839-a1880d0536db,2833,2,00:36:07.402,81,7,166,1.577762,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['0f47dac8-2d15-4a76-a0a4-8678ca0ec670', '8fbd7b35-b4c9-4b5b-b6a8-dba2b81f691a']","[41.7, 31.2]",5724.0,Fayçal Fajr,17.0,Right Wing,,,,,,,,,,,,"[38.7, 50.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2167.402,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3947918823473139
8fbd7b35-b4c9-4b5b-b6a8-dba2b81f691a,2834,2,00:36:08.980,81,8,166,2.27118,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['c3fd893d-b333-45c1-beb8-d2f4ee40a018'],"[38.7, 50.9]",5724.0,Fayçal Fajr,17.0,Right Wing,25997.0,Jonás Manuel Gutiérrez,25.785654,0.72503203,1.0,Ground Pass,"[58.0, 68.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168.98,1.5779999999999745,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8025924662403192
c3fd893d-b333-45c1-beb8-d2f4ee40a018,2835,2,00:36:11.251,81,11,166,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['8fbd7b35-b4c9-4b5b-b6a8-dba2b81f691a'],"[58.0, 68.0]",25997.0,Jonás Manuel Gutiérrez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2171.251,2.2710000000001855,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.060284940567120526
588300b2-1122-45d9-91d8-d8f9e3f2bb5e,2836,2,00:36:11.251,81,11,166,5.022715,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['406f132a-7925-401d-8912-124c01b06d04', 'c3fd893d-b333-45c1-beb8-d2f4ee40a018']","[58.0, 68.0]",25997.0,Jonás Manuel Gutiérrez,2.0,Right Back,,,,,,,,,,,,"[69.5, 69.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2171.251,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.19592164271434764
406f132a-7925-401d-8912-124c01b06d04,2837,2,00:36:16.274,81,16,166,0.942015,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['ce88cb78-00be-420d-8083-0d86d583d5a0'],"[69.5, 69.8]",25997.0,Jonás Manuel Gutiérrez,2.0,Right Back,5724.0,Fayçal Fajr,9.013878,-1.6262949,1.0,Ground Pass,"[69.0, 60.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2176.274,5.0229999999996835,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.31592159031099876
ce88cb78-00be-420d-8083-0d86d583d5a0,2838,2,00:36:17.216,81,17,166,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['406f132a-7925-401d-8912-124c01b06d04'],"[69.0, 60.8]",5724.0,Fayçal Fajr,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177.216,0.9420000000000073,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2698225405641175
