id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,off_camera,counterpress,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,pass_switch,foul_won_defensive,out,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,dribble_overrun,ball_recovery_recovery_failure,ball_recovery_offensive,clearance_left_foot,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_aerial_won,clearance_head,pass_cross,pass_technique_id,pass_technique_name,pass_through_ball,pass_outswinging,50_50_outcome_id,50_50_outcome_name,goalkeeper_end_location,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,block_offensive,shot_first_time,pass_cut_back,shot_aerial_won,pass_inswinging,miscontrol_aerial_won,pass_goal_assist,block_deflection,foul_committed_type_id,foul_committed_type_name,pass_deflected,pass_no_touch,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
f22bd847-0538-4915-a250-7654b4acbc5d,2210,2,00:04:52.417,49,52,113,,42,Ball Receipt*,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['51a9e026-5505-48db-97b3-a7d4bb4e11b4'],"[41.2, 30.2]",6788.0,Xabier Etxeita Gorritxategi,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.41700000000003,1.6540000000000532,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09571895726186597
dc000d94-ccfb-4a6f-b309-454e7f6a88a7,2211,2,00:04:52.417,49,52,113,3.615278,43,Carry,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['e1a7f832-5153-4770-bdd3-f6ce51db275f', 'f22bd847-0538-4915-a250-7654b4acbc5d']","[41.2, 30.2]",6788.0,Xabier Etxeita Gorritxategi,5.0,Left Center Back,,,,,,,,,,,,"[54.6, 27.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.41700000000003,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.28408575422853966
e1a7f832-5153-4770-bdd3-f6ce51db275f,2212,2,00:04:56.032,49,56,113,1.036446,30,Pass,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['a726ab10-20b9-4702-a93e-c2bb5e29b886'],"[54.6, 27.2]",6788.0,Xabier Etxeita Gorritxategi,5.0,Left Center Back,6391.0,Raúl García Escudero,15.822136,0.9108618,1.0,Ground Pass,"[64.3, 39.7]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.032,3.6149999999999523,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.16812802245024627
a726ab10-20b9-4702-a93e-c2bb5e29b886,2213,2,00:04:57.069,49,57,113,,42,Ball Receipt*,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['e1a7f832-5153-4770-bdd3-f6ce51db275f'],"[64.3, 39.7]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.069,1.0370000000000346,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7718201703501416
36fcff44-8394-4e36-aaaf-481cb8638d83,2214,2,00:04:57.069,49,57,113,0.276889,43,Carry,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['2b8f1564-17ee-40bf-a408-6116b41a588c', 'a726ab10-20b9-4702-a93e-c2bb5e29b886', 'dd3c9bfc-eecc-4628-a2f2-76d73712bf68']","[64.3, 39.7]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,,,,,,,,,,"[61.5, 33.1]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.069,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.47516476758520154
2b8f1564-17ee-40bf-a408-6116b41a588c,2215,2,00:04:57.266,49,57,113,0.688139,17,Pressure,215,Athletic Club,1,Regular Play,212,Atlético Madrid,,,"['36fcff44-8394-4e36-aaaf-481cb8638d83', 'dd3c9bfc-eecc-4628-a2f2-76d73712bf68']","[58.1, 40.1]",6381.0,Saúl Ñíguez Esclapez,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.266,0.19700000000000273,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7607614550790045
dd3c9bfc-eecc-4628-a2f2-76d73712bf68,2216,2,00:04:57.345,49,57,113,2.265553,30,Pass,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['2b8f1564-17ee-40bf-a408-6116b41a588c', 'eace5742-2944-400c-905d-1fdce2699468']","[61.5, 33.1]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,6789.0,Mikel Balenziaga Oruesagasti,28.164162,-1.5032834,1.0,Ground Pass,"[63.4, 5.0]",,,40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.345,0.07900000000000773,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.49153960484130976
eace5742-2944-400c-905d-1fdce2699468,2217,2,00:04:59.611,49,59,113,,42,Ball Receipt*,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['dd3c9bfc-eecc-4628-a2f2-76d73712bf68'],"[63.4, 5.0]",6789.0,Mikel Balenziaga Oruesagasti,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.611,2.2659999999999627,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12006387373959981
e02f3b4c-1704-4d39-85b8-13a661a0768e,2218,2,00:04:59.611,49,59,113,1.611189,43,Carry,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['75ced5bf-a9b6-4396-a4c2-10c392b52da0', 'eace5742-2944-400c-905d-1fdce2699468']","[63.4, 5.0]",6789.0,Mikel Balenziaga Oruesagasti,6.0,Left Back,,,,,,,,,,,,"[66.1, 7.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.611,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9593831762528783
75ced5bf-a9b6-4396-a4c2-10c392b52da0,2219,2,00:05:01.222,50,1,113,1.087081,30,Pass,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['f7c5e6c2-924f-4b54-9ea5-76116c79c6f3'],"[66.1, 7.2]",6789.0,Mikel Balenziaga Oruesagasti,6.0,Left Back,23833.0,Borja Viguera Manzanares,22.83528,0.512628,1.0,Ground Pass,"[86.0, 18.4]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.222,1.61099999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8072221147032007
