id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_technique_id,pass_technique_name,pass_through_ball,pass_aerial_won,out,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,off_camera,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_cross,pass_switch,shot_first_time,goalkeeper_end_location,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,block_offensive,foul_won_defensive,pass_miscommunication,foul_committed_advantage,foul_won_advantage,pass_outswinging,miscontrol_aerial_won,pass_cut_back,pass_inswinging,dribble_nutmeg,pass_goal_assist,shot_open_goal,clearance_head,injury_stoppage_in_chain,pass_no_touch,clearance_aerial_won,dribble_overrun,block_save_block,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,50_50_outcome_id,50_50_outcome_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
e801d315-cc71-411a-ae6f-203c4bd6635a,2576,2,00:25:57.227,70,57,167,2.941434,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['1b3f91c7-80af-4887-9689-77d1f73a5d5c', '57125df5-5419-49b2-bffa-a111a3781f55', 'e5c875d6-37c4-43d8-bbac-478988dd1068']","[42.8, 34.9]",6837.0,Mauro Javier Dos Santos,3.0,Right Center Back,6776.0,David Juncà Reñé,16.522106,-1.73495,3.0,High Pass,"[40.1, 18.6]",66.0,Recovery,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557.227,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.47843967891166916
1b3f91c7-80af-4887-9689-77d1f73a5d5c,2577,2,00:26:00.168,71,0,167,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['e801d315-cc71-411a-ae6f-203c4bd6635a'],"[40.1, 18.6]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560.168,2.9409999999998035,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.31035487413149576
7097affa-485d-4903-b1e9-cce3243940d8,2578,2,00:26:00.168,71,0,167,1.32948,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['1b3f91c7-80af-4887-9689-77d1f73a5d5c', '673964e8-8de1-4830-9f1c-5f66affa21a0']","[40.1, 18.6]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,"[41.0, 6.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560.168,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00542886151681099
673964e8-8de1-4830-9f1c-5f66affa21a0,2579,2,00:26:01.498,71,1,167,0.378683,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['36205d1a-4844-4c6a-b618-4e04ee06000a', 'b8a695d1-3eef-4ce9-b0c1-298756755399']","[41.0, 6.8]",6776.0,David Juncà Reñé,6.0,Left Back,5687.0,Takashi Inui,1.7117243,-0.11710875,2.0,Low Pass,"[42.7, 6.6]",,,38.0,Left Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561.498,1.3300000000001546,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.07256076654879617
36205d1a-4844-4c6a-b618-4e04ee06000a,2580,2,00:26:01.877,71,1,167,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['673964e8-8de1-4830-9f1c-5f66affa21a0'],"[66.8, 4.2]",5687.0,Takashi Inui,21.0,Left Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561.877,0.3789999999999054,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5850862829308349
b8a695d1-3eef-4ce9-b0c1-298756755399,2581,2,00:26:01.877,71,1,167,0.0,6,Block,322,Eibar,1,Regular Play,217,Barcelona,,,['673964e8-8de1-4830-9f1c-5f66affa21a0'],"[77.4, 73.5]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561.877,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.46220705344374
cd58150f-b321-4e18-8c82-b4feba119fe4,2582,2,00:26:03.313,71,3,167,0.0,2,Ball Recovery,322,Eibar,1,Regular Play,322,Eibar,,,,"[40.0, 1.3]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563.313,1.4360000000001492,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8569645473811554
5451e177-2425-41fe-b168-f78c27d10244,2583,2,00:26:03.313,71,3,167,0.680056,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['180d629d-b1b5-4476-864a-9754fe0994bc', 'cb34375b-f50b-4aa3-8e0e-187f5b7b7b33', 'cd58150f-b321-4e18-8c82-b4feba119fe4']","[40.0, 1.3]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,"[40.4, 0.3]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563.313,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6707577474938441
180d629d-b1b5-4476-864a-9754fe0994bc,2584,2,00:26:03.401,71,3,167,0.552435,17,Pressure,322,Eibar,1,Regular Play,217,Barcelona,,,['5451e177-2425-41fe-b168-f78c27d10244'],"[77.9, 77.6]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563.401,0.08799999999996544,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.7773748375466628
cb34375b-f50b-4aa3-8e0e-187f5b7b7b33,2585,2,00:26:03.993,71,3,167,0.0,3,Dispossessed,322,Eibar,1,Regular Play,322,Eibar,,,['a9d595a6-a80c-482e-bc46-6fb84efdeed0'],"[40.4, 0.3]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563.993,0.5919999999998709,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2625183027930138
