id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,out,pass_technique_id,pass_technique_name,pass_outswinging,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_through_ball,counterpress,off_camera,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,duel_type_id,duel_type_name,pass_aerial_won,miscontrol_aerial_won,pass_cross,clearance_aerial_won,duel_outcome_id,duel_outcome_name,foul_won_defensive,clearance_left_foot,foul_committed_type_id,foul_committed_type_name,dribble_nutmeg,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_deflected,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,block_deflection,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,shot_first_time,goalkeeper_end_location,foul_committed_offensive,clearance_right_foot,ball_recovery_recovery_failure,dribble_overrun,ball_recovery_offensive,pass_miscommunication,pass_straight,foul_committed_card_id,foul_committed_card_name,pass_no_touch,pass_goal_assist,pass_deflected,shot_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,foul_committed_penalty,foul_won_penalty,injury_stoppage_in_chain,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
4075ae48-b951-401c-a136-dd86d6862ccc,1644,1,00:41:00.647,41,0,105,1.5169,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['7f7ecefa-41f5-457d-8c4a-4a125641783c', 'dad680e4-035f-416b-ac34-69dcf80bc7cb']","[32.9, 20.5]",5574.0,Toni Kroos,11.0,Left Defensive Midfield,,,,,,,,,,,,"[32.7, 23.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460.647,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05118412994529731
dad680e4-035f-416b-ac34-69dcf80bc7cb,1645,1,00:41:02.164,41,2,105,0.905706,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['2dcb83a4-5742-4659-a5c8-295497313a87'],"[32.7, 23.1]",5574.0,Toni Kroos,11.0,Left Defensive Midfield,5463.0,Luka Modrić,13.3544,0.88085186,1.0,Ground Pass,"[41.2, 33.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.164,1.5170000000002801,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.7124520581206746
2dcb83a4-5742-4659-a5c8-295497313a87,1646,1,00:41:03.069,41,3,105,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['dad680e4-035f-416b-ac34-69dcf80bc7cb'],"[41.2, 33.4]",5463.0,Luka Modrić,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463.069,0.9049999999997453,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5628517292903885
1b2a63e7-1bea-423c-9045-75d80525ac15,1647,1,00:41:03.069,41,3,105,1.045822,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['c6c587e9-de32-4ff5-accb-4825e838919f'],"[41.2, 33.4]",5463.0,Luka Modrić,9.0,Right Defensive Midfield,20016.0,Kléper Laveran Lima Ferreira,15.239751,2.930041,1.0,Ground Pass,"[26.3, 36.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463.069,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.5049550861729176
c6c587e9-de32-4ff5-accb-4825e838919f,1648,1,00:41:04.115,41,4,105,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['1b2a63e7-1bea-423c-9045-75d80525ac15'],"[26.3, 36.6]",20016.0,Kléper Laveran Lima Ferreira,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464.115,1.0459999999998217,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5574365719444576
cf926241-a679-4448-85ed-8a38f426f4da,1649,1,00:41:04.115,41,4,105,1.150935,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['c6c587e9-de32-4ff5-accb-4825e838919f', 'e633fbd4-5496-4596-a25e-7f686cde6ef6']","[26.3, 36.6]",20016.0,Kléper Laveran Lima Ferreira,3.0,Right Center Back,,,,,,,,,,,,"[26.8, 36.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464.115,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7396536630667864
e633fbd4-5496-4596-a25e-7f686cde6ef6,1650,1,00:41:05.266,41,5,105,1.170954,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['873b70ee-effc-4bdd-95c5-b36f1e3efb1a'],"[26.8, 36.6]",20016.0,Kléper Laveran Lima Ferreira,3.0,Right Center Back,5463.0,Luka Modrić,12.790622,0.17286061,1.0,Ground Pass,"[39.4, 38.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465.266,1.1510000000002947,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.23289550831054462
873b70ee-effc-4bdd-95c5-b36f1e3efb1a,1651,1,00:41:06.437,41,6,105,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['e633fbd4-5496-4596-a25e-7f686cde6ef6'],"[39.4, 38.8]",5463.0,Luka Modrić,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2466.437,1.1709999999998217,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.031533751464215554
37127161-e1f6-447a-a3d8-758f5819bf33,1652,1,00:41:06.437,41,6,105,0.835405,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['873b70ee-effc-4bdd-95c5-b36f1e3efb1a', '8f12f530-eda2-487a-9ea7-96a66c030bb9']","[39.4, 38.8]",5463.0,Luka Modrić,9.0,Right Defensive Midfield,,,,,,,,,,,,"[42.3, 43.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2466.437,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8008294267531074
8f12f530-eda2-487a-9ea7-96a66c030bb9,1653,1,00:41:07.272,41,7,105,0.910174,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['045c1f77-a63a-4795-aff9-7607fe5d99aa'],"[42.3, 43.2]",5463.0,Luka Modrić,9.0,Right Defensive Midfield,5695.0,James David Rodríguez Rubio,19.285227,0.71200085,1.0,Ground Pass,"[56.9, 55.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467.272,0.8350000000000364,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.4946339589967903
045c1f77-a63a-4795-aff9-7607fe5d99aa,1654,1,00:41:08.183,41,8,105,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['8f12f530-eda2-487a-9ea7-96a66c030bb9'],"[56.9, 55.8]",5695.0,James David Rodríguez Rubio,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468.183,0.9110000000000582,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05370347858906954
7bea0408-ad2d-438a-aa49-409382094e02,1655,1,00:41:08.183,41,8,105,1.563273,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['045c1f77-a63a-4795-aff9-7607fe5d99aa', '34ac8ecb-2505-44c5-bd31-d75f9c0aaf67', 'df3f5325-d24c-45c6-ac88-fc46e8290f9d']","[56.9, 55.8]",5695.0,James David Rodríguez Rubio,12.0,Right Midfield,,,,,,,,,,,,"[56.2, 51.3]",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468.183,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.001423176650780067
34ac8ecb-2505-44c5-bd31-d75f9c0aaf67,1656,1,00:41:09.238,41,9,105,0.584078,17,Pressure,220,Real Madrid,1,Regular Play,322,Eibar,,,"['7bea0408-ad2d-438a-aa49-409382094e02', 'df3f5325-d24c-45c6-ac88-fc46e8290f9d']","[68.0, 29.9]",6557.0,Adrián González Morales,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2469.238,1.0549999999998363,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.43030330558398144
df3f5325-d24c-45c6-ac88-fc46e8290f9d,1657,1,00:41:09.746,41,9,105,1.923229,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['02559f10-c3a4-40a6-b302-9d96a228fa69', '34ac8ecb-2505-44c5-bd31-d75f9c0aaf67']","[56.2, 51.3]",5695.0,James David Rodríguez Rubio,12.0,Right Midfield,5456.0,Mateo Kovačić,31.219385,-1.5355545,3.0,High Pass,"[57.3, 20.1]",38.0,Left Foot,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2469.746,0.5080000000002656,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.23398385107017428
