id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,pass_switch,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,counterpress,dribble_outcome_id,dribble_outcome_name,pass_cross,duel_type_id,duel_type_name,clearance_aerial_won,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_goal_assist,pass_through_ball,pass_technique_id,pass_technique_name,clearance_right_foot,foul_won_defensive,interception_outcome_id,interception_outcome_name,shot_aerial_won,goalkeeper_end_location,50_50_outcome_id,50_50_outcome_name,pass_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,pass_outswinging,miscontrol_aerial_won,foul_committed_card_id,foul_committed_card_name,pass_cut_back,shot_first_time,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,shot_one_on_one,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,pass_inswinging,block_deflection,ball_recovery_offensive,pass_no_touch,foul_committed_type_id,foul_committed_type_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
363fd7c5-6d2f-49ce-be7b-755ae133bc8a,1505,1,00:40:42.267,40,42,98,0.224419,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,"['369e3061-94c2-475c-8ab5-a27da407e727', '57775c78-c8a6-4e7b-8498-83e9d9ad931b']",,"[55.1, 75.3]",7781.0,Felipe Salvador Caicedo Corozo,22.0,Right Center Forward,6766.0,Gerard Moreno Balaguero,8.807384,-0.21743742,1.0,Ground Pass,"[63.7, 73.4]",38.0,Left Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,108.0,Through Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442.267,1.1959999999999127,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.3527265552073249
57775c78-c8a6-4e7b-8498-83e9d9ad931b,1506,1,00:40:42.492,40,42,98,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['363fd7c5-6d2f-49ce-be7b-755ae133bc8a'],,"[70.5, 51.4]",6766.0,Gerard Moreno Balaguero,24.0,Left Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442.492,0.2250000000003638,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22181147282817126
369e3061-94c2-475c-8ab5-a27da407e727,1507,1,00:40:42.492,40,42,98,0.0,10,Interception,214,Espanyol,1,Regular Play,222,Villarreal,,,['363fd7c5-6d2f-49ce-be7b-755ae133bc8a'],,"[56.4, 6.7]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442.492,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.4495358722489774
302c35c0-d88b-40ad-b76a-56e1bce144b0,1508,1,00:40:43.641,40,43,98,0.315403,17,Pressure,214,Espanyol,1,Regular Play,222,Villarreal,,,['4d62d167-85c7-40f3-9a13-f9e69d7d5a09'],,"[63.8, 11.5]",6829.0,Samuel Castillejo Azuaga,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2443.641,1.1489999999998872,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2873084764091298
4d62d167-85c7-40f3-9a13-f9e69d7d5a09,1509,1,00:40:43.871,40,43,98,3.439547,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,"['302c35c0-d88b-40ad-b76a-56e1bce144b0', 'fd47918e-e1d7-4b94-943f-714ecd085a16']",,"[56.1, 71.6]",7781.0,Felipe Salvador Caicedo Corozo,22.0,Right Center Forward,,,57.915543,-0.5750723,3.0,High Pass,"[104.7, 40.1]",38.0,Left Foot,66.0,Recovery,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2443.871,0.2300000000000182,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7727321096897912
fd47918e-e1d7-4b94-943f-714ecd085a16,1510,1,00:40:47.311,40,47,99,0.0,2,Ball Recovery,222,Villarreal,1,Regular Play,222,Villarreal,,,['4d62d167-85c7-40f3-9a13-f9e69d7d5a09'],,"[15.4, 40.0]",3379.0,Alphonse Areola,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447.311,3.4400000000000546,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0400584390905846
d7b614e0-f8ae-4f62-9ca1-0bf3e1db1cbc,1511,1,00:40:55.678,40,55,99,4.926097,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['af79d6f2-5817-4e2f-84ae-09b052bc34b8'],True,"[15.4, 40.0]",3379.0,Alphonse Areola,1.0,Goalkeeper,6828.0,Jaume Vicent Costa Jordá,49.427624,-0.70950407,1.0,Ground Pass,"[52.9, 7.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455.678,8.366999999999734,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8339226010865577
af79d6f2-5817-4e2f-84ae-09b052bc34b8,1512,1,00:41:00.604,41,0,99,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['d7b614e0-f8ae-4f62-9ca1-0bf3e1db1cbc'],,"[52.9, 7.8]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460.604,4.925999999999931,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9259103452061211
3627a1b5-390b-44cf-8fa3-106cc73e8d4d,1513,1,00:41:03.334,41,3,99,0.878528,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['7be98685-7ba6-4490-a275-b33bc263eef2'],True,"[53.3, 7.8]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,6771.0,Manuel Trigueros Muñoz,8.728115,1.4905095,1.0,Ground Pass,"[54.0, 16.5]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463.334,2.730000000000018,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.3384028476325649
7be98685-7ba6-4490-a275-b33bc263eef2,1514,1,00:41:04.212,41,4,99,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['3627a1b5-390b-44cf-8fa3-106cc73e8d4d'],,"[54.0, 16.5]",6771.0,Manuel Trigueros Muñoz,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464.212,0.8780000000001564,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5477777692749496
38eb7868-4348-47ec-b9ab-e62d5bdb093b,1515,1,00:41:06.205,41,6,99,1.379427,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['77adbcc5-5ef7-4960-abe4-bc9d4e7b7f73'],,"[50.9, 17.2]",6771.0,Manuel Trigueros Muñoz,11.0,Left Defensive Midfield,3324.0,Eric Bertrand Bailly,28.86174,1.815775,2.0,Low Pass,"[43.9, 45.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2466.205,1.9929999999999382,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0110277085814251
77adbcc5-5ef7-4960-abe4-bc9d4e7b7f73,1516,1,00:41:07.584,41,7,99,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['38eb7868-4348-47ec-b9ab-e62d5bdb093b'],,"[43.9, 45.2]",3324.0,Eric Bertrand Bailly,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467.584,1.3789999999999054,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6414049960763798
