id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,off_camera,pass_outcome_id,pass_outcome_name,under_pressure,clearance_head,clearance_body_part_id,clearance_body_part_name,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,clearance_left_foot,out,pass_switch,foul_won_defensive,duel_type_id,duel_type_name,pass_aerial_won,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,shot_first_time,clearance_aerial_won,shot_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_right_foot,pass_inswinging,pass_technique_id,pass_technique_name,pass_outswinging,dribble_nutmeg,pass_cut_back,foul_committed_advantage,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,pass_through_ball,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,pass_goal_assist,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,miscontrol_aerial_won,pass_deflected,dribble_overrun,pass_no_touch,clearance_other,block_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
fb89a3f1-2876-4489-bd7f-997c8e3edab6,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,218,Real Betis,1,Regular Play,218,Real Betis,442.0,"[{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11634, 'name': 'Cristiano Piccini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 27349, 'name': 'Heiko Westermann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 27347, 'name': 'Juan Manuel Vargas Risco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 6873, 'name': 'Francisco Portillo Soler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 6630, 'name': 'Jorge Molina Vidal'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6339297958833467
2d808c9a-73f8-425e-abf1-6a3cb178b66a,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,218,Real Betis,1,Regular Play,210,Real Sociedad,4231.0,"[{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 8522, 'name': 'Armindo Tué Na Bangna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.2729682278092954
3b0522ee-1b8b-483d-852e-dc1538433e0c,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,218,Real Betis,1,Regular Play,218,Real Betis,,,['0ab3f896-0126-4138-8bab-f021a6d92d6e'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.40071073799488643
0ab3f896-0126-4138-8bab-f021a6d92d6e,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,218,Real Betis,1,Regular Play,210,Real Sociedad,,,['3b0522ee-1b8b-483d-852e-dc1538433e0c'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.5458790968346047
589a9089-7a4b-49ca-8622-57b0b5126279,5,1,00:00:00.609,0,0,2,0.444771,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['c527b4d1-74c7-4c04-972d-3d2e2bf908c7'],"[60.0, 40.0]",6832.0,Rubén Castro Martín,22.0,Right Center Forward,6630.0,Jorge Molina Vidal,3.8183765,2.3561945,1.0,Ground Pass,"[57.3, 42.7]",38.0,Left Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.609,0.609,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7830038016865865
c527b4d1-74c7-4c04-972d-3d2e2bf908c7,6,1,00:00:01.054,0,1,2,,42,Ball Receipt*,218,Real Betis,9,From Kick Off,218,Real Betis,,,['589a9089-7a4b-49ca-8622-57b0b5126279'],"[57.3, 42.7]",6630.0,Jorge Molina Vidal,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.054,0.44500000000000006,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8800989803850421
81174fdc-5cce-4ee5-abc1-7c03d8c3a6de,7,1,00:00:01.054,0,1,2,0.368409,43,Carry,218,Real Betis,9,From Kick Off,218,Real Betis,,,"['12f03d14-77a0-4346-a244-f5d8f22d3652', 'c527b4d1-74c7-4c04-972d-3d2e2bf908c7']","[57.3, 42.7]",6630.0,Jorge Molina Vidal,24.0,Left Center Forward,,,,,,,,,,,,"[56.3, 42.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.054,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20369338949218552
12f03d14-77a0-4346-a244-f5d8f22d3652,8,1,00:00:01.422,0,1,2,1.887121,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['37a8bf07-5a47-4022-9162-676c40bf9e64'],"[56.3, 42.9]",6630.0,Jorge Molina Vidal,24.0,Left Center Forward,27349.0,Heiko Westermann,21.91552,-2.7432916,1.0,Ground Pass,"[36.1, 34.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.422,0.3679999999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.498075158036815
37a8bf07-5a47-4022-9162-676c40bf9e64,9,1,00:00:03.310,0,3,2,,42,Ball Receipt*,218,Real Betis,9,From Kick Off,218,Real Betis,,,['12f03d14-77a0-4346-a244-f5d8f22d3652'],"[36.1, 34.4]",27349.0,Heiko Westermann,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,1.8880000000000001,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9606370429449528
884ef1c2-c840-4538-a07c-4e0a397faedf,10,1,00:00:04.320,0,4,2,1.15404,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['5ba26ab0-e3c9-40ac-988e-3eb3e10740e8'],"[36.1, 34.4]",27349.0,Heiko Westermann,5.0,Left Center Back,,,52.11382,0.1405402,3.0,High Pass,"[87.7, 41.7]",40.0,Right Foot,,,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,1.0100000000000002,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.9465962974340428
