id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,out,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,foul_won_defensive,pass_aerial_won,foul_committed_advantage,foul_won_advantage,ball_recovery_offensive,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,ball_recovery_recovery_failure,clearance_right_foot,pass_technique_id,pass_technique_name,pass_through_ball,foul_committed_card_id,foul_committed_card_name,clearance_other,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_aerial_won,clearance_head,pass_inswinging,miscontrol_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,dribble_overrun,foul_committed_type_id,foul_committed_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_outswinging,foul_committed_penalty,foul_won_penalty,bad_behaviour_card_id,bad_behaviour_card_name,shot_one_on_one,pass_no_touch,pass_goal_assist,block_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
bfba133b-0a6e-43be-98f8-17b3a564cd91,11,1,00:00:06.763,0,6,2,,42,Ball Receipt*,215,Athletic Club,9,From Kick Off,215,Athletic Club,,,['a96ac386-33ca-45c9-85d7-4a61b06f436f'],,"[72.4, 76.2]",6666.0,Sabin Merino Zuloaga,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.763,2.7030000000000003,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08249814722032467
f55c62f7-1d0e-4512-9048-046e4fb793ee,12,1,00:00:06.763,0,6,2,0.097801,43,Carry,215,Athletic Club,9,From Kick Off,215,Athletic Club,,,"['8b3f254e-3a78-4b2a-a34b-83c139099237', 'bfba133b-0a6e-43be-98f8-17b3a564cd91']",,"[72.4, 76.2]",6666.0,Sabin Merino Zuloaga,17.0,Right Wing,,,,,,,,,,,,"[74.0, 76.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.763,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8268762054707192
8b3f254e-3a78-4b2a-a34b-83c139099237,13,1,00:00:06.860,0,6,2,0.0,38,Miscontrol,215,Athletic Club,9,From Kick Off,215,Athletic Club,,,,,"[74.0, 76.9]",6666.0,Sabin Merino Zuloaga,17.0,Right Wing,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86,0.09700000000000042,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.09264288154117883
1ccedf77-e5b9-455c-bf6e-6c6accac7acd,14,1,00:00:13.198,0,13,3,0.670356,30,Pass,222,Villarreal,4,From Throw In,222,Villarreal,,,['2cbaf396-e485-47ab-88a9-bdb209bfb335'],,"[39.8, 0.1]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,22819.0,Bruno Soriano Llido,19.285486,1.7956519,2.0,Low Pass,"[35.5, 18.9]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.198,6.338,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.6275118961817336
2cbaf396-e485-47ab-88a9-bdb209bfb335,15,1,00:00:13.868,0,13,3,,42,Ball Receipt*,222,Villarreal,4,From Throw In,222,Villarreal,,,['1ccedf77-e5b9-455c-bf6e-6c6accac7acd'],,"[35.5, 18.9]",22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.868,0.6699999999999999,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.24664241020740607
a0a2d1c2-3be2-4a43-8a1b-111456e58b96,16,1,00:00:13.868,0,13,3,0.60311,43,Carry,222,Villarreal,4,From Throw In,222,Villarreal,,,"['2cbaf396-e485-47ab-88a9-bdb209bfb335', '3acbd2ee-9c44-4d46-b236-f24ff3446e5f', '649823b5-6f17-43a5-98a9-f1303c8f5489']",,"[35.5, 18.9]",22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,,,,,,,,,,,,"[34.0, 13.9]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.868,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7265873464793229
649823b5-6f17-43a5-98a9-f1303c8f5489,17,1,00:00:14.254,0,14,3,0.338099,17,Pressure,222,Villarreal,4,From Throw In,215,Athletic Club,,,"['3acbd2ee-9c44-4d46-b236-f24ff3446e5f', 'a0a2d1c2-3be2-4a43-8a1b-111456e58b96']",,"[83.6, 62.9]",6389.0,Mikel San José Domínguez,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.254,0.38599999999999923,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7305243560628705
3acbd2ee-9c44-4d46-b236-f24ff3446e5f,18,1,00:00:14.471,0,14,3,0.575585,30,Pass,222,Villarreal,4,From Throw In,222,Villarreal,,,"['216f8ec6-8565-476a-9d95-2df1f116de83', '649823b5-6f17-43a5-98a9-f1303c8f5489']",,"[34.0, 13.9]",22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,6828.0,Jaume Vicent Costa Jordá,6.26099,-1.1071488,1.0,Ground Pass,"[36.8, 8.3]",,,38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.471,0.21700000000000053,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4983248522902586
216f8ec6-8565-476a-9d95-2df1f116de83,19,1,00:00:15.047,0,15,3,,42,Ball Receipt*,222,Villarreal,4,From Throw In,222,Villarreal,,,['3acbd2ee-9c44-4d46-b236-f24ff3446e5f'],,"[36.8, 8.3]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.047,0.5760000000000005,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6963610713859165
d2b76cae-83c8-4093-ae3c-3a8e7ef6d1dc,20,1,00:00:15.047,0,15,3,0.491975,43,Carry,222,Villarreal,4,From Throw In,222,Villarreal,,,"['216f8ec6-8565-476a-9d95-2df1f116de83', '35a00578-d65f-4c4a-922e-598cc4d6b889', '3c220d7a-11d8-4834-a4c2-43d46c159482']",,"[36.8, 8.3]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,,,,,,,,,,,,"[40.2, 6.5]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.047,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9935722439540953
