id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_cross,pass_assisted_shot_id,pass_shot_assist,duel_type_id,duel_type_name,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,out,off_camera,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,interception_outcome_id,interception_outcome_name,clearance_left_foot,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,pass_technique_id,pass_technique_name,pass_inswinging,counterpress,pass_switch,pass_aerial_won,dribble_overrun,foul_committed_advantage,foul_won_advantage,ball_recovery_offensive,clearance_right_foot,pass_deflected,duel_outcome_id,duel_outcome_name,shot_first_time,goalkeeper_end_location,ball_recovery_recovery_failure,dribble_nutmeg,pass_through_ball,miscontrol_aerial_won,foul_committed_card_id,foul_committed_card_name,50_50_outcome_id,50_50_outcome_name,pass_cut_back,pass_no_touch,pass_miscommunication,shot_one_on_one,pass_straight,foul_committed_type_id,foul_committed_type_name,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_lost_out,foul_committed_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
bccdccfc-4777-4f57-948b-580c00cfd924,2797,2,00:32:42.555,77,42,165,1.540334,43,Carry,1049,Granada,6,From Counter,1049,Granada,,,"['3fafaed7-3e35-4926-b4dc-e133845406e6', '656e891b-f578-4fb7-b26e-1a5aa5ae2ed6', '9324466e-d582-4337-a376-1d6cfc05b5c0']","[29.3, 54.6]",6599.0,Rubén Salvador Pérez Del Mármol,9.0,Right Defensive Midfield,,,,,,,,,,,,"[30.8, 55.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.555,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.006484896276828134
3fafaed7-3e35-4926-b4dc-e133845406e6,2798,2,00:32:43.326,77,43,165,0.571259,17,Pressure,1049,Granada,6,From Counter,223,Málaga,,,['bccdccfc-4777-4f57-948b-580c00cfd924'],"[91.7, 25.5]",6563.0,Juan Pablo Añor Acosta,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.326,0.7709999999999582,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2229945966973068
656e891b-f578-4fb7-b26e-1a5aa5ae2ed6,2799,2,00:32:44.095,77,44,165,0.0,3,Dispossessed,1049,Granada,6,From Counter,1049,Granada,,,['97855062-d1dd-4465-aef5-f99dea67cd81'],"[30.8, 55.0]",6599.0,Rubén Salvador Pérez Del Mármol,9.0,Right Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.095,0.7690000000000055,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2857837552643776
97855062-d1dd-4465-aef5-f99dea67cd81,2800,2,00:32:44.095,77,44,165,0.0,4,Duel,1049,Granada,6,From Counter,223,Málaga,,,['656e891b-f578-4fb7-b26e-1a5aa5ae2ed6'],"[89.3, 25.1]",6563.0,Juan Pablo Añor Acosta,12.0,Right Midfield,,,,,,,,,,,,,True,,,,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,1964.095,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5032801699593706
a900a553-85e0-42d3-bcc2-ecc5a537d101,2801,2,00:32:45.240,77,45,165,0.0,2,Ball Recovery,1049,Granada,6,From Counter,1049,Granada,,,,"[40.4, 59.8]",6680.0,Rubén Rochina Naixes,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.24,1.1449999999999818,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9561191113957254
a1febb9d-4ddc-4929-8508-72d5a9320795,2802,2,00:32:45.240,77,45,165,0.530464,43,Carry,1049,Granada,6,From Counter,1049,Granada,,,"['a900a553-85e0-42d3-bcc2-ecc5a537d101', 'eb0753e4-e0ec-4a7b-b30b-640021177b98']","[40.4, 59.8]",6680.0,Rubén Rochina Naixes,17.0,Right Wing,,,,,,,,,,,,"[41.7, 59.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.24,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20528763540600092
eb0753e4-e0ec-4a7b-b30b-640021177b98,2803,2,00:32:45.771,77,45,165,1.587129,30,Pass,1049,Granada,6,From Counter,1049,Granada,,,['db437573-ac08-4289-8b95-266cdae665a8'],"[41.7, 59.0]",6680.0,Rubén Rochina Naixes,17.0,Right Wing,27109.0,Youssef El-Arabi,9.314505,-0.26060238,1.0,Ground Pass,"[50.7, 56.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.771,0.5309999999999491,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.3793703674705815
db437573-ac08-4289-8b95-266cdae665a8,2804,2,00:32:47.358,77,47,165,,42,Ball Receipt*,1049,Granada,6,From Counter,1049,Granada,,,['eb0753e4-e0ec-4a7b-b30b-640021177b98'],"[50.7, 56.6]",27109.0,Youssef El-Arabi,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.358,1.586999999999989,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7572642683789775
9d94e31d-4c9a-49c4-8600-1c986480efaf,2805,2,00:32:47.358,77,47,165,1.483635,43,Carry,1049,Granada,6,From Counter,1049,Granada,,,"['ad5f44bc-eae5-4ede-b50a-4df7d51ebe02', 'db437573-ac08-4289-8b95-266cdae665a8']","[50.7, 56.6]",27109.0,Youssef El-Arabi,23.0,Center Forward,,,,,,,,,,,,"[62.7, 43.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.358,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.982082410159365
ad5f44bc-eae5-4ede-b50a-4df7d51ebe02,2806,2,00:32:48.841,77,48,165,2.166056,30,Pass,1049,Granada,6,From Counter,1049,Granada,,,['27a7e814-fa5f-48cb-af21-4760799ea54f'],"[62.7, 43.0]",27109.0,Youssef El-Arabi,23.0,Center Forward,6918.0,Isaac Ajayi Success,22.970633,-0.38374,1.0,Ground Pass,"[84.0, 34.4]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968.841,1.4829999999999472,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9536669678649524
