id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_type_id,duel_type_name,clearance_aerial_won,counterpress,out,ball_recovery_recovery_failure,off_camera,duel_outcome_id,duel_outcome_name,clearance_left_foot,pass_switch,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,pass_miscommunication,miscontrol_aerial_won,pass_aerial_won,50_50_outcome_id,50_50_outcome_name,pass_no_touch,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,clearance_right_foot,pass_deflected,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cross,goalkeeper_end_location,foul_committed_type_id,foul_committed_type_name,dribble_nutmeg,shot_aerial_won,foul_committed_penalty,foul_won_penalty,pass_technique_id,pass_technique_name,pass_inswinging,foul_committed_card_id,foul_committed_card_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_outswinging,pass_through_ball,foul_committed_advantage,foul_won_advantage,pass_goal_assist,dribble_overrun,pass_cut_back,clearance_other,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
8367ce4a-2a41-4cb6-a8a5-0702cb68d30b,2678,2,00:21:46.860,66,46,111,0.880056,17,Pressure,217,Barcelona,3,From Free Kick,215,Athletic Club,,,['3f52f5b0-670a-4efc-9068-3ecbd4a3a0ef'],"[103.1, 35.5]",6394.0,Aritz Aduriz Zubeldia,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306.86,0.07199999999988904,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6359000305140228
3f52f5b0-670a-4efc-9068-3ecbd4a3a0ef,2679,2,00:21:47.606,66,47,111,2.9586,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,"['04cc3f71-39b8-4a89-a648-a4b457673154', '29c99a6e-677c-4ea8-9e67-ced8d0eb4ad3', '8367ce4a-2a41-4cb6-a8a5-0702cb68d30b']","[11.9, 46.1]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,5246.0,Luis Alberto Suárez Díaz,57.94351,0.10894196,3.0,High Pass,"[69.5, 52.4]",40.0,Right Foot,,,,9.0,Incomplete,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307.606,0.7460000000000946,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8902494161932125
29c99a6e-677c-4ea8-9e67-ced8d0eb4ad3,2680,2,00:21:50.565,66,50,111,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['3f52f5b0-670a-4efc-9068-3ecbd4a3a0ef'],"[72.9, 46.7]",5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310.565,2.95900000000006,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7074673066140059
04cc3f71-39b8-4a89-a648-a4b457673154,2681,2,00:21:50.565,66,50,111,2.2253,30,Pass,217,Barcelona,3,From Free Kick,215,Athletic Club,,,"['3f52f5b0-670a-4efc-9068-3ecbd4a3a0ef', 'cdf95c70-7dca-4f8a-aa84-d9c8312ad780']","[50.6, 27.7]",4353.0,Aymeric Laporte,5.0,Left Center Back,,,19.520502,0.6363291,3.0,High Pass,"[66.3, 39.3]",37.0,Head,66.0,Recovery,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310.565,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.2976435042754455
cdf95c70-7dca-4f8a-aa84-d9c8312ad780,2682,2,00:21:52.790,66,52,111,0.8432,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,"['04cc3f71-39b8-4a89-a648-a4b457673154', '59c89734-fd3f-4008-b00f-aceea6082a8f']","[53.8, 40.8]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,6998.0,Rafael Alcântara do Nascimento,5.994164,-1.0847644,2.0,Low Pass,"[56.6, 35.5]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312.79,2.224999999999909,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8549781673574411
59c89734-fd3f-4008-b00f-aceea6082a8f,2683,2,00:21:53.634,66,53,111,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['cdf95c70-7dca-4f8a-aa84-d9c8312ad780'],"[56.6, 35.5]",6998.0,Rafael Alcântara do Nascimento,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313.634,0.8440000000000509,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6514220327123325
b018b547-7c37-4952-94d5-28d914fd5056,2684,2,00:21:53.674,66,53,111,3.9998,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['2074226f-5f9f-411b-a0cc-4eb7cd23d685'],"[56.6, 35.5]",6998.0,Rafael Alcântara do Nascimento,21.0,Left Wing,5211.0,Jordi Alba Ramos,21.16908,-2.3060694,2.0,Low Pass,"[42.4, 19.8]",37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313.674,0.03999999999996362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7449261029700498
0d059e66-c22c-4efe-8e0a-dd7f26cbed3d,2685,2,00:21:56.079,66,56,111,2.0166,17,Pressure,217,Barcelona,3,From Free Kick,215,Athletic Club,,,"['2074226f-5f9f-411b-a0cc-4eb7cd23d685', '3cced338-c6b5-42cd-905e-f0227168d8c2', 'f53afe9c-4d09-4070-9741-f4f982fc7253']","[77.1, 65.6]",6390.0,Markel Susaeta Laskurain,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316.079,2.4049999999999727,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7628141460317929
2074226f-5f9f-411b-a0cc-4eb7cd23d685,2686,2,00:21:57.673,66,57,111,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,"['0d059e66-c22c-4efe-8e0a-dd7f26cbed3d', 'b018b547-7c37-4952-94d5-28d914fd5056']","[42.4, 19.8]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.673,1.594000000000051,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.019161873454136558
3cced338-c6b5-42cd-905e-f0227168d8c2,2687,2,00:21:57.673,66,57,111,0.040000003,43,Carry,217,Barcelona,3,From Free Kick,217,Barcelona,,,"['0d059e66-c22c-4efe-8e0a-dd7f26cbed3d', '2074226f-5f9f-411b-a0cc-4eb7cd23d685', 'f53afe9c-4d09-4070-9741-f4f982fc7253']","[42.4, 19.8]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,"[36.0, 11.9]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.673,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.36727997551105596
