id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,foul_won_defensive,pass_switch,dribble_outcome_id,dribble_outcome_name,pass_cross,duel_type_id,duel_type_name,pass_aerial_won,counterpress,out,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,shot_first_time,goalkeeper_end_location,dribble_overrun,clearance_right_foot,shot_aerial_won,pass_technique_id,pass_technique_name,pass_inswinging,clearance_left_foot,pass_outswinging,pass_no_touch,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,ball_recovery_recovery_failure,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,foul_committed_card_id,foul_committed_card_name,pass_cut_back,foul_committed_penalty,shot_one_on_one,ball_recovery_offensive,shot_open_goal,dribble_nutmeg,bad_behaviour_card_id,bad_behaviour_card_name,clearance_other,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
add376fb-c47e-45f8-bdb6-25bb3907cafa,2170,2,00:19:06.379,64,6,134,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['f8801d81-450a-4053-86a6-3704cc7ac5da'],,"[67.5, 9.8]",26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146.379,1.4829999999999472,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6887948797024716
d13dc0b9-7f58-41de-891f-239fb0a5d320,2171,2,00:19:06.419,64,6,134,0.0,4,Duel,360,Rayo Vallecano,1,Regular Play,1041,Sporting Gijón,,,['6eab3cfe-8612-4a43-8310-9e56ee4959a1'],,"[52.4, 70.3]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,10.0,Aerial Lost,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146.419,0.040000000000190994,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.01824747663192383
6eab3cfe-8612-4a43-8310-9e56ee4959a1,2172,2,00:19:06.419,64,6,134,1.090808,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['25555836-da7a-4ea1-b104-f1ce2624520b', 'd13dc0b9-7f58-41de-891f-239fb0a5d320']",,"[67.7, 9.8]",26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,10727.0,Răzvan Dincă Raț,7.340981,-1.1498058,3.0,High Pass,"[70.7, 3.1]",,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146.419,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0379225571531413
25555836-da7a-4ea1-b104-f1ce2624520b,2173,2,00:19:07.510,64,7,134,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['6eab3cfe-8612-4a43-8310-9e56ee4959a1'],,"[70.7, 3.1]",10727.0,Răzvan Dincă Raț,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.51,1.0909999999998945,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6145923511560342
b9c5711e-4722-4eb7-91dc-d9cb7edb88f4,2174,2,00:19:07.510,64,7,134,1.239969,43,Carry,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['25555836-da7a-4ea1-b104-f1ce2624520b', 'ebe44c47-9622-4f31-aeaf-791468185880', 'f0e68eea-6030-4c7c-a052-9106260dc5a6']",,"[70.7, 3.1]",10727.0,Răzvan Dincă Raț,6.0,Left Back,,,,,,,,,,,,"[71.3, 4.2]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.51,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1896882783295043
ebe44c47-9622-4f31-aeaf-791468185880,2175,2,00:19:08.147,64,8,134,0.188491,17,Pressure,360,Rayo Vallecano,1,Regular Play,1041,Sporting Gijón,,,['b9c5711e-4722-4eb7-91dc-d9cb7edb88f4'],,"[50.2, 74.1]",6926.0,Alen Halilović,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148.147,0.6369999999999436,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6523523237989811
f0e68eea-6030-4c7c-a052-9106260dc5a6,2176,2,00:19:08.750,64,8,134,0.819776,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['a68e7f72-0fdb-4755-96d3-c1608f12f787'],,"[71.3, 4.2]",10727.0,Răzvan Dincă Raț,6.0,Left Back,26848.0,Roberto Trashorras Gayoso,10.231813,1.9513026,2.0,Low Pass,"[67.5, 13.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148.75,0.6030000000000655,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.45199354884676146
a68e7f72-0fdb-4755-96d3-c1608f12f787,2177,2,00:19:09.570,64,9,134,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['f0e68eea-6030-4c7c-a052-9106260dc5a6'],,"[67.5, 13.7]",26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149.57,0.8199999999999363,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.26358787479457224
166ea7da-d108-49f3-9ba0-de0aea3d1005,2178,2,00:19:09.570,64,9,134,1.827036,43,Carry,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['0619ffef-6f82-454a-ac67-832ad84c97fc', 'a68e7f72-0fdb-4755-96d3-c1608f12f787', 'f4949e03-e2b5-4187-a8a4-f4fb21bc8ccb']",,"[67.5, 13.7]",26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,,,,,,,,,,,,"[64.5, 6.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149.57,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.34046284879283484
f4949e03-e2b5-4187-a8a4-f4fb21bc8ccb,2179,2,00:19:10.537,64,10,134,0.558362,17,Pressure,360,Rayo Vallecano,1,Regular Play,1041,Sporting Gijón,,,['166ea7da-d108-49f3-9ba0-de0aea3d1005'],,"[54.3, 70.7]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.537,0.9670000000000982,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.14276550074743133
