id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,carry_end_location,under_pressure,interception_outcome_id,interception_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,out,ball_recovery_recovery_failure,pass_aerial_won,pass_switch,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,dribble_outcome_id,dribble_outcome_name,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_left_foot,pass_outswinging,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,goalkeeper_end_location,clearance_right_foot,foul_won_defensive,pass_no_touch,pass_through_ball,foul_committed_advantage,foul_won_advantage,shot_first_time,50_50_outcome_id,50_50_outcome_name,dribble_overrun,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,pass_cut_back,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
b6420dd0-6116-4462-977a-9da656921bd0,1524,1,00:37:52.376,37,52,83,4.349197,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['4fd7bd7d-4b0d-4233-946c-1ea0965e889e', 'bf7b7251-4f97-4bc2-990d-3d7c8f13de00', 'f917fbee-5ead-4d09-9246-d639ae379693']",,"[54.4, 61.5]",6608.0,Nabil El Zhar,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,"[55.6, 67.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272.376,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3064978785885907
4fd7bd7d-4b0d-4233-946c-1ea0965e889e,1525,1,00:37:56.726,37,56,83,0.0,14,Dribble,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['1448b78c-093c-4543-bba3-1c73b03166fd'],,"[55.6, 67.0]",6608.0,Nabil El Zhar,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2276.726,4.349999999999909,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.38230595430557923
1448b78c-093c-4543-bba3-1c73b03166fd,1526,1,00:37:56.726,37,56,83,0.0,4,Duel,208,Las Palmas,1,Regular Play,222,Villarreal,,,['4fd7bd7d-4b0d-4233-946c-1ea0965e889e'],,"[64.5, 13.1]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,True,,,,11.0,Tackle,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2276.726,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.37874149943193425
2cf3b50a-a041-4e1a-9f03-669eb6ed0734,1527,1,00:37:59.641,37,59,83,0.0,36,Tactical Shift,208,Las Palmas,1,Regular Play,222,Villarreal,442.0,"[{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6827, 'name': 'Daniele Bonera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 6357, 'name': 'Jonathan dos Santos Ramírez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 18867, 'name': 'Matías Nahuel Leiva Esquivel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2279.641,2.9149999999999636,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.9877230615463536
8fe202c5-99db-4699-94c6-e6f6be499079,1528,1,00:38:06.367,38,6,84,2.210458,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['e5700d67-9837-4700-8ec1-4c042b22178c'],,"[62.6, 80.0]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,8440.0,Aythami Artiles Oliva,23.963514,-2.621929,2.0,Low Pass,"[41.8, 68.1]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2286.367,6.726000000000113,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.23417338256453746
e5700d67-9837-4700-8ec1-4c042b22178c,1529,1,00:38:08.578,38,8,84,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['8fe202c5-99db-4699-94c6-e6f6be499079'],,"[41.8, 68.1]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2288.578,2.2109999999997854,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4604987541755228
788aaf3d-3116-483c-b537-bb742339440c,1530,1,00:38:08.578,38,8,84,0.699822,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['517c885d-9700-414b-ba3f-5b60e92c2379', 'e5700d67-9837-4700-8ec1-4c042b22178c']",,"[41.8, 68.1]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,"[41.8, 67.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2288.578,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5302100552968572
517c885d-9700-414b-ba3f-5b60e92c2379,1531,1,00:38:09.278,38,9,84,1.268914,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['a0559646-11ec-4bef-9fa8-c07fb62b330b'],,"[41.8, 67.7]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,7907.0,Pedro Bigas Rigo,26.284025,-1.650778,1.0,Ground Pass,"[39.7, 41.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2289.278,0.6999999999998181,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8679664031431479
a0559646-11ec-4bef-9fa8-c07fb62b330b,1532,1,00:38:10.547,38,10,84,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['517c885d-9700-414b-ba3f-5b60e92c2379'],,"[39.7, 41.5]",7907.0,Pedro Bigas Rigo,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2290.547,1.2690000000002328,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7377436419406945
442d4a16-3ae9-4bdb-803c-1396a2d4cc2a,1533,1,00:38:10.547,38,10,84,1.615622,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['3c8b60f3-08f9-48fb-8760-d53ebafbaa6f', 'a0559646-11ec-4bef-9fa8-c07fb62b330b']",,"[39.7, 41.5]",7907.0,Pedro Bigas Rigo,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,"[40.0, 37.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2290.547,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.30636926672429377
