id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,carry_end_location,interception_outcome_id,interception_outcome_name,under_pressure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_switch,out,pass_cross,counterpress,pass_aerial_won,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_through_ball,clearance_aerial_won,shot_first_time,goalkeeper_end_location,dribble_outcome_id,dribble_outcome_name,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,50_50_outcome_id,50_50_outcome_name,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,bad_behaviour_card_id,bad_behaviour_card_name,pass_outswinging,dribble_nutmeg,dribble_overrun,pass_goal_assist,pass_cut_back,clearance_left_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,shot_one_on_one,shot_open_goal,shot_aerial_won,miscontrol_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Own Goal Against,event_type_Own Goal For,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
c8d401a2-37d6-46d4-8e7f-17ab045e3396,1003,1,00:28:00.435,28,0,55,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['47e86734-c117-4b92-803f-17d6fcd30a85'],,"[50.0, 59.2]",6758.0,Víctor Sánchez Mata,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.435,0.6319999999998345,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8081288245330319
e5b178b1-b5f2-42c9-aa0e-f8fc8f0a814d,1004,1,00:28:00.435,28,0,55,0.955502,43,Carry,214,Espanyol,9,From Kick Off,214,Espanyol,,,"['071adb03-6018-44e7-a35e-9c8229e109fd', 'c8d401a2-37d6-46d4-8e7f-17ab045e3396']",,"[50.0, 59.2]",6758.0,Víctor Sánchez Mata,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,"[49.6, 60.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.435,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.30675894683810545
071adb03-6018-44e7-a35e-9c8229e109fd,1005,1,00:28:01.391,28,1,55,1.151783,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,['96173473-2cb0-4708-a813-1b7e849a4149'],,"[49.6, 60.4]",6758.0,Víctor Sánchez Mata,9.0,Right Defensive Midfield,6867.0,Papa Kouly Diop,14.447145,-1.1877192,1.0,Ground Pass,"[55.0, 47.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1681.391,0.956000000000131,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6296019218533552
96173473-2cb0-4708-a813-1b7e849a4149,1006,1,00:28:02.543,28,2,55,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['071adb03-6018-44e7-a35e-9c8229e109fd'],,"[55.0, 47.0]",6867.0,Papa Kouly Diop,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682.543,1.1519999999998163,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6231218561225199
a4c854d7-79ad-40b7-9b1b-77d75a8fb1e0,1007,1,00:28:02.543,28,2,55,1.180322,43,Carry,214,Espanyol,9,From Kick Off,214,Espanyol,,,"['36ca75a5-0601-421a-9419-be4dc9d1e59f', '96173473-2cb0-4708-a813-1b7e849a4149']",,"[55.0, 47.0]",6867.0,Papa Kouly Diop,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,"[57.4, 44.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682.543,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8341924755958536
36ca75a5-0601-421a-9419-be4dc9d1e59f,1008,1,00:28:03.723,28,3,55,1.147942,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,['ccf74138-75be-4848-b63c-39ed581afb05'],,"[57.4, 44.8]",6867.0,Papa Kouly Diop,11.0,Left Defensive Midfield,27241.0,Víctor Guillermo Álvarez Delgado,16.759773,-0.7727406,1.0,Ground Pass,"[69.4, 33.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683.723,1.1800000000000637,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.4150906383051568
ccf74138-75be-4848-b63c-39ed581afb05,1009,1,00:28:04.871,28,4,55,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['36ca75a5-0601-421a-9419-be4dc9d1e59f'],,"[69.4, 33.1]",27241.0,Víctor Guillermo Álvarez Delgado,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684.871,1.1480000000001382,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.19453158781662783
cb998d78-8635-4124-b540-43aaf4c81968,1010,1,00:28:04.871,28,4,55,0.889554,43,Carry,214,Espanyol,9,From Kick Off,214,Espanyol,,,"['2f839627-7f6a-4845-a932-0dd5203e8c76', 'ccf74138-75be-4848-b63c-39ed581afb05']",,"[69.4, 33.1]",27241.0,Víctor Guillermo Álvarez Delgado,16.0,Left Midfield,,,,,,,,,,,,,,,,"[77.5, 35.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684.871,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20905898272744905
2f839627-7f6a-4845-a932-0dd5203e8c76,1011,1,00:28:05.760,28,5,55,0.927919,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,"['01dba8b4-f51b-4543-8a18-68e87af24424', 'bb8a6d61-af63-4c0e-8a68-dc0296e1d068']",,"[77.5, 35.4]",27241.0,Víctor Guillermo Álvarez Delgado,16.0,Left Midfield,7781.0,Felipe Salvador Caicedo Corozo,16.20864,0.27490985,1.0,Ground Pass,"[93.1, 39.8]",38.0,Left Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685.76,0.8889999999998963,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6640860049916747
01dba8b4-f51b-4543-8a18-68e87af24424,1012,1,00:28:06.688,28,6,55,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['2f839627-7f6a-4845-a932-0dd5203e8c76'],,"[90.5, 43.3]",7781.0,Felipe Salvador Caicedo Corozo,24.0,Left Center Forward,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686.688,0.928000000000111,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2573165652945145
