id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,carry_end_location,under_pressure,pass_cross,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_aerial_won,pass_cut_back,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,out,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,clearance_right_foot,shot_saved_to_post,goalkeeper_shot_saved_to_post,foul_committed_advantage,foul_won_advantage,pass_outswinging,dribble_overrun,clearance_left_foot,shot_one_on_one,shot_aerial_won,injury_stoppage_in_chain,pass_goal_assist,pass_through_ball,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
e6438c0e-36f9-4c56-b4a1-612901415394,1855,2,00:09:36.459,54,36,111,,42,Ball Receipt*,216,Getafe,8,From Keeper,216,Getafe,,,['670ffd09-c68c-4c60-901b-cc966cc7a8aa'],,"[83.3, 10.7]",23416.0,Stefan Šćepović,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.4590000000001,1.26400000000001,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.522601222997148
f2d24684-530f-4870-9bc8-b63c7571fa31,1856,2,00:09:36.459,54,36,111,0.065945,43,Carry,216,Getafe,8,From Keeper,216,Getafe,,,"['35e8c3ab-a666-4a3a-ac37-e08cdfe0532f', 'e6438c0e-36f9-4c56-b4a1-612901415394']",,"[83.3, 10.7]",23416.0,Stefan Šćepović,23.0,Center Forward,,,,,,,,,,,,,,,,"[84.6, 12.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.4590000000001,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9710039484062831
35e8c3ab-a666-4a3a-ac37-e08cdfe0532f,1857,2,00:09:36.525,54,36,111,0.166734,30,Pass,216,Getafe,8,From Keeper,216,Getafe,,,"['5a00c692-85ad-4758-83dd-d692aa99d132', '8f8aaabf-7946-4715-90dc-273ad9a35799']",,"[84.6, 12.1]",23416.0,Stefan Šćepović,23.0,Center Forward,6720.0,Pablo Sarabia García,5.9413805,0.76159316,1.0,Ground Pass,"[88.9, 16.2]",40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.525,0.06599999999991724,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.785321467167992
5a00c692-85ad-4758-83dd-d692aa99d132,1858,2,00:09:36.692,54,36,111,,42,Ball Receipt*,216,Getafe,8,From Keeper,216,Getafe,,,['35e8c3ab-a666-4a3a-ac37-e08cdfe0532f'],,"[99.3, 15.3]",6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.692,0.16700000000003,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09447339777764485
8f8aaabf-7946-4715-90dc-273ad9a35799,1859,2,00:09:36.692,54,36,111,0.0,6,Block,216,Getafe,8,From Keeper,213,Sevilla,,,['35e8c3ab-a666-4a3a-ac37-e08cdfe0532f'],,"[31.2, 63.9]",3253.0,Adil Rami,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.692,0.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.23578289666925378
f6fd026f-4de2-4969-ac18-d39cf3cb8b97,1860,2,00:09:58.860,54,58,111,0.0,19,Substitution,216,Getafe,8,From Keeper,216,Getafe,,,,,,6907.0,Pedro León Sánchez Gil,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,16426.0,Wanderson Maciel Sousa Campos,598.86,22.168000000000006,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5453219949354045
d6998e00-815c-451c-816c-617269d99192,1861,2,00:10:01.490,55,1,111,0.0,19,Substitution,216,Getafe,8,From Keeper,216,Getafe,,,,,,6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,11813.0,Emiliano Buendía,601.49,2.6299999999999955,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.940493745324345
7b7fbcaf-9ebb-4636-b349-5db48c9e7032,1862,2,00:10:10.862,55,10,112,0.341793,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['dac967fa-4332-4eb3-824c-ad4cef62fdc0'],True,"[90.8, 0.1]",27054.0,Roberto Lago Soto,6.0,Left Back,15893.0,Víctor Rodríguez Romero,9.617692,2.0111923,2.0,Low Pass,"[86.7, 8.8]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.862,9.371999999999957,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7304670875513678
dac967fa-4332-4eb3-824c-ad4cef62fdc0,1863,2,00:10:11.204,55,11,112,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['7b7fbcaf-9ebb-4636-b349-5db48c9e7032'],,"[86.7, 8.8]",15893.0,Víctor Rodríguez Romero,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.204,0.34199999999998454,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7845194224107407
c9a04e9b-7f07-40f5-953e-8d2cade353fd,1864,2,00:10:12.222,55,12,112,0.713307,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['54959e5a-56fe-40a2-9bf1-602f6a40d991'],,"[86.7, 11.4]",15893.0,Víctor Rodríguez Romero,21.0,Left Wing,27054.0,Roberto Lago Soto,4.6173587,-1.6575347,1.0,Ground Pass,"[86.3, 6.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.222,1.018000000000029,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5749003318352363
