id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,under_pressure,carry_end_location,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,dribble_overrun,dribble_outcome_id,dribble_outcome_name,pass_switch,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,out,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_technique_id,pass_technique_name,pass_inswinging,clearance_aerial_won,clearance_head,pass_cross,pass_aerial_won,foul_won_defensive,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_shot_assist,goalkeeper_end_location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_advantage,foul_won_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,dribble_nutmeg,pass_outswinging,pass_deflected,pass_through_ball,shot_one_on_one,clearance_left_foot,miscontrol_aerial_won,ball_recovery_recovery_failure,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
e6b4d49a-c79e-46e3-bc2a-232e2e8ef855,1770,2,00:04:25.892,49,25,97,0.527066,43,Carry,216,Getafe,9,From Kick Off,216,Getafe,,,"['46709baf-726b-409b-a654-cd6ed0fe1ea6', 'f1956486-bafb-4506-97ef-c89afd8175f2']",,"[59.9, 39.3]",23416.0,Stefan Šćepović,23.0,Center Forward,,,,,,,,,,,,,,,"[59.4, 38.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.892,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4873870190313496
46709baf-726b-409b-a654-cd6ed0fe1ea6,1771,2,00:04:26.419,49,26,97,1.895556,30,Pass,216,Getafe,9,From Kick Off,216,Getafe,,,['a15b9646-673c-4d62-b40a-e342ff2fc0ba'],,"[59.4, 38.1]",23416.0,Stefan Šćepović,23.0,Center Forward,11813.0,Emiliano Buendía,37.303753,2.155825,1.0,Ground Pass,"[38.8, 69.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.419,0.5269999999999868,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.6036515585960255
a15b9646-673c-4d62-b40a-e342ff2fc0ba,1772,2,00:04:28.314,49,28,97,,42,Ball Receipt*,216,Getafe,9,From Kick Off,216,Getafe,,,['46709baf-726b-409b-a654-cd6ed0fe1ea6'],,"[38.8, 69.2]",11813.0,Emiliano Buendía,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.314,1.8950000000000387,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5255727214084648
346e101a-0d4b-4b9d-99cc-b69e29e17f32,1773,2,00:04:28.314,49,28,97,1.459557,43,Carry,216,Getafe,9,From Kick Off,216,Getafe,,,"['097ea3cb-ba80-45bd-866b-5abb13660b88', 'a15b9646-673c-4d62-b40a-e342ff2fc0ba']",,"[38.8, 69.2]",11813.0,Emiliano Buendía,2.0,Right Back,,,,,,,,,,,,,,,"[46.2, 69.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.314,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7388258350645464
097ea3cb-ba80-45bd-866b-5abb13660b88,1774,2,00:04:29.774,49,29,97,0.973085,30,Pass,216,Getafe,9,From Kick Off,216,Getafe,,,['de9ab0db-951c-489c-a919-f9954573c4d1'],,"[46.2, 69.2]",11813.0,Emiliano Buendía,2.0,Right Back,6720.0,Pablo Sarabia García,21.855206,-0.34056166,1.0,Ground Pass,"[66.8, 61.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.774,1.4599999999999795,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.3278191671463919
de9ab0db-951c-489c-a919-f9954573c4d1,1775,2,00:04:30.747,49,30,97,,42,Ball Receipt*,216,Getafe,9,From Kick Off,216,Getafe,,,['097ea3cb-ba80-45bd-866b-5abb13660b88'],,"[66.8, 61.9]",6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.747,0.9730000000000132,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5356247382641103
cd790225-1506-4e3b-83e4-98466c242919,1776,2,00:04:30.747,49,30,97,1.495158,43,Carry,216,Getafe,9,From Kick Off,216,Getafe,,,"['82d29791-af83-43bb-928c-60abbed29d90', 'bfab832e-e654-4bc5-abbf-b9efd96d619b', 'de9ab0db-951c-489c-a919-f9954573c4d1']",,"[66.8, 61.9]",6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,,,,,,,,,,,,,,True,"[66.8, 61.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.747,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6581811433112091
bfab832e-e654-4bc5-abbf-b9efd96d619b,1777,2,00:04:31.003,49,31,97,1.049013,17,Pressure,216,Getafe,9,From Kick Off,208,Las Palmas,,,['cd790225-1506-4e3b-83e4-98466c242919'],,"[53.3, 18.2]",10755.0,Jonathan Viera Ramos,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.003,0.2559999999999718,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.48702821431192245
82d29791-af83-43bb-928c-60abbed29d90,1778,2,00:04:32.242,49,32,97,0.684466,30,Pass,216,Getafe,9,From Kick Off,216,Getafe,,,['2fd16583-dc28-4559-9d31-569534b1db5f'],,"[66.8, 61.9]",6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,27092.0,Abdoul Karim Yoda,14.727186,0.8960554,1.0,Ground Pass,"[76.0, 73.4]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.242,1.2390000000000327,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.1362108713773783
2fd16583-dc28-4559-9d31-569534b1db5f,1779,2,00:04:32.927,49,32,97,,42,Ball Receipt*,216,Getafe,9,From Kick Off,216,Getafe,,,['82d29791-af83-43bb-928c-60abbed29d90'],,"[76.0, 73.4]",27092.0,Abdoul Karim Yoda,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.927,0.6850000000000023,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4921512485225039
0a4ed309-fb40-44d3-becd-db3faa281ac2,1780,2,00:04:32.927,49,32,97,1.480189,43,Carry,216,Getafe,9,From Kick Off,216,Getafe,,,"['2fd16583-dc28-4559-9d31-569534b1db5f', '86c0a550-3512-4635-b429-c6012de9313f', 'f4cb6872-5d6e-458b-9aff-980b27f1fe0f']",,"[76.0, 73.4]",27092.0,Abdoul Karim Yoda,17.0,Right Wing,,,,,,,,,,,,,,True,"[74.3, 69.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.927,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2725462905715742
86c0a550-3512-4635-b429-c6012de9313f,1781,2,00:04:33.733,49,33,97,0.843912,17,Pressure,216,Getafe,9,From Kick Off,208,Las Palmas,,,"['0a4ed309-fb40-44d3-becd-db3faa281ac2', 'f4cb6872-5d6e-458b-9aff-980b27f1fe0f']",,"[44.8, 7.3]",26448.0,Javier Garrido Behovide,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.733,0.8059999999999832,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7711652016737169
f4cb6872-5d6e-458b-9aff-980b27f1fe0f,1782,2,00:04:34.407,49,34,97,0.454698,30,Pass,216,Getafe,9,From Kick Off,216,Getafe,,,"['5de980ff-ba58-41ca-b1fe-8bdca616d7a6', '86c0a550-3512-4635-b429-c6012de9313f']",,"[74.3, 69.2]",27092.0,Abdoul Karim Yoda,17.0,Right Wing,6720.0,Pablo Sarabia García,7.2235727,1.1877192,1.0,Ground Pass,"[77.0, 75.9]",38.0,Left Foot,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.407,0.6739999999999782,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4820022651322322
5de980ff-ba58-41ca-b1fe-8bdca616d7a6,1783,2,00:04:34.862,49,34,97,,42,Ball Receipt*,216,Getafe,9,From Kick Off,216,Getafe,,,['f4cb6872-5d6e-458b-9aff-980b27f1fe0f'],,"[77.0, 75.9]",6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.862,0.4550000000000409,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7863954375288351
22bdc8d2-51c4-4290-8ce2-21f539ae1226,1784,2,00:04:34.862,49,34,97,0.034556,43,Carry,216,Getafe,9,From Kick Off,216,Getafe,,,"['0521374e-e93a-47af-a792-d4658b5f2f10', '5de980ff-ba58-41ca-b1fe-8bdca616d7a6']",,"[77.0, 75.9]",6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,"[77.2, 76.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.862,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2606643940096839
0521374e-e93a-47af-a792-d4658b5f2f10,1785,2,00:04:34.896,49,34,97,0.0,38,Miscontrol,216,Getafe,9,From Kick Off,216,Getafe,,,,,"[77.2, 76.1]",6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.896,0.033999999999991815,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.9431061933244985
dabf8d27-07d6-4296-b07a-c926c70aa45e,1786,2,00:04:35.953,49,35,98,0.0,2,Ball Recovery,208,Las Palmas,1,Regular Play,208,Las Palmas,,,,,"[42.9, 4.0]",6608.0,Nabil El Zhar,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.953,1.0569999999999595,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2683074098959569
4921b05d-35ab-4c5b-a91c-c095d192b8a3,1787,2,00:04:35.953,49,35,98,2.663786,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['538ffd59-0629-4b14-846b-f11f53881f91', 'dabf8d27-07d6-4296-b07a-c926c70aa45e', 'ee2fb257-256b-4f64-a10f-9afe48e37b02']",,"[42.9, 4.0]",6608.0,Nabil El Zhar,16.0,Left Midfield,,,,,,,,,,,,,,True,"[43.1, 4.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.953,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7869843178271515
