id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,out,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,block_deflection,pass_deflected,pass_cross,clearance_right_foot,counterpress,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_switch,pass_technique_id,pass_technique_name,pass_inswinging,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,pass_aerial_won,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_aerial_won,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,clearance_left_foot,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_cut_back,miscontrol_aerial_won,pass_through_ball,pass_outswinging,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,dribble_overrun,shot_one_on_one,ball_recovery_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
507563a4-79ea-4a26-a8ed-7b9f4c971845,2995,2,00:26:13.594,71,13,154,0.750259,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['88a306fb-4a32-4423-a610-5473f17afce8'],"[98.0, 5.0]",24132.0,Francisco Miguel Varela Martín,6.0,Left Back,6697.0,Daniel Ceballos Fernández,8.58021,2.5050845,1.0,Ground Pass,"[91.1, 10.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573.594,0.08000000000015461,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.5492748611391329
88a306fb-4a32-4423-a610-5473f17afce8,2996,2,00:26:14.344,71,14,154,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['507563a4-79ea-4a26-a8ed-7b9f4c971845'],"[91.1, 10.1]",6697.0,Daniel Ceballos Fernández,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574.344,0.75,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8191812216324386
64b41875-f7ba-4959-a03d-ac76090c69e3,2997,2,00:26:14.344,71,14,154,0.119961,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['82c447e8-57aa-46e1-a8de-7bdb6243ddf1', '88a306fb-4a32-4423-a610-5473f17afce8']","[91.1, 10.1]",6697.0,Daniel Ceballos Fernández,19.0,Center Attacking Midfield,,,,,,,,,,,,"[91.1, 10.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574.344,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.37956085809740003
82c447e8-57aa-46e1-a8de-7bdb6243ddf1,2998,2,00:26:14.464,71,14,154,0.741405,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['38c4da6d-3c26-4ccf-a0ea-6037df0e5c3a'],"[91.1, 10.1]",6697.0,Daniel Ceballos Fernández,19.0,Center Attacking Midfield,26723.0,Álvaro Cejudo Carmona,11.557249,0.16514868,2.0,Low Pass,"[102.5, 12.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574.464,0.11999999999989086,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8538631603750497
38c4da6d-3c26-4ccf-a0ea-6037df0e5c3a,2999,2,00:26:15.206,71,15,154,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['82c447e8-57aa-46e1-a8de-7bdb6243ddf1'],"[102.5, 12.0]",26723.0,Álvaro Cejudo Carmona,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.206,0.7419999999999618,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.15998105679652186
124eb4a4-4035-488a-af9c-ada1c77604d0,3000,2,00:26:15.206,71,15,154,4.186827,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['38c4da6d-3c26-4ccf-a0ea-6037df0e5c3a', '57163eda-2106-4000-b01e-7ecc1e2f7ba8', 'd624db9a-97d9-45f1-815b-240316bdf1ff']","[102.5, 12.0]",26723.0,Álvaro Cejudo Carmona,21.0,Left Wing,,,,,,,,,,,,"[102.2, 9.6]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.206,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9849941251913731
d624db9a-97d9-45f1-815b-240316bdf1ff,3001,2,00:26:17.685,71,17,154,0.847064,17,Pressure,218,Real Betis,1,Regular Play,212,Atlético Madrid,,,['124eb4a4-4035-488a-af9c-ada1c77604d0'],"[16.5, 71.1]",5199.0,Jorge Resurrección Merodio,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577.685,2.479000000000042,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.06675640749092804
57163eda-2106-4000-b01e-7ecc1e2f7ba8,3002,2,00:26:19.393,71,19,154,0.157181,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,"['ad7513ce-650a-499a-a589-fbf4806e0d20', 'd40d4255-df3f-459b-9042-f571c6072f22']","[102.2, 9.6]",26723.0,Álvaro Cejudo Carmona,21.0,Left Wing,6697.0,Daniel Ceballos Fernández,5.503635,1.607144,1.0,Ground Pass,"[102.0, 15.1]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.393,1.7080000000000837,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.5547215893966869
d40d4255-df3f-459b-9042-f571c6072f22,3003,2,00:26:19.550,71,19,154,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['57163eda-2106-4000-b01e-7ecc1e2f7ba8'],"[104.0, 21.8]",6697.0,Daniel Ceballos Fernández,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.55,0.15699999999992542,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.14748425231263307
ad7513ce-650a-499a-a589-fbf4806e0d20,3004,2,00:26:19.550,71,19,154,0.0,10,Interception,218,Real Betis,1,Regular Play,212,Atlético Madrid,,,['57163eda-2106-4000-b01e-7ecc1e2f7ba8'],"[18.1, 65.0]",6744.0,Luciano Vietto,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.55,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.7887765050747626
