id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,counterpress,under_pressure,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,out,interception_outcome_id,interception_outcome_name,pass_cross,pass_switch,pass_aerial_won,pass_technique_id,pass_technique_name,pass_outswinging,clearance_body_part_id,clearance_body_part_name,clearance_head,off_camera,clearance_aerial_won,block_offensive,clearance_right_foot,miscontrol_aerial_won,clearance_left_foot,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,pass_deflected,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble_nutmeg,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_advantage,foul_won_defensive,bad_behaviour_card_id,bad_behaviour_card_name,block_deflection,foul_won_advantage,pass_through_ball,pass_goal_assist,shot_open_goal,pass_inswinging,pass_straight,pass_no_touch,pass_cut_back,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,injury_stoppage_in_chain,shot_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
d3df2b8d-01fc-4abc-b7ad-9f16507f22fc,341,1,00:10:17.390,10,17,32,,42,Ball Receipt*,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['83c53f55-ff63-426e-8071-9508b040a422'],"[27.4, 59.8]",6805.0,Hugo Mallo Novegil,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.39,2.7830000000000155,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.39911465126654977
b186eef3-1773-456c-a693-64e5e1bc8c8e,342,1,00:10:17.390,10,17,32,0.712593,43,Carry,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['35323a0c-500d-4199-9f67-8910a880d29f', 'd3df2b8d-01fc-4abc-b7ad-9f16507f22fc']","[27.4, 59.8]",6805.0,Hugo Mallo Novegil,3.0,Right Center Back,,,,,,,,,,,,"[27.7, 59.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.39,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.040700561041652206
35323a0c-500d-4199-9f67-8910a880d29f,343,1,00:10:18.102,10,18,32,1.782211,30,Pass,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['cb2b8d96-a422-4889-b163-3cd49d203146'],"[27.7, 59.6]",6805.0,Hugo Mallo Novegil,3.0,Right Center Back,6795.0,Rubén Blanco Veiga,27.09631,-2.4633934,1.0,Ground Pass,"[6.6, 42.6]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.102,0.7119999999999891,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.03301989709797715
cb2b8d96-a422-4889-b163-3cd49d203146,344,1,00:10:19.884,10,19,32,,42,Ball Receipt*,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['35323a0c-500d-4199-9f67-8910a880d29f'],"[6.6, 42.6]",6795.0,Rubén Blanco Veiga,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.884,1.782000000000039,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.896139387560207
6dc70a0b-9fa1-48cf-877b-e5dacf06b677,345,1,00:10:19.884,10,19,32,0.279997,43,Carry,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['47ced7f3-f378-431a-bdc7-c8ec2540371e', 'cb2b8d96-a422-4889-b163-3cd49d203146']","[6.6, 42.6]",6795.0,Rubén Blanco Veiga,1.0,Goalkeeper,,,,,,,,,,,,"[6.6, 42.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.884,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7113406433179619
47ced7f3-f378-431a-bdc7-c8ec2540371e,346,1,00:10:20.164,10,20,32,3.86451,30,Pass,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['10b7ad61-2e84-467b-be91-b62fe592bb7a', '9578d19f-af50-4a83-a5cb-410e2c998657']","[6.6, 42.6]",6795.0,Rubén Blanco Veiga,1.0,Goalkeeper,7105.0,Fabián Ariel Orellana Valenzuela,63.934498,-0.032852028,3.0,High Pass,"[70.5, 40.5]",,,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.164,0.2799999999999727,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.6755164502211232
9578d19f-af50-4a83-a5cb-410e2c998657,347,1,00:10:24.029,10,24,32,,42,Ball Receipt*,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['47ced7f3-f378-431a-bdc7-c8ec2540371e'],"[68.6, 39.7]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.029,3.865000000000009,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5820604797690693
10b7ad61-2e84-467b-be91-b62fe592bb7a,348,1,00:10:24.029,10,24,32,1.287891,30,Pass,209,Celta Vigo,1,Regular Play,1049,Granada,,,"['35cafef7-5213-4eb7-b7e2-e29495b28afb', '47ced7f3-f378-431a-bdc7-c8ec2540371e', 'cf6d8df7-a600-457a-b4ef-0470d0f450aa']","[49.6, 39.6]",4498.0,Jean-Sylvain Claude Babin,3.0,Right Center Back,,,19.593111,0.7601328,3.0,High Pass,"[63.8, 53.1]",66.0,Recovery,,,,9.0,Incomplete,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.029,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.34466526939566833
35cafef7-5213-4eb7-b7e2-e29495b28afb,349,1,00:10:24.029,10,24,32,0.0,4,Duel,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['10b7ad61-2e84-467b-be91-b62fe592bb7a'],"[70.5, 40.5]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,True,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.029,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06735018573170659
cf6d8df7-a600-457a-b4ef-0470d0f450aa,350,1,00:10:25.317,10,25,32,0.0,10,Interception,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['10b7ad61-2e84-467b-be91-b62fe592bb7a'],"[56.3, 27.0]",6797.0,Daniel Wass,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.317,1.288000000000011,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.6308646376130085
