id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,counterpress,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,pass_inswinging,pass_technique_id,pass_technique_name,shot_key_pass_id,out,pass_outswinging,pass_cross,dribble_outcome_id,dribble_outcome_name,shot_aerial_won,miscontrol_aerial_won,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,off_camera,clearance_head,pass_through_ball,pass_cut_back,clearance_aerial_won,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,pass_goal_assist,clearance_other,shot_one_on_one,dribble_overrun,clearance_left_foot,block_offensive,shot_deflected,block_deflection,foul_won_defensive,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_miscommunication,foul_committed_penalty,foul_won_penalty,pass_deflected,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
2bed0790-48e0-4fda-bded-f16bb0d0fb54,1670,2,00:02:56.371,47,56,113,0.21015,43,Carry,322,Eibar,3,From Free Kick,322,Eibar,,,"['420d829a-ea3c-448b-8625-71445e40e3d2', 'c00ef927-7a1f-4e48-9bb9-a375b243e359']","[115.6, 12.6]",6700.0,Sergio Enrich Ametller,22.0,Right Center Forward,,,,,,,,,,,,"[116.2, 13.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.371,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06259388627941509
420d829a-ea3c-448b-8625-71445e40e3d2,1671,2,00:02:56.581,47,56,113,3.413071,30,Pass,322,Eibar,3,From Free Kick,322,Eibar,,,['e148e438-a49d-4e4a-96b7-8c553cae420f'],"[116.2, 13.6]",6700.0,Sergio Enrich Ametller,22.0,Right Center Forward,6742.0,Sergio Gontán Gallardo,48.403717,1.5584003,3.0,High Pass,"[116.8, 62.0]",38.0,Left Foot,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.58100000000002,0.21000000000000796,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8190650669527044
e148e438-a49d-4e4a-96b7-8c553cae420f,1672,2,00:02:59.994,47,59,113,,42,Ball Receipt*,322,Eibar,3,From Free Kick,322,Eibar,,,['420d829a-ea3c-448b-8625-71445e40e3d2'],"[116.8, 62.0]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.994,3.4129999999999825,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.45443870028209354
161d8183-88c7-46a4-b13e-035c0f3954af,1673,2,00:02:59.994,47,59,113,4.85994,43,Carry,322,Eibar,3,From Free Kick,322,Eibar,,,"['a79f30f8-d9b6-449e-a6c8-47ad157b2f70', 'c84aa052-0f0f-46eb-8617-89ad761bc082', 'e148e438-a49d-4e4a-96b7-8c553cae420f']","[116.8, 62.0]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,"[98.7, 51.9]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.994,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22418253000298605
c84aa052-0f0f-46eb-8617-89ad761bc082,1674,2,00:03:02.398,48,2,113,0.610123,17,Pressure,322,Eibar,3,From Free Kick,214,Espanyol,,,['161d8183-88c7-46a4-b13e-035c0f3954af'],"[8.4, 20.5]",27241.0,Víctor Guillermo Álvarez Delgado,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.398,2.4039999999999964,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.7643414614616155
4bfa6589-ceda-4136-99af-dcc134acb9c4,1675,2,00:03:04.074,48,4,113,0.620765,17,Pressure,322,Eibar,3,From Free Kick,214,Espanyol,,,,"[19.3, 28.8]",5719.0,Marco Asensio Willemsen,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.074,1.6760000000000161,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.3728540100764649
a79f30f8-d9b6-449e-a6c8-47ad157b2f70,1676,2,00:03:04.854,48,4,113,0.0,3,Dispossessed,322,Eibar,3,From Free Kick,322,Eibar,,,['a0939494-acaa-46b2-8c7c-e557da103640'],"[98.7, 51.9]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.854,0.7800000000000011,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7850806491242454
a0939494-acaa-46b2-8c7c-e557da103640,1677,2,00:03:04.854,48,4,113,0.0,4,Duel,322,Eibar,3,From Free Kick,214,Espanyol,,,['a79f30f8-d9b6-449e-a6c8-47ad157b2f70'],"[21.4, 28.2]",5719.0,Marco Asensio Willemsen,21.0,Left Wing,,,,,,,,,,,,,True,13.0,Lost In Play,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.854,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9378483001563211
d9407b97-4a1d-4312-bcee-5ef2d9c3055f,1678,2,00:03:05.283,48,5,113,0.867796,30,Pass,322,Eibar,3,From Free Kick,322,Eibar,,,['3497eefc-6777-4b86-9d53-350a6172091e'],"[97.2, 52.3]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,6712.0,Gonzalo Escalante,9.202173,-3.1198568,1.0,Ground Pass,"[88.0, 52.1]",38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.283,0.4289999999999736,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.26581967715592525
3497eefc-6777-4b86-9d53-350a6172091e,1679,2,00:03:06.151,48,6,113,,42,Ball Receipt*,322,Eibar,3,From Free Kick,322,Eibar,,,['d9407b97-4a1d-4312-bcee-5ef2d9c3055f'],"[88.0, 52.1]",6712.0,Gonzalo Escalante,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.151,0.8680000000000234,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.32691860469425704
