id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_switch,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,out,pass_technique_id,pass_technique_name,pass_straight,foul_won_defensive,counterpress,pass_assisted_shot_id,pass_goal_assist,pass_through_ball,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,clearance_body_part_id,clearance_body_part_name,clearance_head,dribble_overrun,pass_cross,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_one_on_one,pass_shot_assist,dribble_nutmeg,shot_first_time,clearance_left_foot,ball_recovery_recovery_failure,clearance_right_foot,shot_aerial_won,clearance_aerial_won,pass_aerial_won,block_offensive,goalkeeper_end_location,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_inswinging,pass_deflected,dribble_no_touch,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_advantage,foul_won_advantage,pass_no_touch,pass_cut_back,injury_stoppage_in_chain,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
733eeec2-04e6-45aa-9dc9-b06eaa617475,2402,2,00:08:25.400,53,25,115,1.717245,30,Pass,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,['aa2ac4af-be9f-4628-9d68-9ac3d564411f'],,"[58.2, 28.1]",3610.0,Roque Mesa Quevedo,13.0,Right Center Midfield,15805.0,Hernán Daniel Santana Trujillo,15.815498,1.6150712,1.0,Ground Pass,"[57.5, 43.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.4,1.2349999999999568,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7013892753077585
aa2ac4af-be9f-4628-9d68-9ac3d564411f,2403,2,00:08:27.117,53,27,115,,42,Ball Receipt*,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,['733eeec2-04e6-45aa-9dc9-b06eaa617475'],,"[57.5, 43.9]",15805.0,Hernán Daniel Santana Trujillo,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.117,1.7170000000000414,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5532926979352155
1c003d76-22d2-4a3b-b965-0aedc3d78f6c,2404,2,00:08:27.117,53,27,115,2.128511,30,Pass,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,['b92c6cb8-72ad-450b-8591-a0b3b9e37aa3'],,"[57.5, 43.9]",15805.0,Hernán Daniel Santana Trujillo,15.0,Left Center Midfield,8440.0,Aythami Artiles Oliva,13.55913,2.2674232,1.0,Ground Pass,"[48.8, 54.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.117,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.29931363115195675
b92c6cb8-72ad-450b-8591-a0b3b9e37aa3,2405,2,00:08:29.246,53,29,115,,42,Ball Receipt*,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,['1c003d76-22d2-4a3b-b965-0aedc3d78f6c'],,"[48.8, 54.3]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.246,2.1289999999999623,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3313315494480268
147800af-ba8a-4703-91db-d7b2e0b670fe,2406,2,00:08:29.246,53,29,115,1.234608,30,Pass,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,['e54ff860-f932-46e7-a6a1-2d9392c6eeeb'],,"[49.0, 55.5]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,6608.0,Nabil El Zhar,19.037857,-0.06307412,1.0,Ground Pass,"[68.0, 54.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.246,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9184128783411529
e54ff860-f932-46e7-a6a1-2d9392c6eeeb,2407,2,00:08:30.480,53,30,115,,42,Ball Receipt*,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,['147800af-ba8a-4703-91db-d7b2e0b670fe'],,"[68.0, 54.3]",6608.0,Nabil El Zhar,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.48,1.2340000000000373,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.96331951633524
d58ae9a4-2988-4efc-921b-0d57bd3b33f9,2408,2,00:08:30.480,53,30,115,0.148549,43,Carry,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,"['e3bdbdb6-8a82-4bbb-8ba6-590497df9138', 'e54ff860-f932-46e7-a6a1-2d9392c6eeeb']",,"[68.0, 54.3]",6608.0,Nabil El Zhar,12.0,Right Midfield,,,,,,,,,,,,"[67.9, 53.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.48,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4490266745542797
e3bdbdb6-8a82-4bbb-8ba6-590497df9138,2409,2,00:08:30.629,53,30,115,0.960148,30,Pass,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,['dee6a803-2a94-471c-8165-078e510cdc14'],,"[67.9, 53.8]",6608.0,Nabil El Zhar,12.0,Right Midfield,15805.0,Hernán Daniel Santana Trujillo,4.9497476,-2.9996955,1.0,Ground Pass,"[63.0, 53.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.629,0.1490000000000009,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.39158735357042784
dee6a803-2a94-471c-8165-078e510cdc14,2410,2,00:08:31.589,53,31,115,,42,Ball Receipt*,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,['e3bdbdb6-8a82-4bbb-8ba6-590497df9138'],,"[63.0, 53.1]",15805.0,Hernán Daniel Santana Trujillo,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.589,0.9599999999999795,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4849426453783121
fb87c438-706b-4f2f-b9f9-cf36fd66ed1c,2411,2,00:08:31.589,53,31,115,0.711942,43,Carry,208,Las Palmas,7,From Goal Kick,208,Las Palmas,,,"['63681c91-c5ad-4335-a342-dfb47f388401', 'dee6a803-2a94-471c-8165-078e510cdc14']",,"[63.0, 53.1]",15805.0,Hernán Daniel Santana Trujillo,15.0,Left Center Midfield,,,,,,,,,,,,"[63.4, 53.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.589,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8507063777250925
