id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,duel_type_id,duel_type_name,pass_aerial_won,counterpress,ball_recovery_recovery_failure,carry_end_location,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,dribble_outcome_id,dribble_outcome_name,out,clearance_head,pass_switch,duel_outcome_id,duel_outcome_name,foul_won_defensive,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,clearance_aerial_won,interception_outcome_id,interception_outcome_name,clearance_right_foot,pass_technique_id,pass_technique_name,pass_outswinging,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,pass_cut_back,foul_committed_type_id,foul_committed_type_name,pass_inswinging,shot_aerial_won,pass_no_touch,pass_through_ball,pass_miscommunication,foul_committed_advantage,foul_won_advantage,miscontrol_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
850f7e33-1123-4b67-8d4d-dab68c40902c,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,210,Real Sociedad,1,Regular Play,210,Real Sociedad,4231.0,"[{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8522, 'name': 'Armindo Tué Na Bangna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6677, 'name': 'Imanol Agirretxe Arruti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6952174256015329
11df8125-c0c0-4022-84bc-b2e38702d370,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,210,Real Sociedad,1,Regular Play,213,Sevilla,4231.0,"[{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21210, 'name': 'Mariano Ferreira Filho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 7948, 'name': 'Marco Andreolli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 7788, 'name': 'Ciro Immobile'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.8371115857321849
8aa55152-22e5-441b-97b0-5daebee9f4d5,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['a8cd5670-7144-4506-8538-cdb26e2a18ae'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.3365157697021496
a8cd5670-7144-4506-8538-cdb26e2a18ae,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,210,Real Sociedad,1,Regular Play,213,Sevilla,,,['8aa55152-22e5-441b-97b0-5daebee9f4d5'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.521461953675969
0957b9b2-d2c7-418c-93ef-bae7a57e998b,5,1,00:00:00.907,0,0,2,1.221188,30,Pass,210,Real Sociedad,9,From Kick Off,210,Real Sociedad,,,['608075bd-5b62-4aba-a5a5-b2ccdd158f9a'],True,"[61.0, 40.1]",6677.0,Imanol Agirretxe Arruti,23.0,Center Forward,6899.0,Rubén Pardo Gutiérrez,3.2015622,2.8890383,1.0,Ground Pass,"[57.9, 40.9]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.907,0.907,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3790225986947233
608075bd-5b62-4aba-a5a5-b2ccdd158f9a,6,1,00:00:02.128,0,2,2,,42,Ball Receipt*,210,Real Sociedad,9,From Kick Off,210,Real Sociedad,,,['0957b9b2-d2c7-418c-93ef-bae7a57e998b'],,"[57.9, 40.9]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.128,1.221,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8234677367358739
ebf0b255-bb54-4f71-9fd1-1a27b3a24334,7,1,00:00:02.550,0,2,2,4.388997,30,Pass,210,Real Sociedad,9,From Kick Off,210,Real Sociedad,,,"['3f4e0866-54ac-4e4f-9e74-750d53f1b05d', '99ba8882-75d0-4ac4-b642-9c43f5806a80']",,"[57.2, 40.6]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,8522.0,Armindo Tué Na Bangna,53.604572,0.63044214,3.0,High Pass,"[100.5, 72.2]",40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,0.4219999999999997,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2503719781265664
99ba8882-75d0-4ac4-b642-9c43f5806a80,8,1,00:00:06.939,0,6,2,,42,Ball Receipt*,210,Real Sociedad,9,From Kick Off,210,Real Sociedad,,,['ebf0b255-bb54-4f71-9fd1-1a27b3a24334'],,"[94.4, 77.9]",8522.0,Armindo Tué Na Bangna,17.0,Right Wing,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.939,4.389,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3634770653932039
3f4e0866-54ac-4e4f-9e74-750d53f1b05d,9,1,00:00:06.939,0,6,2,0.0,9,Clearance,210,Real Sociedad,9,From Kick Off,213,Sevilla,,,['ebf0b255-bb54-4f71-9fd1-1a27b3a24334'],,"[19.6, 7.9]",27483.0,Benoît Trémoulinas,6.0,Left Back,,,,,,,,,,,,,,,,True,38.0,Left Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.939,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.394914842585682
d227c294-76b1-4e6d-af0b-10877b0479a9,10,1,00:00:09.689,0,9,2,0.0,4,Duel,210,Real Sociedad,9,From Kick Off,210,Real Sociedad,,,['9cac8ba1-185e-4e20-845c-5782461e207b'],,"[69.8, 71.6]",6671.0,Asier Illarramendi Andonegi,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,True,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.689,2.75,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3338419521643555
