id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_switch,out,interception_outcome_id,interception_outcome_name,pass_aerial_won,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,pass_cross,dribble_nutmeg,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_right_foot,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_head,ball_recovery_recovery_failure,pass_outswinging,pass_technique_id,pass_technique_name,block_deflection,shot_aerial_won,shot_deflected,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_deflected,pass_through_ball,pass_no_touch,50_50_outcome_id,50_50_outcome_name,clearance_aerial_won,pass_miscommunication,dribble_overrun,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,miscontrol_aerial_won,pass_cut_back,dribble_no_touch,pass_goal_assist,shot_one_on_one,shot_open_goal,pass_inswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
882d1fd7-1662-4bd6-be1b-b25974d95aaf,2179,2,00:06:14.649,51,14,118,1.375605,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,"['79cf6414-2aa4-4bac-9709-3f91cb5e8766', '8c0d0d6e-5c11-471b-af0f-ac785e8120db']",,"[42.9, 1.6]",26387.0,Edgar Antonio Méndez Ortega,21.0,Left Wing,24783.0,Javier Márquez Moreno,6.9,1.5707964,1.0,Ground Pass,"[42.9, 8.5]",64.0,Interception,40.0,Right Foot,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.649,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.8605422356839241
d1eb912c-108c-4001-857b-238333b659bb,2180,2,00:06:15.700,51,15,118,0.803093,17,Pressure,1049,Granada,1,Regular Play,220,Real Madrid,,,"['29b7549b-3449-49dc-a3cb-30375e1da153', '8c0d0d6e-5c11-471b-af0f-ac785e8120db', 'a8401135-beb4-4e0c-b9ad-6d1912794613', 'bed1f2dd-d1c7-42e8-b554-3237b23b5a83']",,"[73.8, 68.9]",5574.0,Toni Kroos,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.7,1.0509999999999877,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4340480795429066
8c0d0d6e-5c11-471b-af0f-ac785e8120db,2181,2,00:06:16.025,51,16,118,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,"['882d1fd7-1662-4bd6-be1b-b25974d95aaf', 'd1eb912c-108c-4001-857b-238333b659bb']",,"[42.9, 8.5]",24783.0,Javier Márquez Moreno,9.0,Right Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.025,0.32499999999998863,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7374317057462138
bed1f2dd-d1c7-42e8-b554-3237b23b5a83,2182,2,00:06:16.025,51,16,118,0.092265,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['29b7549b-3449-49dc-a3cb-30375e1da153', '7cf21355-8fb5-41fa-ac62-216168105eb0', '8c0d0d6e-5c11-471b-af0f-ac785e8120db', 'd1eb912c-108c-4001-857b-238333b659bb']",,"[42.9, 8.5]",24783.0,Javier Márquez Moreno,9.0,Right Defensive Midfield,,,,,,,,,,,,"[43.8, 12.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.025,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5664308612480219
7cf21355-8fb5-41fa-ac62-216168105eb0,2183,2,00:06:16.117,51,16,118,0.0,39,Dribbled Past,1049,Granada,1,Regular Play,220,Real Madrid,,,"['29b7549b-3449-49dc-a3cb-30375e1da153', 'a8401135-beb4-4e0c-b9ad-6d1912794613', 'bed1f2dd-d1c7-42e8-b554-3237b23b5a83']",,"[76.3, 67.3]",5574.0,Toni Kroos,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.117,0.09200000000004138,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.49562373550879346
29b7549b-3449-49dc-a3cb-30375e1da153,2184,2,00:06:16.117,51,16,118,0.0,14,Dribble,1049,Granada,1,Regular Play,1049,Granada,,,"['7cf21355-8fb5-41fa-ac62-216168105eb0', 'd1eb912c-108c-4001-857b-238333b659bb']",,"[43.8, 12.8]",24783.0,Javier Márquez Moreno,9.0,Right Defensive Midfield,,,,,,,,,,,,,True,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,376.117,0.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2777027867141322
a8401135-beb4-4e0c-b9ad-6d1912794613,2185,2,00:06:16.117,51,16,118,1.911148,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['29b7549b-3449-49dc-a3cb-30375e1da153', '7cf21355-8fb5-41fa-ac62-216168105eb0', 'd1eb912c-108c-4001-857b-238333b659bb', 'd4eedb7f-56c1-45e4-8e82-24b635c34d0a']",,"[43.8, 12.8]",24783.0,Javier Márquez Moreno,9.0,Right Defensive Midfield,,,,,,,,,,,,"[50.4, 18.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.117,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8345808773425939
d4eedb7f-56c1-45e4-8e82-24b635c34d0a,2186,2,00:06:18.028,51,18,118,1.878675,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,['e7abc3aa-bd82-4b25-ba38-354e074101d6'],,"[50.4, 18.0]",24783.0,Javier Márquez Moreno,9.0,Right Defensive Midfield,27109.0,Youssef El-Arabi,49.58276,0.76115185,1.0,Ground Pass,"[86.3, 52.2]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.028,1.9110000000000014,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.8190455936222526
e7abc3aa-bd82-4b25-ba38-354e074101d6,2187,2,00:06:19.907,51,19,118,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['d4eedb7f-56c1-45e4-8e82-24b635c34d0a'],,"[86.3, 52.2]",27109.0,Youssef El-Arabi,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.907,1.8789999999999623,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9474096422396107
0fd1e87f-b029-49a2-a244-0ae777cdf997,2188,2,00:06:19.907,51,19,118,1.500773,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['1aff9d31-8dd1-4c8f-ad77-ae97b07762fb', 'e7abc3aa-bd82-4b25-ba38-354e074101d6']",,"[86.3, 52.2]",27109.0,Youssef El-Arabi,23.0,Center Forward,,,,,,,,,,,,"[90.6, 57.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.907,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.586674092330016
1aff9d31-8dd1-4c8f-ad77-ae97b07762fb,2189,2,00:06:21.407,51,21,118,1.722237,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,['22e64aad-e813-4115-a820-75d299bff147'],,"[90.6, 57.3]",27109.0,Youssef El-Arabi,23.0,Center Forward,6918.0,Isaac Ajayi Success,17.05579,-0.5082375,1.0,Ground Pass,"[105.5, 49.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,Through Ball,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,381.407,1.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.6813533629208641
