id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,pass_switch,dribble_outcome_id,dribble_outcome_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_head,duel_outcome_id,duel_outcome_name,dribble_overrun,clearance_left_foot,shot_first_time,pass_assisted_shot_id,pass_shot_assist,pass_through_ball,shot_one_on_one,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_inswinging,pass_cross,foul_committed_advantage,foul_won_advantage,foul_won_defensive,pass_goal_assist,shot_open_goal,foul_committed_type_id,foul_committed_type_name,block_offensive,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,shot_aerial_won,dribble_nutmeg,pass_miscommunication,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,miscontrol_aerial_won,goalkeeper_punched_out,injury_stoppage_in_chain,pass_cut_back,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
f571efba-cbb2-4597-98b4-aeb69ca17d34,1015,1,00:23:54.241,23,54,56,1.091206,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['20305907-2cc3-4760-983a-ad280fe50f30', '78506740-8bd5-4f40-a738-60652605f280', 'b5fc9bd9-f914-4a29-89ba-9563e34bf028']","[57.4, 3.4]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,"[56.3, 4.4]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434.241,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8307729036115978
20305907-2cc3-4760-983a-ad280fe50f30,1016,1,00:23:54.396,23,54,56,0.581503,17,Pressure,217,Barcelona,1,Regular Play,360,Rayo Vallecano,,,['f571efba-cbb2-4597-98b4-aeb69ca17d34'],"[64.9, 79.3]",23761.0,Alhassane Bangoura,17.0,Right Wing,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434.396,0.15499999999997272,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.06848838028406845
d32e01dc-8803-4863-8998-508a90f192a2,1017,1,00:23:55.332,23,55,56,0.0,22,Foul Committed,217,Barcelona,1,Regular Play,360,Rayo Vallecano,,,['b5fc9bd9-f914-4a29-89ba-9563e34bf028'],"[63.8, 75.7]",23761.0,Alhassane Bangoura,17.0,Right Wing,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435.332,0.9360000000001492,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5286112191941986
b5fc9bd9-f914-4a29-89ba-9563e34bf028,1018,1,00:23:55.332,23,55,56,0.0,21,Foul Won,217,Barcelona,1,Regular Play,217,Barcelona,,,['d32e01dc-8803-4863-8998-508a90f192a2'],"[56.3, 4.4]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435.332,0.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.034395357044059716
1d71ceb6-f0a9-47f0-b6cd-e49f7fa0be5e,1019,1,00:24:03.791,24,3,57,1.373611,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['25699ce3-10dd-417e-a8a0-13c2c5f55ee2'],"[55.2, 5.5]",10609.0,Jérémy Mathieu,5.0,Left Center Back,5211.0,Jordi Alba Ramos,23.660305,2.2092257,1.0,Ground Pass,"[41.1, 24.5]",40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443.791,8.458999999999833,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.09850461462664162
25699ce3-10dd-417e-a8a0-13c2c5f55ee2,1020,1,00:24:05.164,24,5,57,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['1d71ceb6-f0a9-47f0-b6cd-e49f7fa0be5e'],"[41.1, 24.5]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445.164,1.3730000000000473,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.23394872962119262
c3a45daa-cbad-4ddf-b111-1efc52882b0f,1021,1,00:24:06.399,24,6,57,3.400244,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['1c08363b-55ca-40c2-a6dc-31c13345a020'],"[36.4, 26.9]",5211.0,Jordi Alba Ramos,6.0,Left Back,5213.0,Gerard Piqué Bernabéu,30.704397,1.1479424,3.0,High Pass,"[49.0, 54.9]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446.399,1.2349999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.010379303779545657
1c08363b-55ca-40c2-a6dc-31c13345a020,1022,1,00:24:09.800,24,9,57,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['c3a45daa-cbad-4ddf-b111-1efc52882b0f'],"[49.0, 54.9]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449.8,3.4010000000000673,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2856490554796358
7c3a5e69-7e76-47c6-a8eb-8f7bdc77c450,1023,1,00:24:13.778,24,13,57,1.049798,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['f37992e4-7990-4018-9135-5ffe18e70dbe'],"[49.0, 54.9]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,5203.0,Sergio Busquets i Burgos,19.416489,-0.719799,1.0,Ground Pass,"[63.6, 42.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.778,3.9780000000000655,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3460699069274835
f37992e4-7990-4018-9135-5ffe18e70dbe,1024,1,00:24:14.828,24,14,57,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['7c3a5e69-7e76-47c6-a8eb-8f7bdc77c450'],"[63.6, 42.1]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454.828,1.0499999999999545,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.793140226885849
