id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_cross,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,block_deflection,pass_deflected,duel_type_id,duel_type_name,miscontrol_aerial_won,clearance_left_foot,pass_switch,out,off_camera,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,foul_won_defensive,pass_technique_id,pass_technique_name,pass_through_ball,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,clearance_aerial_won,goalkeeper_end_location,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,shot_first_time,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,shot_deflected,injury_stoppage_in_chain,50_50_outcome_id,50_50_outcome_name,shot_saved_off_target,goalkeeper_shot_saved_off_target,pass_goal_assist,pass_outswinging,shot_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
1df0efed-2df1-4048-b132-b1123213b4e2,2640,2,00:24:37.958,69,37,148,2.29602,30,Pass,214,Espanyol,4,From Throw In,214,Espanyol,,,['edefa5a1-4203-418a-940d-f9b840faa6d3'],"[30.6, 0.1]",27241.0,Víctor Guillermo Álvarez Delgado,6.0,Left Back,27148.0,Abraham González Casanova,26.225368,0.2940134,3.0,High Pass,"[55.7, 7.7]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477.958,14.541000000000167,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7114564948230527
edefa5a1-4203-418a-940d-f9b840faa6d3,2641,2,00:24:40.254,69,40,148,,42,Ball Receipt*,214,Espanyol,4,From Throw In,214,Espanyol,,,['1df0efed-2df1-4048-b132-b1123213b4e2'],"[55.7, 7.7]",27148.0,Abraham González Casanova,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480.254,2.2959999999998217,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6739426834954819
78257e47-1cb0-4308-a35a-cff0a1bb3e6e,2642,2,00:24:40.254,69,40,148,0.975634,43,Carry,214,Espanyol,4,From Throw In,214,Espanyol,,,"['dde6e62e-b977-4ecb-b7ac-e8a3327c9537', 'edefa5a1-4203-418a-940d-f9b840faa6d3']","[55.7, 7.7]",27148.0,Abraham González Casanova,11.0,Left Defensive Midfield,,,,,,,,,,,,,"[56.4, 7.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480.254,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8401647816515213
dde6e62e-b977-4ecb-b7ac-e8a3327c9537,2643,2,00:24:41.229,69,41,148,0.995195,30,Pass,214,Espanyol,4,From Throw In,214,Espanyol,,,['935f5981-21d0-4cea-808c-3c3165d4e3e8'],"[56.4, 7.4]",27148.0,Abraham González Casanova,11.0,Left Defensive Midfield,6624.0,Jorge Franco Alviz,10.840664,2.6201582,2.0,Low Pass,"[47.0, 12.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481.229,0.9750000000001364,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8125806647067051
935f5981-21d0-4cea-808c-3c3165d4e3e8,2644,2,00:24:42.224,69,42,148,,42,Ball Receipt*,214,Espanyol,4,From Throw In,214,Espanyol,,,['dde6e62e-b977-4ecb-b7ac-e8a3327c9537'],"[47.0, 12.8]",6624.0,Jorge Franco Alviz,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482.224,0.9949999999998909,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.36333263308458785
160a541a-cb44-4e64-93c4-acfd675a9f61,2645,2,00:24:42.224,69,42,148,0.197522,43,Carry,214,Espanyol,4,From Throw In,214,Espanyol,,,"['48efb291-a184-4cfb-b065-182c4db99689', '8048c2bc-c202-4f6d-918d-8ca4273f5bcc', '935f5981-21d0-4cea-808c-3c3165d4e3e8']","[47.0, 12.8]",6624.0,Jorge Franco Alviz,21.0,Left Wing,,,,,,,,,,,,True,"[46.3, 12.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482.224,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8643826521037514
8048c2bc-c202-4f6d-918d-8ca4273f5bcc,2646,2,00:24:42.371,69,42,148,0.406688,17,Pressure,214,Espanyol,4,From Throw In,219,RC Deportivo La Coruña,,,"['160a541a-cb44-4e64-93c4-acfd675a9f61', '48efb291-a184-4cfb-b065-182c4db99689']","[75.5, 68.0]",5724.0,Fayçal Fajr,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482.371,0.1470000000001619,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.37737214570356215
48efb291-a184-4cfb-b065-182c4db99689,2647,2,00:24:42.422,69,42,148,1.764679,30,Pass,214,Espanyol,4,From Throw In,214,Espanyol,,,"['5ec707e1-2c0d-48f6-846c-497430de44d6', '8048c2bc-c202-4f6d-918d-8ca4273f5bcc']","[46.3, 12.1]",6624.0,Jorge Franco Alviz,21.0,Left Wing,6758.0,Víctor Sánchez Mata,17.640862,1.6388727,1.0,Ground Pass,"[45.1, 29.7]",40.0,Right Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482.422,0.05099999999993088,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.612992582681993
5ec707e1-2c0d-48f6-846c-497430de44d6,2648,2,00:24:44.187,69,44,148,,42,Ball Receipt*,214,Espanyol,4,From Throw In,214,Espanyol,,,['48efb291-a184-4cfb-b065-182c4db99689'],"[45.1, 29.7]",6758.0,Víctor Sánchez Mata,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484.187,1.7649999999998727,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06575737150173377
2a70efb6-2317-4ed3-8d35-cdc6b43e7bcb,2649,2,00:24:44.187,69,44,148,0.178247,43,Carry,214,Espanyol,4,From Throw In,214,Espanyol,,,"['223b0ef4-2c88-4edb-a27d-9570180c6354', '5ec707e1-2c0d-48f6-846c-497430de44d6']","[45.1, 29.7]",6758.0,Víctor Sánchez Mata,19.0,Center Attacking Midfield,,,,,,,,,,,,,"[44.4, 29.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484.187,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.01137275622419276
