id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,pass_switch,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_assisted_shot_id,pass_goal_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_end_location,pass_aerial_won,out,clearance_left_foot,clearance_aerial_won,shot_first_time,clearance_right_foot,foul_committed_advantage,foul_won_advantage,pass_inswinging,pass_shot_assist,shot_aerial_won,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_outswinging,pass_cut_back,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,miscontrol_aerial_won,ball_recovery_recovery_failure,dribble_nutmeg,dribble_overrun,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
356c7454-23eb-419c-b259-90b86a980700,2789,2,00:31:32.458,76,32,168,1.391185,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['a8260c12-4a81-4e62-b2f2-70b54070cb91'],"[66.1, 53.9]",6934.0,Jerónimo Figueroa Cabrera,17.0,Right Wing,3610.0,Roque Mesa Quevedo,7.4242845,1.4898922,1.0,Ground Pass,"[66.7, 61.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892.458,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7580196097507798
e9af77ed-49b7-42ba-8b75-57ef367c7449,2790,2,00:31:32.560,76,32,168,0.204523,17,Pressure,208,Las Palmas,4,From Throw In,1041,Sporting Gijón,,,,"[51.0, 27.0]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892.56,0.10199999999986176,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.4619863332062426
a8260c12-4a81-4e62-b2f2-70b54070cb91,2791,2,00:31:33.850,76,33,168,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['356c7454-23eb-419c-b259-90b86a980700'],"[66.7, 61.3]",3610.0,Roque Mesa Quevedo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.85,1.2899999999999636,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7879622203526517
77317821-08b0-44c0-aeac-772de1bd8cb7,2792,2,00:31:33.850,76,33,168,0.080314,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['a8260c12-4a81-4e62-b2f2-70b54070cb91', 'e9aab832-b40a-4693-8f64-703ba0dfaa71']","[66.7, 61.3]",3610.0,Roque Mesa Quevedo,9.0,Right Defensive Midfield,,,,,,,,,,,,"[69.4, 60.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.85,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3649585958432078
e9aab832-b40a-4693-8f64-703ba0dfaa71,2793,2,00:31:33.930,76,33,168,1.554219,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['ad964b7c-f3ee-4e6d-950d-cd1ace1e2109'],"[69.4, 60.5]",3610.0,Roque Mesa Quevedo,9.0,Right Defensive Midfield,6928.0,Pedro Taunausú Domínguez Placeres,13.313527,0.9723774,1.0,Ground Pass,"[76.9, 71.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.93,0.08000000000015461,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.20774965128603273
ad964b7c-f3ee-4e6d-950d-cd1ace1e2109,2794,2,00:31:35.484,76,35,168,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['e9aab832-b40a-4693-8f64-703ba0dfaa71'],"[76.9, 71.5]",6928.0,Pedro Taunausú Domínguez Placeres,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.484,1.55399999999986,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7570401386122644
f00982d4-e11b-4559-a23c-93b4644dbae1,2795,2,00:31:35.484,76,35,168,2.487091,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['2abb3aa9-dca5-4581-8b8f-1f9411e2426e', 'ad964b7c-f3ee-4e6d-950d-cd1ace1e2109']","[76.9, 71.5]",6928.0,Pedro Taunausú Domínguez Placeres,19.0,Center Attacking Midfield,,,,,,,,,,,,"[78.8, 71.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.484,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.40107347370649815
2abb3aa9-dca5-4581-8b8f-1f9411e2426e,2796,2,00:31:37.971,76,37,168,1.296388,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['4d33b150-c72a-41e0-bf8a-5813755c3af2'],"[78.8, 71.5]",6928.0,Pedro Taunausú Domínguez Placeres,19.0,Center Attacking Midfield,3610.0,Roque Mesa Quevedo,12.21188,-2.6559706,1.0,Ground Pass,"[68.0, 65.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897.971,2.48700000000008,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.40908509651819547
4d33b150-c72a-41e0-bf8a-5813755c3af2,2797,2,00:31:39.268,76,39,168,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['2abb3aa9-dca5-4581-8b8f-1f9411e2426e'],"[68.0, 65.8]",3610.0,Roque Mesa Quevedo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899.268,1.2970000000000255,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6167526959505553
c3a7cb9e-f756-4170-9170-27e5684d1708,2798,2,00:31:39.268,76,39,168,1.044277,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['fbfa98a7-1b82-46fa-b45e-ec0a4e6227f7'],"[72.1, 64.4]",3610.0,Roque Mesa Quevedo,9.0,Right Defensive Midfield,6934.0,Jerónimo Figueroa Cabrera,27.546507,-1.6289126,1.0,Ground Pass,"[70.5, 36.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899.268,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.013094786081420784
