id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,foul_committed_offensive,foul_won_defensive,off_camera,pass_outcome_id,pass_outcome_name,pass_technique_id,pass_technique_name,pass_through_ball,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_switch,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,foul_committed_advantage,foul_won_advantage,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,out,bad_behaviour_card_id,bad_behaviour_card_name,pass_no_touch,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble_overrun,foul_committed_card_id,foul_committed_card_name,clearance_head,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_aerial_won,ball_recovery_recovery_failure,pass_cross,clearance_aerial_won,pass_outswinging,foul_committed_type_id,foul_committed_type_name,shot_one_on_one,shot_redirect,pass_inswinging,pass_goal_assist,shot_aerial_won,block_deflection,pass_deflected,pass_miscommunication,clearance_left_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
088c7b8f-11cb-4dde-9414-46d2d3970bbe,1155,1,00:30:13.691,30,13,51,0.0,21,Foul Won,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['4c5114fa-a7b1-447e-a17d-27b48177d25f', '9fd62384-bdcf-4908-8120-cf94e898f7d1']","[29.1, 75.5]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1813.691,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05406739775208902
c781d2de-f494-4df1-baef-0dced0495ef2,1156,1,00:30:26.067,30,26,52,2.387529,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['820b8348-8cd4-4b4b-8241-e15c290d6a1a'],"[29.1, 75.5]",4324.0,Daniel Alves da Silva,2.0,Right Back,5216.0,Andrés Iniesta Luján,48.284367,-1.3685267,2.0,Low Pass,"[38.8, 28.2]",40.0,Right Foot,62.0,Free Kick,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826.067,12.375999999999976,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8425140308072451
820b8348-8cd4-4b4b-8241-e15c290d6a1a,1157,1,00:30:28.455,30,28,52,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['c781d2de-f494-4df1-baef-0dced0495ef2'],"[38.8, 28.2]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828.455,2.38799999999992,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1520236581775416
a2357cda-b874-4aa5-9cbd-4789e9f9dc26,1158,1,00:30:28.708,30,28,52,1.689886,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['615d6f09-1862-4989-ad50-928c7f76464a'],"[40.6, 30.3]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,5211.0,Jordi Alba Ramos,27.464159,-2.0149024,2.0,Low Pass,"[28.8, 5.5]",40.0,Right Foot,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828.708,0.25300000000015643,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.5497892221539411
615d6f09-1862-4989-ad50-928c7f76464a,1159,1,00:30:30.397,30,30,52,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['a2357cda-b874-4aa5-9cbd-4789e9f9dc26'],"[28.8, 5.5]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830.397,1.6889999999998508,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.27712351417298575
127d571a-a0b3-464e-9452-e9cbf23819c6,1160,1,00:30:30.437,30,30,52,1.763054,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['ffcb6579-e62a-40a4-8937-06ce6860a7aa'],"[28.8, 6.1]",5211.0,Jordi Alba Ramos,6.0,Left Back,5506.0,Javier Alejandro Mascherano,19.68883,2.0685217,2.0,Low Pass,"[19.4, 23.4]",37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830.437,0.03999999999996362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9632431170363439
ffcb6579-e62a-40a4-8937-06ce6860a7aa,1161,1,00:30:32.200,30,32,52,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['127d571a-a0b3-464e-9452-e9cbf23819c6'],"[19.4, 23.4]",5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832.2,1.7630000000001473,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7636678970074043
45bd7177-380e-4ee6-992f-1d132d665cc5,1162,1,00:30:32.200,30,32,52,0.067525,43,Carry,217,Barcelona,3,From Free Kick,217,Barcelona,,,"['5ff7553b-8c99-40c9-bd48-dbbc07d642b1', 'ffcb6579-e62a-40a4-8937-06ce6860a7aa']","[19.4, 23.4]",5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,,,,,,,,,,,,"[19.4, 23.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832.2,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6443272793482051
5ff7553b-8c99-40c9-bd48-dbbc07d642b1,1163,1,00:30:32.268,30,32,52,2.044778,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['e95ea471-1e9f-471c-9932-39255c5b2fb0'],"[19.4, 23.4]",5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,5216.0,Andrés Iniesta Luján,25.469982,-0.26211983,3.0,High Pass,"[44.0, 16.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832.268,0.06799999999998363,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6358657589992927
7433206d-090c-4d6c-a7cd-6f6b4ca3adb5,1164,1,00:30:33.999,30,33,52,3.054106,17,Pressure,217,Barcelona,3,From Free Kick,220,Real Madrid,,,"['2eead49a-53a8-4458-97c3-d8ff5da57c48', 'b1f5a900-3574-4357-9bad-77640da9bf85', 'e95ea471-1e9f-471c-9932-39255c5b2fb0']","[81.0, 63.2]",6399.0,Gareth Frank Bale,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833.999,1.7309999999999945,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.11647733838410834
