id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,clearance_head,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,out,clearance_other,50_50_outcome_id,50_50_outcome_name,ball_recovery_recovery_failure,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,clearance_left_foot,clearance_right_foot,pass_switch,pass_inswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,foul_won_defensive,miscontrol_aerial_won,off_camera,pass_no_touch,pass_miscommunication,shot_first_time,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_aerial_won,pass_goal_assist,foul_committed_advantage,foul_won_advantage,pass_outswinging,dribble_overrun,pass_deflected,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,ball_recovery_offensive,pass_cut_back,dribble_nutmeg,dribble_no_touch,foul_committed_penalty,foul_won_penalty,foul_committed_type_id,foul_committed_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_through_ball,injury_stoppage_in_chain,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
29ef5d4f-7e16-4e77-a204-07c9e4192dd9,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,442.0,"[{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 18398, 'name': 'Omar Mascarell González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 6602, 'name': 'Miguel Ángel Guerrero Martín'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.048524536076458014
f25b918d-b222-42fc-9f6e-2f087fe42be4,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1041,Sporting Gijón,1,Regular Play,216,Getafe,4231.0,"[{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27054, 'name': 'Roberto Lago Soto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.16716052293964234
78e53b2f-f6fc-4d41-98bc-093dc498faea,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['9e7dbb9a-1b72-492c-b066-6bc4f2661db0'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21154969848147065
9e7dbb9a-1b72-492c-b066-6bc4f2661db0,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,1041,Sporting Gijón,1,Regular Play,216,Getafe,,,['78e53b2f-f6fc-4d41-98bc-093dc498faea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9906932151773887
b0c315ff-892d-4961-81ef-d2cc1ee8ad2c,5,1,00:00:00.231,0,0,2,0.59699,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['9ab1bcc2-1824-4b7d-a423-8ebf318ce01d'],"[60.0, 40.0]",6602.0,Miguel Ángel Guerrero Martín,22.0,Right Center Forward,6926.0,Alen Halilović,2.3345234,-1.7429872,1.0,Ground Pass,"[59.6, 37.7]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231,0.231,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.10739535576065262
9ab1bcc2-1824-4b7d-a423-8ebf318ce01d,6,1,00:00:00.828,0,0,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['b0c315ff-892d-4961-81ef-d2cc1ee8ad2c'],"[59.6, 37.7]",6926.0,Alen Halilović,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.828,0.597,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7826933927368072
e724f24e-8c2a-4a47-a5e0-898eab0be21d,7,1,00:00:00.828,0,0,2,0.067693,43,Carry,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['63ce4735-5cef-4877-bd2c-c1dd4a54bfdb', '9ab1bcc2-1824-4b7d-a423-8ebf318ce01d']","[59.6, 37.7]",6926.0,Alen Halilović,12.0,Right Midfield,,,,,,,,,,,,"[58.9, 37.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.828,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7150779991756953
63ce4735-5cef-4877-bd2c-c1dd4a54bfdb,8,1,00:00:00.896,0,0,2,1.995287,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['f0fed9a8-8919-4013-9426-fa12c86270f2'],"[58.9, 37.9]",6926.0,Alen Halilović,12.0,Right Midfield,18398.0,Omar Mascarell González,12.035364,2.99147,1.0,Ground Pass,"[47.0, 39.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.896,0.06800000000000006,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.14647507621742384
f0fed9a8-8919-4013-9426-fa12c86270f2,9,1,00:00:02.891,0,2,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['63ce4735-5cef-4877-bd2c-c1dd4a54bfdb'],"[47.0, 39.7]",18398.0,Omar Mascarell González,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.891,1.995,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.753155642543374
193ec089-f71e-41b3-9a86-46c016f0a7f3,10,1,00:00:02.891,0,2,2,0.885813,43,Carry,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['634e5275-0da3-4e08-b3f7-776e90f4f3cd', 'f0fed9a8-8919-4013-9426-fa12c86270f2']","[47.0, 39.7]",18398.0,Omar Mascarell González,9.0,Right Defensive Midfield,,,,,,,,,,,,"[45.9, 36.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.891,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4752203556370901
