id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,under_pressure,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_switch,foul_committed_advantage,foul_won_advantage,pass_cross,pass_assisted_shot_id,pass_goal_assist,duel_type_id,duel_type_name,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,pass_no_touch,pass_aerial_won,dribble_nutmeg,foul_won_defensive,clearance_head,ball_recovery_recovery_failure,clearance_left_foot,pass_cut_back,duel_outcome_id,duel_outcome_name,block_deflection,pass_deflected,clearance_aerial_won,pass_technique_id,pass_technique_name,pass_inswinging,shot_first_time,goalkeeper_end_location,miscontrol_aerial_won,dribble_overrun,foul_committed_card_id,foul_committed_card_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_shot_assist,goalkeeper_body_part_id,goalkeeper_body_part_name,50_50_outcome_id,50_50_outcome_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_penalty,foul_won_penalty,block_offensive,foul_committed_type_id,foul_committed_type_name,shot_one_on_one,pass_outswinging,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Own Goal Against,event_type_Own Goal For,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
eb7bebc9-8645-440d-af9a-a086ea77113c,2153,2,00:13:21.329,58,21,129,0.0,10,Interception,213,Sevilla,1,Regular Play,210,Real Sociedad,,,['78cf59ab-7018-4984-a3a2-eaaf95068cf7'],,"[68.9, 6.8]",6669.0,David Zurutuza Veillet,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.329,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.29979297951872863
3dc25dab-ec9a-42e3-8b71-bcafbcabbab2,2154,2,00:13:38.538,58,38,129,0.0,19,Substitution,213,Sevilla,1,Regular Play,210,Real Sociedad,,,,,,6669.0,David Zurutuza Veillet,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,6770.0,Esteban Félix Granero Molina,,,,,,,,818.538,17.20900000000006,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.6603557962445811
e588e97b-91ac-4367-b842-24297d0f850c,2155,2,00:13:45.951,58,45,130,1.679998,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,['6e3cff56-5f19-4fed-a7d0-ff302649d18b'],True,"[44.9, 80.0]",21210.0,Mariano Ferreira Filho,2.0,Right Back,5504.0,Éver Maximiliano David Banega,11.950314,-2.3502774,2.0,Low Pass,"[36.5, 71.5]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.951,7.413000000000011,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.40523721113180955
6e3cff56-5f19-4fed-a7d0-ff302649d18b,2156,2,00:13:47.631,58,47,130,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['e588e97b-91ac-4367-b842-24297d0f850c'],,"[36.5, 71.5]",5504.0,Éver Maximiliano David Banega,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.631,1.67999999999995,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.15777238414672023
9280032f-f952-4310-b3a7-5d46529b2e24,2157,2,00:13:48.401,58,48,130,0.879999,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,['880a22e4-b12c-453b-b28f-1530e3784991'],True,"[38.3, 43.9]",5504.0,Éver Maximiliano David Banega,9.0,Right Defensive Midfield,10476.0,Timothée Kolodziejczak,36.09986,-1.3016288,1.0,Ground Pass,"[47.9, 9.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.401,0.7699999999999818,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8054468169340061
880a22e4-b12c-453b-b28f-1530e3784991,2158,2,00:13:49.281,58,49,130,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['9280032f-f952-4310-b3a7-5d46529b2e24'],,"[47.9, 9.1]",10476.0,Timothée Kolodziejczak,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.281,0.8799999999999955,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2535554728172468
24f5786f-aa16-4d86-bc6f-7053df526289,2159,2,00:13:49.621,58,49,130,1.110456,17,Pressure,213,Sevilla,4,From Throw In,210,Real Sociedad,,,,,"[61.7, 68.1]",6770.0,Esteban Félix Granero Molina,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.621,0.34000000000003183,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.35454506614574677
fce88cd0-d982-420e-ae50-3e42fd46765d,2160,2,00:13:50.964,58,50,130,1.079998,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,['0d332ff0-a11f-4c7b-9cdb-b4406adc19db'],,"[56.5, 8.2]",10476.0,Timothée Kolodziejczak,5.0,Left Center Back,27483.0,Benoît Trémoulinas,7.640026,-1.8221241,1.0,Ground Pass,"[54.6, 0.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830.9639999999999,1.342999999999961,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.08613014708332734
0d332ff0-a11f-4c7b-9cdb-b4406adc19db,2161,2,00:13:52.044,58,52,130,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['fce88cd0-d982-420e-ae50-3e42fd46765d'],,"[54.6, 0.8]",27483.0,Benoît Trémoulinas,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.044,1.080000000000041,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2586062544724663
50587c8b-10ab-4ad5-9a7b-c038bf6fc9c6,2162,2,00:13:52.044,58,52,130,0.719996,43,Carry,213,Sevilla,4,From Throw In,213,Sevilla,,,"['0d332ff0-a11f-4c7b-9cdb-b4406adc19db', '10eb6311-35f7-4f96-9e97-badc3fbfc825']",,"[54.6, 0.8]",27483.0,Benoît Trémoulinas,6.0,Left Back,,,,,,,,,,,,"[55.7, 1.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.044,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2067563719276454
