id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,off_camera,pass_cross,interception_outcome_id,interception_outcome_name,pass_technique_id,pass_technique_name,pass_outswinging,out,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,counterpress,dribble_outcome_id,dribble_outcome_name,pass_goal_assist,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,duel_outcome_id,duel_outcome_name,pass_through_ball,dribble_no_touch,dribble_nutmeg,dribble_overrun,shot_aerial_won,pass_deflected,pass_inswinging,clearance_left_foot,clearance_right_foot,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,foul_committed_penalty,foul_won_penalty,ball_recovery_offensive,pass_no_touch,injury_stoppage_in_chain,block_offensive,block_deflection,pass_straight,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
c64bb23e-1008-4c87-b7bc-33756883b2ca,3373,2,00:43:51.408,88,51,203,1.209551,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['82d8467d-cdbd-44e2-922c-32a726b12768'],"[79.1, 15.6]",3063.0,Danilo Luiz da Silva,6.0,Left Back,20215.0,Álvaro Arbeloa Coca,11.812705,1.8014022,3.0,High Pass,"[76.4, 27.1]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2631.408,0.41800000000012005,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.754957156435658
82d8467d-cdbd-44e2-922c-32a726b12768,3374,2,00:43:52.617,88,52,203,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['c64bb23e-1008-4c87-b7bc-33756883b2ca'],"[76.4, 27.1]",20215.0,Álvaro Arbeloa Coca,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2632.617,1.2090000000002874,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03829514043048399
755745df-4fe6-41e3-878b-b0c3a706cdd6,3375,2,00:43:52.617,88,52,203,2.867081,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['ec0c1bfb-9c6a-4d29-b8ef-55623e69d579'],"[76.4, 27.5]",20215.0,Álvaro Arbeloa Coca,2.0,Right Back,20016.0,Kléper Laveran Lima Ferreira,19.109423,-3.1101894,2.0,Low Pass,"[57.3, 26.9]",,,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2632.617,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.1688327916507959
ec0c1bfb-9c6a-4d29-b8ef-55623e69d579,3376,2,00:43:55.484,88,55,203,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['755745df-4fe6-41e3-878b-b0c3a706cdd6'],"[57.3, 26.9]",20016.0,Kléper Laveran Lima Ferreira,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2635.484,2.8669999999997344,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.028820013748571127
1cab0317-35ab-41e3-aa52-e22a00439dfe,3377,2,00:43:55.484,88,55,203,0.008767001,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['9e066178-480f-4ff8-9d18-95a2aa0babfb', 'ec0c1bfb-9c6a-4d29-b8ef-55623e69d579']","[57.3, 26.9]",20016.0,Kléper Laveran Lima Ferreira,3.0,Right Center Back,,,,,,,,,,,,"[55.4, 26.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2635.484,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2568964648058
9e066178-480f-4ff8-9d18-95a2aa0babfb,3378,2,00:43:55.493,88,55,203,1.468399,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['308d5c6c-7b00-4452-bf57-2603e8c7fabe'],"[55.4, 26.9]",20016.0,Kléper Laveran Lima Ferreira,3.0,Right Center Back,20215.0,Álvaro Arbeloa Coca,12.452309,0.7513205,1.0,Ground Pass,"[64.5, 35.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2635.493,0.009000000000014552,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.1682763232296709
308d5c6c-7b00-4452-bf57-2603e8c7fabe,3379,2,00:43:56.961,88,56,203,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['9e066178-480f-4ff8-9d18-95a2aa0babfb'],"[64.5, 35.4]",20215.0,Álvaro Arbeloa Coca,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636.961,1.4679999999998472,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7436861622030123
3c7a879c-763d-4ccd-8a09-d10faff94905,3380,2,00:43:56.961,88,56,203,3.725331,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['308d5c6c-7b00-4452-bf57-2603e8c7fabe', 'f35e14da-bdc7-453b-8dec-4b46cb74ab72']","[64.5, 35.4]",20215.0,Álvaro Arbeloa Coca,2.0,Right Back,,,,,,,,,,,,"[56.6, 43.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636.961,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04171462951830751
f35e14da-bdc7-453b-8dec-4b46cb74ab72,3381,2,00:44:00.687,89,0,203,0.822404,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['3e367b36-fca1-471e-bffb-a934bdba9785'],"[56.6, 43.7]",20215.0,Álvaro Arbeloa Coca,2.0,Right Back,5574.0,Toni Kroos,15.852129,-0.68262255,1.0,Ground Pass,"[68.9, 33.7]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640.687,3.7260000000001128,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.2532984458442952
3e367b36-fca1-471e-bffb-a934bdba9785,3382,2,00:44:01.509,89,1,203,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['f35e14da-bdc7-453b-8dec-4b46cb74ab72'],"[68.9, 33.7]",5574.0,Toni Kroos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2641.509,0.8220000000001164,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8785171115391179
