id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,interception_outcome_id,interception_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,counterpress,pass_switch,foul_committed_offensive,foul_won_defensive,miscontrol_aerial_won,out,pass_outswinging,pass_technique_id,pass_technique_name,ball_recovery_recovery_failure,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,shot_statsbomb_xg,shot_end_location,shot_first_time,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,clearance_head,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_aerial_won,pass_through_ball,clearance_left_foot,shot_aerial_won,pass_no_touch,pass_goal_assist,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,injury_stoppage_in_chain,dribble_overrun,foul_committed_advantage,foul_won_advantage,pass_inswinging,foul_committed_type_id,foul_committed_type_name,shot_deflected,block_deflection,block_offensive,pass_miscommunication,ball_recovery_offensive,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
0a98d9db-df30-445f-b69c-e0a60a8e5253,1841,1,00:45:05.101,45,5,98,0.0,34,Half End,322,Eibar,3,From Free Kick,322,Eibar,,,['350909ef-cbc6-4176-ab36-0815ab65da95'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2705.101,11.907000000000153,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.32814957651624443
350909ef-cbc6-4176-ab36-0815ab65da95,1842,1,00:45:05.101,45,5,98,0.0,34,Half End,322,Eibar,3,From Free Kick,218,Real Betis,,,['0a98d9db-df30-445f-b69c-e0a60a8e5253'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2705.101,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.46217494432684003
12045196-4953-4b76-8abb-797fab978741,1843,2,00:00:00.000,45,0,98,0.0,18,Half Start,322,Eibar,3,From Free Kick,322,Eibar,,,['4b873809-cdf8-4495-9e02-55fefc0ada00'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-2705.101,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.29427988869706534
4b873809-cdf8-4495-9e02-55fefc0ada00,1844,2,00:00:00.000,45,0,98,0.0,18,Half Start,322,Eibar,3,From Free Kick,218,Real Betis,,,['12045196-4953-4b76-8abb-797fab978741'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.23941401642863003
b3e8446a-c83b-4df9-ba96-e7da3ca42f91,1845,2,00:00:00.000,45,0,98,0.0,19,Substitution,322,Eibar,3,From Free Kick,322,Eibar,,,,,,9462.0,José Ignacio Peleteiro Ramallo,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,6700.0,Sergio Enrich Ametller,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.18935367530051572
1bb5fec9-06aa-4d1d-9074-776dcaa35319,1846,2,00:00:00.000,45,0,98,0.0,36,Tactical Shift,322,Eibar,3,From Free Kick,322,Eibar,442.0,"[{'player': {'id': 27462, 'name': 'Xabier Iruretagoiena Aranzamendi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 24453, 'name': 'Josip Radošević'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7587750148972615
e47d2a5a-422f-4528-b923-a847e01434e3,1847,2,00:00:00.746,45,0,99,0.451177,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['4d53d1f5-41a9-4598-a1e9-4dd245a2561a'],True,"[61.0, 40.1]",6651.0,Joaquín Sánchez Rodríguez,19.0,Center Attacking Midfield,6832.0,Rubén Castro Martín,4.8010416,1.549966,1.0,Ground Pass,"[61.1, 44.9]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.746,0.746,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8294001268187863
4d53d1f5-41a9-4598-a1e9-4dd245a2561a,1848,2,00:00:01.197,45,1,99,,42,Ball Receipt*,218,Real Betis,9,From Kick Off,218,Real Betis,,,['e47d2a5a-422f-4528-b923-a847e01434e3'],,"[61.1, 44.9]",6832.0,Rubén Castro Martín,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.197,0.45100000000000007,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22127851943807808
f7e86ef1-8ae5-4086-b2bb-838bc71cf48f,1849,2,00:00:01.218,45,1,99,1.381478,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['e79a5055-c21e-4424-b8de-dd3286f13c7e'],True,"[61.1, 43.8]",6832.0,Rubén Castro Martín,23.0,Center Forward,27346.0,Petros Matheus dos Santos Araújo,21.416115,-2.901144,1.0,Ground Pass,"[40.3, 38.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.218,0.020999999999999908,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.5526431571590293
e79a5055-c21e-4424-b8de-dd3286f13c7e,1850,2,00:00:02.600,45,2,99,,42,Ball Receipt*,218,Real Betis,9,From Kick Off,218,Real Betis,,,['f7e86ef1-8ae5-4086-b2bb-838bc71cf48f'],,"[40.3, 38.7]",27346.0,Petros Matheus dos Santos Araújo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,1.3820000000000001,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09986602146551238
a19578b8-f114-45ff-985c-1f453d09bd05,1851,2,00:00:03.719,45,3,99,1.752981,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['41f1fd03-5204-455d-b6b0-6b715f06c7ea'],,"[38.1, 39.0]",27346.0,Petros Matheus dos Santos Araújo,9.0,Right Defensive Midfield,26723.0,Álvaro Cejudo Carmona,37.21935,1.6030432,1.0,Ground Pass,"[36.9, 76.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.719,1.1189999999999998,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.23068303483877095
41f1fd03-5204-455d-b6b0-6b715f06c7ea,1852,2,00:00:05.472,45,5,99,,42,Ball Receipt*,218,Real Betis,9,From Kick Off,218,Real Betis,,,['a19578b8-f114-45ff-985c-1f453d09bd05'],,"[36.9, 76.2]",26723.0,Álvaro Cejudo Carmona,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.472,1.7530000000000006,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5773549181653345
fc69e4c4-3087-4359-9000-c908ccf28fa7,1853,2,00:00:05.472,45,5,99,0.791817,43,Carry,218,Real Betis,9,From Kick Off,218,Real Betis,,,"['41f1fd03-5204-455d-b6b0-6b715f06c7ea', '92f90a43-08be-4090-8ecd-1048a3fa4210']",,"[36.9, 76.2]",26723.0,Álvaro Cejudo Carmona,2.0,Right Back,,,,,,,,,,,,"[36.9, 76.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.472,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2231437697620231
92f90a43-08be-4090-8ecd-1048a3fa4210,1854,2,00:00:06.264,45,6,99,1.064947,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['04383898-529a-4b37-9104-c58a55a51bac'],,"[36.9, 76.2]",26723.0,Álvaro Cejudo Carmona,2.0,Right Back,6873.0,Francisco Portillo Soler,11.90042,-0.84485185,1.0,Ground Pass,"[44.8, 67.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.264,0.7919999999999998,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8650769720164614
58461f64-54f7-4ea9-b5f8-188281bbe26b,1855,2,00:00:06.974,45,6,99,0.393754,17,Pressure,218,Real Betis,9,From Kick Off,322,Eibar,,,"['04383898-529a-4b37-9104-c58a55a51bac', '6fc89644-bd4d-472c-8a4f-789e7baf2b00']",,"[74.5, 12.8]",6775.0,Daniel García Carrillo,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.974,0.71,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.8916617707062079
04383898-529a-4b37-9104-c58a55a51bac,1856,2,00:00:07.329,45,7,99,,42,Ball Receipt*,218,Real Betis,9,From Kick Off,218,Real Betis,,,"['58461f64-54f7-4ea9-b5f8-188281bbe26b', '92f90a43-08be-4090-8ecd-1048a3fa4210']",,"[44.8, 67.3]",6873.0,Francisco Portillo Soler,17.0,Right Wing,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.329,0.35499999999999954,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03376517036562754
6fc89644-bd4d-472c-8a4f-789e7baf2b00,1857,2,00:00:07.329,45,7,99,0.05355,43,Carry,218,Real Betis,9,From Kick Off,218,Real Betis,,,"['04383898-529a-4b37-9104-c58a55a51bac', '4d8652b6-7476-4306-8302-adf2a3c11cdf', '58461f64-54f7-4ea9-b5f8-188281bbe26b']",,"[44.8, 67.3]",6873.0,Francisco Portillo Soler,17.0,Right Wing,,,,,,,,,,,,"[44.2, 68.5]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.329,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8499890080028224
