id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,pass_aerial_won,clearance_right_foot,counterpress,off_camera,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_switch,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_saved_to_post,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_shot_saved_to_post,goalkeeper_type_id,goalkeeper_type_name,out,clearance_head,pass_outswinging,pass_technique_id,pass_technique_name,goalkeeper_end_location,shot_first_time,clearance_aerial_won,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,foul_won_defensive,foul_committed_type_id,foul_committed_type_name,block_offensive,pass_cut_back,pass_inswinging,goalkeeper_punched_out,foul_committed_card_id,foul_committed_card_name,shot_deflected,block_deflection,pass_through_ball,pass_goal_assist,shot_aerial_won,foul_committed_advantage,foul_won_advantage,bad_behaviour_card_id,bad_behaviour_card_name,shot_one_on_one,shot_open_goal,shot_redirect,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,pass_no_touch,dribble_nutmeg,foul_committed_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
51daba6a-4c90-46c7-a4d7-1e3a720f006a,759,1,00:23:37.188,23,37,48,,42,Ball Receipt*,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,['60d79e06-87fc-4135-96ee-cbfc044ecc00'],"[97.6, 67.1]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1417.188,3.994000000000142,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8401231544799072
c5019828-e8d1-48c9-82b8-b14f9b62874b,760,1,00:23:45.411,23,45,49,1.483478,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['e5bb610f-deaa-4da0-8f33-54e2dfffc55d'],"[17.2, 0.1]",7577.0,Carles Planas Antolínez,6.0,Left Back,6796.0,Nemanja Radoja,12.553884,1.0358412,2.0,Low Pass,"[23.6, 10.9]",,,67.0,Throw-in,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425.411,8.222999999999956,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.16775792140673362
e5bb610f-deaa-4da0-8f33-54e2dfffc55d,761,1,00:23:46.895,23,46,49,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['c5019828-e8d1-48c9-82b8-b14f9b62874b'],"[23.6, 10.9]",6796.0,Nemanja Radoja,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426.895,1.4839999999999236,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8834614217484046
0da63768-6c95-4e65-b09e-bc05fde5064a,762,1,00:23:46.895,23,46,49,0.0,38,Miscontrol,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,,"[25.3, 12.1]",6796.0,Nemanja Radoja,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426.895,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.6652714902888005
34384149-6e83-46ca-b9ab-4fca5e79efbb,763,1,00:24:13.248,24,13,50,0.457263,30,Pass,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,,"[92.0, 80.0]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,14.623953,-0.46058953,3.0,High Pass,"[105.1, 73.5]",,,67.0,Throw-in,,77.0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.248,26.353000000000065,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.37428962018297973
35e65f55-0ff9-48b6-a177-0e3554820a74,764,1,00:24:13.745,24,13,50,0.0,22,Foul Committed,360,Rayo Vallecano,4,From Throw In,209,Celta Vigo,,,['62b03f2f-7f34-4d0c-9bba-d3d451134796'],"[18.4, 5.7]",23785.0,Théo Bongonda Mbul''Ofeko Batombo,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.745,0.49699999999984357,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7686729066800201
62b03f2f-7f34-4d0c-9bba-d3d451134796,765,1,00:24:13.745,24,13,50,0.0,21,Foul Won,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['35e65f55-0ff9-48b6-a177-0e3554820a74'],"[101.7, 74.4]",4711.0,Pablo Hernández Domínguez,17.0,Right Wing,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.745,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.9068134145012487
443bebbf-9189-4358-b71f-ed753a8fd091,766,1,00:25:00.462,25,0,51,1.746252,30,Pass,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['583b4e9d-3ae8-444c-90c9-0953b12b387d'],"[100.7, 71.7]",26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,6914.0,Roberto Román Triguero,39.548706,-1.2810348,3.0,High Pass,"[112.0, 33.8]",40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,True,,,a418172b-6aef-4ad5-ad45-cd4a86d200db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,1500.462,46.7170000000001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.24393727606678328
583b4e9d-3ae8-444c-90c9-0953b12b387d,767,1,00:25:02.208,25,2,51,,42,Ball Receipt*,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,['443bebbf-9189-4358-b71f-ed753a8fd091'],"[112.0, 33.8]",6914.0,Roberto Román Triguero,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502.208,1.7460000000000946,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2719744116055248
ae38c3cf-18c0-4767-bc51-ec30b6cc10f5,768,1,00:25:02.208,25,2,51,0.0,4,Duel,360,Rayo Vallecano,3,From Free Kick,209,Celta Vigo,,,['a418172b-6aef-4ad5-ad45-cd4a86d200db'],"[8.1, 44.8]",6804.0,Sergi Gómez Solà,5.0,Left Center Back,,,,,,,,,,,,,,,,,True,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502.208,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03761770833619693
