id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,duel_type_id,duel_type_name,pass_aerial_won,out,pass_switch,foul_committed_card_id,foul_committed_card_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_cut_back,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_inswinging,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,duel_outcome_id,duel_outcome_name,foul_committed_advantage,foul_won_advantage,dribble_no_touch,clearance_other,clearance_left_foot,foul_won_defensive,dribble_overrun,ball_recovery_offensive,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,clearance_head,clearance_aerial_won,ball_recovery_recovery_failure,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_type_id,foul_committed_type_name,shot_one_on_one,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,pass_outswinging,pass_deflected,pass_goal_assist,50_50_outcome_id,50_50_outcome_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
7dd66ace-3ea6-4a3b-a505-264c51cd4d82,1685,2,00:00:56.736,45,56,97,1.049943,30,Pass,212,Atlético Madrid,4,From Throw In,216,Getafe,,,"['4b8c2e6c-d9a5-4acf-98bd-06f06d5e603c', '9678d965-89a7-40f5-b143-4c7aaa55d1a1']",,"[50.7, 72.4]",6736.0,Álvaro Medrán Just,9.0,Right Defensive Midfield,6907.0,Pedro León Sánchez Gil,15.900314,0.006289225,1.0,Ground Pass,"[66.6, 72.5]",40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.736,0.4589999999999961,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.19665252168719027
4b8c2e6c-d9a5-4acf-98bd-06f06d5e603c,1686,2,00:00:57.786,45,57,97,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,216,Getafe,,,['7dd66ace-3ea6-4a3b-a505-264c51cd4d82'],,"[66.6, 72.5]",6907.0,Pedro León Sánchez Gil,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.786,1.0500000000000043,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7484047797007682
e5fd2e92-ac30-4573-a0e0-5161b160ed78,1687,2,00:00:57.786,45,57,97,1.524742,43,Carry,212,Atlético Madrid,4,From Throw In,216,Getafe,,,"['4224a831-2548-44cc-a97e-616b464b0f2c', '4b8c2e6c-d9a5-4acf-98bd-06f06d5e603c']",,"[66.6, 72.5]",6907.0,Pedro León Sánchez Gil,17.0,Right Wing,,,,,,,,,,,,"[75.5, 74.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.786,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8642633873493457
4224a831-2548-44cc-a97e-616b464b0f2c,1688,2,00:00:59.311,45,59,97,0.0,14,Dribble,212,Atlético Madrid,4,From Throw In,216,Getafe,,,['d72332ca-ac37-4eac-8bad-06d2a42618bb'],,"[75.5, 74.4]",6907.0,Pedro León Sánchez Gil,17.0,Right Wing,,,,,,,,,,,,,,,,,True,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.311,1.5249999999999986,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4842694369081304
d72332ca-ac37-4eac-8bad-06d2a42618bb,1689,2,00:00:59.311,45,59,97,0.0,4,Duel,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['4224a831-2548-44cc-a97e-616b464b0f2c'],,"[44.6, 5.7]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,,,,,,True,True,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.311,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9161336159216095
d9ae49d0-3cb6-4496-9e31-f9ba8d23af0f,1690,2,00:01:00.264,46,0,97,0.596008,17,Pressure,212,Atlético Madrid,4,From Throw In,216,Getafe,,,['d9aa1507-83cc-486c-aba1-09ef79ca8d69'],,"[75.1, 73.3]",6907.0,Pedro León Sánchez Gil,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.264,0.953000000000003,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.23490273153130214
d9aa1507-83cc-486c-aba1-09ef79ca8d69,1691,2,00:01:00.707,46,0,97,0.581723,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['30764a51-1fab-4bd7-a9c9-e3cb7a075dfc', '9f7521cf-947a-4ef3-bce3-0516d2e3d97d', 'd9ae49d0-3cb6-4496-9e31-f9ba8d23af0f']",,"[44.9, 5.7]",6381.0,Saúl Ñíguez Esclapez,11.0,Left Defensive Midfield,6384.0,Gabriel Fernández Arenas,5.748913,-0.22810262,1.0,Ground Pass,"[50.5, 4.4]",38.0,Left Foot,66.0,Recovery,,9.0,Incomplete,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.707,0.44299999999999784,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4495670353283229
30764a51-1fab-4bd7-a9c9-e3cb7a075dfc,1692,2,00:01:01.288,46,1,97,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['d9aa1507-83cc-486c-aba1-09ef79ca8d69'],,"[52.1, 3.2]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.288,0.580999999999996,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1456480575701471
9f7521cf-947a-4ef3-bce3-0516d2e3d97d,1693,2,00:01:01.288,46,1,97,0.0,10,Interception,212,Atlético Madrid,4,From Throw In,216,Getafe,,,['d9aa1507-83cc-486c-aba1-09ef79ca8d69'],,"[69.6, 75.7]",6736.0,Álvaro Medrán Just,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.288,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.6254638896744255
0ffa42f7-fe36-4068-862d-81e8bcd41ee8,1694,2,00:01:01.288,46,1,97,0.748103,43,Carry,212,Atlético Madrid,4,From Throw In,216,Getafe,,,"['7277da49-1d54-4058-b9e8-6a81880ff80e', '9f7521cf-947a-4ef3-bce3-0516d2e3d97d']",,"[69.6, 75.7]",6736.0,Álvaro Medrán Just,9.0,Right Defensive Midfield,,,,,,,,,,,,"[70.6, 74.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.288,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9364045752914211
