id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,foul_won_defensive,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,off_camera,dribble_outcome_id,dribble_outcome_name,out,clearance_head,clearance_body_part_id,clearance_body_part_name,ball_recovery_recovery_failure,pass_aerial_won,pass_deflected,foul_committed_advantage,foul_won_advantage,clearance_right_foot,pass_cross,pass_cut_back,pass_switch,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,clearance_aerial_won,pass_inswinging,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_committed_card_id,foul_committed_card_name,clearance_left_foot,miscontrol_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_type_id,foul_committed_type_name,50_50_outcome_id,50_50_outcome_name,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,dribble_overrun,block_offensive,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
6e59e431-2095-4f0f-ab7e-1a2fdd6efbb1,1743,1,00:43:38.142,43,38,102,,42,Ball Receipt*,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['3a298be3-dc4c-4e0c-98e6-43f442d9ef8c'],"[57.4, 63.7]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618.142,1.2480000000000473,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4295375584384671
9db07680-88ca-4001-9376-e6d3dba0d6ee,1744,1,00:43:38.142,43,38,102,1.518711,43,Carry,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['269a10fb-6b28-4d68-8a46-a0e71e3a266b', '6e59e431-2095-4f0f-ab7e-1a2fdd6efbb1']","[57.4, 63.7]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,,,,,,,,,,,,"[57.4, 63.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618.142,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.891169246841571
269a10fb-6b28-4d68-8a46-a0e71e3a266b,1745,1,00:43:39.661,43,39,102,1.500459,30,Pass,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['d1d66eac-63e5-4e2f-9c88-35c1a337ebc9'],"[57.4, 63.7]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,6671.0,Asier Illarramendi Andonegi,21.40841,-1.5988264,1.0,Ground Pass,"[56.8, 42.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2619.661,1.5190000000002328,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8008086490826649
d1d66eac-63e5-4e2f-9c88-35c1a337ebc9,1746,1,00:43:41.162,43,41,102,,42,Ball Receipt*,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['269a10fb-6b28-4d68-8a46-a0e71e3a266b'],"[56.8, 42.3]",6671.0,Asier Illarramendi Andonegi,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2621.162,1.500999999999749,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3953895645376386
398f705e-297b-4fd9-be09-f8720765bf7e,1747,1,00:43:41.162,43,41,102,2.613497,43,Carry,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['6b5696fa-c5e4-428b-88ed-c08f315242ad', 'd1d66eac-63e5-4e2f-9c88-35c1a337ebc9']","[56.8, 42.3]",6671.0,Asier Illarramendi Andonegi,9.0,Right Defensive Midfield,,,,,,,,,,,,"[68.9, 42.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2621.162,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4774800148834568
6b5696fa-c5e4-428b-88ed-c08f315242ad,1748,1,00:43:43.775,43,43,102,0.914016,30,Pass,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['f901c84d-e4d8-4fa2-86cc-e2b407c88907'],"[68.9, 42.3]",6671.0,Asier Illarramendi Andonegi,9.0,Right Defensive Midfield,8584.0,Jonathas Cristian de Jesus,17.24297,-0.66206044,1.0,Ground Pass,"[82.5, 31.7]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623.775,2.6130000000002838,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.12173144433876748
50ac4ed2-d705-4c4a-bd00-f991ed73f56c,1749,1,00:43:44.563,43,44,102,0.955626,17,Pressure,210,Real Sociedad,4,From Throw In,1041,Sporting Gijón,,,"['22de91d8-4d8a-4d40-a0fa-5f48982ffc89', '9f9e5c0f-dd0d-483b-9da3-09da27702b02', 'f901c84d-e4d8-4fa2-86cc-e2b407c88907']","[36.7, 46.3]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2624.563,0.7880000000000109,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.7504668608692533
f901c84d-e4d8-4fa2-86cc-e2b407c88907,1750,1,00:43:44.689,43,44,102,,42,Ball Receipt*,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['50ac4ed2-d705-4c4a-bd00-f991ed73f56c', '6b5696fa-c5e4-428b-88ed-c08f315242ad']","[82.5, 31.7]",8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2624.689,0.12599999999974898,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.392325925752527
9f9e5c0f-dd0d-483b-9da3-09da27702b02,1751,1,00:43:44.689,43,44,102,0.818271,43,Carry,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['22de91d8-4d8a-4d40-a0fa-5f48982ffc89', '50ac4ed2-d705-4c4a-bd00-f991ed73f56c', '6f94ebcb-5f7d-4f86-9e94-1c32b8064ff5', 'f901c84d-e4d8-4fa2-86cc-e2b407c88907']","[82.5, 31.7]",8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,,,,,,"[81.7, 29.7]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2624.689,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.496213817905618
6f94ebcb-5f7d-4f86-9e94-1c32b8064ff5,1752,1,00:43:45.204,43,45,102,0.334573,17,Pressure,210,Real Sociedad,4,From Throw In,1041,Sporting Gijón,,,"['22de91d8-4d8a-4d40-a0fa-5f48982ffc89', '9f9e5c0f-dd0d-483b-9da3-09da27702b02']","[39.7, 55.4]",23848.0,Carlos Carmona Bonet,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625.204,0.5150000000003274,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.607416116871094
22de91d8-4d8a-4d40-a0fa-5f48982ffc89,1753,1,00:43:45.507,43,45,102,0.787486,30,Pass,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['4992b9a5-15c8-48b8-b3c2-c2dfb1054e7f', '50ac4ed2-d705-4c4a-bd00-f991ed73f56c', '6f94ebcb-5f7d-4f86-9e94-1c32b8064ff5']","[81.7, 29.7]",8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,6671.0,Asier Illarramendi Andonegi,12.790622,-2.968732,1.0,Ground Pass,"[69.1, 27.5]",,,40.0,Right Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625.507,0.3029999999998836,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.846517499646481
