id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,pass_outcome_id,pass_outcome_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,pass_cross,off_camera,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,out,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_switch,clearance_head,clearance_aerial_won,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,ball_recovery_recovery_failure,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_won_defensive,foul_committed_advantage,foul_won_advantage,shot_one_on_one,pass_technique_id,pass_technique_name,pass_inswinging,pass_outswinging,clearance_left_foot,dribble_overrun,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_deflected,pass_goal_assist,miscontrol_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
c09dcb81-2d04-41ac-837b-c6e533c1d294,922,1,00:22:47.451,22,47,47,0.717502,30,Pass,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['a9c3175f-6187-43c1-9f94-842b0e5c4614'],"[39.0, 50.7]",7161.0,Germán Alejandro Pezzella,3.0,Right Center Back,6697.0,Daniel Ceballos Fernández,13.738268,0.4278323,1.0,Ground Pass,"[51.5, 56.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367.451,1.3559999999999945,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.708144093298086
a9c3175f-6187-43c1-9f94-842b0e5c4614,923,1,00:22:48.168,22,48,47,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['c09dcb81-2d04-41ac-837b-c6e533c1d294'],"[51.5, 56.4]",6697.0,Daniel Ceballos Fernández,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368.168,0.7169999999998709,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4805923164949859
9c2ef148-262a-48eb-9d06-5459641d7491,924,1,00:22:48.168,22,48,47,1.927324,43,Carry,218,Real Betis,7,From Goal Kick,218,Real Betis,,,"['a9c3175f-6187-43c1-9f94-842b0e5c4614', 'ab913731-5866-4604-937d-e8de3902f2e1', 'e274babb-cb20-42ed-89a4-60c3aa443ed9']","[51.5, 56.4]",6697.0,Daniel Ceballos Fernández,9.0,Right Defensive Midfield,,,,,,,,,,,,"[51.1, 57.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368.168,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8094908327829018
e274babb-cb20-42ed-89a4-60c3aa443ed9,925,1,00:22:49.627,22,49,47,0.467807,17,Pressure,218,Real Betis,7,From Goal Kick,221,Levante UD,,,['9c2ef148-262a-48eb-9d06-5459641d7491'],"[71.4, 27.1]",6659.0,Víctor Camarasa Ferrando,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369.627,1.45900000000006,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.23752189094216436
ab913731-5866-4604-937d-e8de3902f2e1,926,1,00:22:50.096,22,50,47,0.699622,30,Pass,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['4af9a539-26b4-499d-98ed-8506f9f1232d'],"[51.1, 57.1]",6697.0,Daniel Ceballos Fernández,9.0,Right Defensive Midfield,6651.0,Joaquín Sánchez Rodríguez,12.831601,0.2601004,1.0,Ground Pass,"[63.5, 60.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370.096,0.46900000000005093,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.2623499031840698
4af9a539-26b4-499d-98ed-8506f9f1232d,927,1,00:22:50.795,22,50,47,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['ab913731-5866-4604-937d-e8de3902f2e1'],"[63.5, 60.4]",6651.0,Joaquín Sánchez Rodríguez,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370.795,0.6990000000000691,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5831488633556164
0266b73a-84c7-4f35-a227-b2cf1c01ddc1,928,1,00:22:50.795,22,50,47,2.483462,43,Carry,218,Real Betis,7,From Goal Kick,218,Real Betis,,,"['31daf5ee-207b-470b-b1a5-fd0cd6db43ef', '4af9a539-26b4-499d-98ed-8506f9f1232d']","[63.5, 60.4]",6651.0,Joaquín Sánchez Rodríguez,12.0,Right Midfield,,,,,,,,,,,,"[62.1, 55.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370.795,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7666395576835137
31daf5ee-207b-470b-b1a5-fd0cd6db43ef,929,1,00:22:53.279,22,53,47,2.185621,30,Pass,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['59d95fb2-896e-48f0-b802-3017c96fbfa5'],"[62.1, 55.4]",6651.0,Joaquín Sánchez Rodríguez,12.0,Right Midfield,6593.0,Martín Montoya Torralbo,42.323162,-1.5377115,1.0,Ground Pass,"[63.5, 13.1]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373.279,2.4839999999999236,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.03696834859373144
59d95fb2-896e-48f0-b802-3017c96fbfa5,930,1,00:22:55.464,22,55,47,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['31daf5ee-207b-470b-b1a5-fd0cd6db43ef'],"[63.5, 13.1]",6593.0,Martín Montoya Torralbo,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375.464,2.1849999999999454,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2817699267300764
0f7a729e-bce7-4a25-93b6-04c4f5ec9406,931,1,00:22:55.464,22,55,47,5.996629,43,Carry,218,Real Betis,7,From Goal Kick,218,Real Betis,,,"['59d95fb2-896e-48f0-b802-3017c96fbfa5', 'fad479b3-cdde-463f-ad15-e510332b0f8a']","[63.5, 13.1]",6593.0,Martín Montoya Torralbo,6.0,Left Back,,,,,,,,,,,,"[77.8, 29.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375.464,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6755063480172473
