id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,off_camera,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_inswinging,foul_won_defensive,pass_cross,out,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,foul_committed_type_id,foul_committed_type_name,pass_cut_back,shot_first_time,clearance_head,clearance_body_part_id,clearance_body_part_name,block_deflection,clearance_left_foot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_aerial_won,shot_deflected,pass_outswinging,pass_deflected,foul_committed_advantage,foul_won_advantage,clearance_right_foot,dribble_overrun,shot_one_on_one,goalkeeper_punched_out,clearance_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_card_id,foul_committed_card_name,ball_recovery_recovery_failure,pass_goal_assist,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_offensive,pass_miscommunication,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
8654ce3f-b18b-40ac-a3fa-07e10acc4385,1840,1,00:43:50.690,43,50,87,1.943032,30,Pass,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['1ee46d63-de7a-47e1-b006-69e08695c84e'],"[27.8, 72.2]",6649.0,Óscar de Marcos Arana,2.0,Right Back,6390.0,Markel Susaeta Laskurain,19.206509,0.026035782,1.0,Ground Pass,"[47.0, 72.7]",40.0,Right Foot,62.0,Free Kick,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630.69,24.715999999999894,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7657041731084191
1ee46d63-de7a-47e1-b006-69e08695c84e,1841,1,00:43:52.634,43,52,87,,42,Ball Receipt*,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['8654ce3f-b18b-40ac-a3fa-07e10acc4385'],"[47.0, 72.7]",6390.0,Markel Susaeta Laskurain,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2632.634,1.94399999999996,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7441218276386696
0b4a42b8-2f1b-49e0-9428-12d1c7e740b9,1842,1,00:43:53.546,43,53,87,0.0,22,Foul Committed,215,Athletic Club,3,From Free Kick,220,Real Madrid,,,['c3f77738-8e69-497c-8f80-a8213affdac8'],"[68.0, 7.4]",19677.0,Karim Benzema,23.0,Center Forward,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633.546,0.9119999999998072,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.32590530994992306
c3f77738-8e69-497c-8f80-a8213affdac8,1843,1,00:43:53.546,43,53,87,0.0,21,Foul Won,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['0b4a42b8-2f1b-49e0-9428-12d1c7e740b9'],"[52.1, 72.7]",6390.0,Markel Susaeta Laskurain,17.0,Right Wing,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633.546,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6824119205428979
26158799-2047-457c-950c-6ace39a5a194,1844,1,00:44:05.479,44,5,88,0.796578,30,Pass,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['2b0f70ea-cc43-453d-aa02-79a7261c4170'],"[54.8, 71.7]",6649.0,Óscar de Marcos Arana,2.0,Right Back,4353.0,Aymeric Laporte,49.806427,-1.5547334,3.0,High Pass,"[55.6, 21.9]",40.0,Right Foot,62.0,Free Kick,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2645.479,11.932999999999993,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5611144758061772
2b0f70ea-cc43-453d-aa02-79a7261c4170,1845,1,00:44:06.276,44,6,88,,42,Ball Receipt*,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['26158799-2047-457c-950c-6ace39a5a194'],"[55.6, 21.9]",4353.0,Aymeric Laporte,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2646.276,0.7970000000000255,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.39803581196516036
59688588-ff4b-4d0f-b649-0a3519dd7446,1846,1,00:44:11.698,44,11,88,2.854934,30,Pass,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['6975dffb-796c-4e09-a475-7c308788e7de'],"[58.5, 24.7]",4353.0,Aymeric Laporte,5.0,Left Center Back,6390.0,Markel Susaeta Laskurain,61.076427,0.9941465,3.0,High Pass,"[91.8, 75.9]",38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2651.698,5.4220000000000255,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3461636434588712
6975dffb-796c-4e09-a475-7c308788e7de,1847,1,00:44:14.553,44,14,88,,42,Ball Receipt*,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['59688588-ff4b-4d0f-b649-0a3519dd7446'],"[91.8, 75.9]",6390.0,Markel Susaeta Laskurain,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2654.553,2.855000000000018,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20207804500808946
0a510515-214a-4500-a93a-d1e4a2f13c65,1848,1,00:44:14.553,44,14,88,4.082983,43,Carry,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,"['34921426-78c0-47aa-968a-a6d0ccb1dbb8', '6975dffb-796c-4e09-a475-7c308788e7de']","[91.8, 75.9]",6390.0,Markel Susaeta Laskurain,17.0,Right Wing,,,,,,,,,,,,"[90.2, 72.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2654.553,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3044871632398798
34921426-78c0-47aa-968a-a6d0ccb1dbb8,1849,1,00:44:18.636,44,18,88,1.144939,30,Pass,215,Athletic Club,3,From Free Kick,215,Athletic Club,,,['ea73df44-076c-4981-9e10-261fa1f901a0'],"[90.2, 72.4]",6390.0,Markel Susaeta Laskurain,17.0,Right Wing,6649.0,Óscar de Marcos Arana,6.7446275,0.2701532,1.0,Ground Pass,"[96.7, 74.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2658.636,4.083000000000084,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8228874110277014
