id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,ball_recovery_recovery_failure,pass_aerial_won,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,interception_outcome_id,interception_outcome_name,shot_first_time,pass_deflected,block_deflection,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_left_foot,foul_committed_advantage,foul_won_advantage,pass_switch,foul_won_defensive,clearance_head,pass_outswinging,pass_technique_id,pass_technique_name,shot_one_on_one,shot_aerial_won,pass_through_ball,pass_inswinging,clearance_aerial_won,foul_committed_card_id,foul_committed_card_name,pass_cut_back,pass_no_touch,dribble_overrun,pass_goal_assist,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_miscommunication,foul_committed_type_id,foul_committed_type_name,foul_committed_penalty,shot_deflected,block_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
a5793b88-4a86-40f9-be80-d4fc25372895,576,1,00:14:20.739,14,20,41,,42,Ball Receipt*,213,Sevilla,7,From Goal Kick,213,Sevilla,,,['b5325f93-a96f-4ddc-8cc8-033bf28e22e3'],,"[56.3, 11.3]",27483.0,Benoît Trémoulinas,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.739,3.4360000000000355,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.36285901449056357
2569bc0a-7e3d-4d53-85be-f39cd468eb37,577,1,00:14:20.739,14,20,41,0.02694,43,Carry,213,Sevilla,7,From Goal Kick,213,Sevilla,,,"['758048c9-cf49-431c-8019-406f557d159c', 'a5793b88-4a86-40f9-be80-d4fc25372895']",,"[56.3, 11.3]",27483.0,Benoît Trémoulinas,6.0,Left Back,,,,,,,,,,,,"[56.3, 11.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.739,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6367389848864893
758048c9-cf49-431c-8019-406f557d159c,578,1,00:14:20.766,14,20,41,2.152477,30,Pass,213,Sevilla,7,From Goal Kick,213,Sevilla,,,['3060d20b-8a75-4074-b05f-cd5c7afddd07'],,"[56.3, 11.3]",27483.0,Benoît Trémoulinas,6.0,Left Back,3497.0,Vicente Iborra De La Fuente,31.797012,0.46646056,3.0,High Pass,"[84.7, 25.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.766,0.02699999999992997,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.25918158291703886
3060d20b-8a75-4074-b05f-cd5c7afddd07,579,1,00:14:22.918,14,22,41,,42,Ball Receipt*,213,Sevilla,7,From Goal Kick,213,Sevilla,,,['758048c9-cf49-431c-8019-406f557d159c'],,"[84.7, 25.6]",3497.0,Vicente Iborra De La Fuente,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.918,2.1520000000000437,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.004436815328092147
107d30de-be79-493f-9f4f-003786d8514d,580,1,00:14:22.918,14,22,41,0.0,4,Duel,213,Sevilla,7,From Goal Kick,217,Barcelona,,,['05bb546a-af89-424d-98b3-1d7faa4fb244'],,"[35.6, 53.8]",10609.0,Jérémy Mathieu,5.0,Left Center Back,,,,,,,,,,,,,True,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.918,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6536622532147632
05bb546a-af89-424d-98b3-1d7faa4fb244,581,1,00:14:22.918,14,22,41,2.091831,30,Pass,213,Sevilla,7,From Goal Kick,213,Sevilla,,,"['107d30de-be79-493f-9f4f-003786d8514d', '77ad9943-ea26-49a0-bb23-a11b98c4b8d6']",,"[84.5, 26.3]",3497.0,Vicente Iborra De La Fuente,19.0,Center Attacking Midfield,,,28.407393,1.222326,3.0,High Pass,"[94.2, 53.0]",,,,,,True,,,,,,,,9.0,Incomplete,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.918,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8576705850472661
ec1327a9-a6b6-47bb-b928-3f68b7b0d7ea,582,1,00:14:25.010,14,25,41,0.0,4,Duel,213,Sevilla,7,From Goal Kick,213,Sevilla,,,['77ad9943-ea26-49a0-bb23-a11b98c4b8d6'],,"[94.2, 53.0]",6401.0,Kevin Gameiro,23.0,Center Forward,,,,,,,,,,,,,True,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.01,2.0919999999999845,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7972169340606386
77ad9943-ea26-49a0-bb23-a11b98c4b8d6,583,1,00:14:25.010,14,25,42,1.626162,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,"['05bb546a-af89-424d-98b3-1d7faa4fb244', '9ea5f3ed-c737-489c-a531-8962cd9c5bde', 'ec1327a9-a6b6-47bb-b928-3f68b7b0d7ea']",,"[25.9, 27.1]",5211.0,Jordi Alba Ramos,6.0,Left Back,4691.0,Claudio Andrés Bravo Muñoz,18.740864,2.69465,3.0,High Pass,"[9.0, 35.2]",,,66.0,Recovery,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.01,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.779058005041133
9ea5f3ed-c737-489c-a531-8962cd9c5bde,584,1,00:14:26.636,14,26,42,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['77ad9943-ea26-49a0-bb23-a11b98c4b8d6'],,"[9.0, 35.2]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866.636,1.6259999999999764,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3921927934334237
4e43c4a3-387d-48b1-a7c1-a9de19ec6371,585,1,00:14:26.636,14,26,42,2.097056,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['9ea5f3ed-c737-489c-a531-8962cd9c5bde', 'd9d9e8e5-017c-44a4-a1aa-f10ab2d053f1']",,"[9.0, 35.2]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,,,,,,,,,,,,"[14.8, 31.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866.636,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.27203221781529807
d9d9e8e5-017c-44a4-a1aa-f10ab2d053f1,586,1,00:14:28.733,14,28,42,1.57229,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['88a278aa-a2f3-41dd-8b16-d97250d2ee9c'],,"[14.8, 31.2]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,5213.0,Gerard Piqué Bernabéu,22.003635,1.5889761,1.0,Ground Pass,"[14.4, 53.2]",69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868.733,2.09699999999998,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.04010862650988478
88a278aa-a2f3-41dd-8b16-d97250d2ee9c,587,1,00:14:30.305,14,30,42,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['d9d9e8e5-017c-44a4-a1aa-f10ab2d053f1'],,"[14.4, 53.2]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.305,1.5720000000000027,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8942485458156043
492b6487-41d2-4846-b17f-65a8a7502de9,588,1,00:14:30.305,14,30,42,3.457408,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['87ffaeca-2df1-4608-aea8-fd2fe40074f1', '88a278aa-a2f3-41dd-8b16-d97250d2ee9c']",,"[14.4, 53.2]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,,,,,,,,,,,,"[19.5, 55.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.305,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8342168695654018
87ffaeca-2df1-4608-aea8-fd2fe40074f1,589,1,00:14:33.763,14,33,42,0.987722,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['cd84334c-f442-439b-b3f0-b3eaf9952b44'],,"[19.5, 55.3]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,5470.0,Ivan Rakitić,13.318408,0.05258306,1.0,Ground Pass,"[32.8, 56.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873.763,3.4580000000000837,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.30607651214258436
cd84334c-f442-439b-b3f0-b3eaf9952b44,590,1,00:14:34.751,14,34,42,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['87ffaeca-2df1-4608-aea8-fd2fe40074f1'],,"[32.8, 56.0]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.751,0.9879999999999427,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5525703928359187
