id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,pass_cross,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_recovery_recovery_failure,counterpress,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_technique_id,pass_technique_name,pass_outswinging,out,interception_outcome_id,interception_outcome_name,pass_through_ball,off_camera,duel_outcome_id,duel_outcome_name,pass_switch,foul_won_defensive,miscontrol_aerial_won,shot_first_time,goalkeeper_end_location,foul_committed_advantage,foul_won_advantage,pass_goal_assist,shot_one_on_one,clearance_right_foot,bad_behaviour_card_id,bad_behaviour_card_name,pass_miscommunication,foul_committed_card_id,foul_committed_card_name,dribble_overrun,pass_cut_back,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_left_foot,clearance_other,pass_no_touch,foul_committed_penalty,foul_won_penalty,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,shot_open_goal,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
323624fd-360e-4090-8475-3a79b3ebd559,416,1,00:09:57.468,9,57,21,,42,Ball Receipt*,214,Espanyol,4,From Throw In,214,Espanyol,,,['533eb35c-135a-4351-a017-1e0f1ce046ea'],"[49.4, 8.3]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.468,1.7029999999999745,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4230986366351851
460dd7ee-015f-4e2f-85c8-3de40309774d,417,1,00:09:57.468,9,57,21,1.337348,30,Pass,214,Espanyol,4,From Throw In,214,Espanyol,,,"['0704d10a-5488-46d0-8101-7eefa01fa6c9', '3bdcdcb3-3d08-4cf3-a78a-91e9e8c6b1c9', '55ec7c98-7bb3-48ba-8c3b-9f7ff8def239']","[49.4, 9.3]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,6867.0,Papa Kouly Diop,15.337862,0.9755606,3.0,High Pass,"[58.0, 22.0]",,,,,,True,9.0,Incomplete,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.468,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.07336087478017184
3bdcdcb3-3d08-4cf3-a78a-91e9e8c6b1c9,418,1,00:09:57.468,9,57,21,0.0,4,Duel,214,Espanyol,4,From Throw In,322,Eibar,,,['460dd7ee-015f-4e2f-85c8-3de40309774d'],"[70.7, 70.8]",26736.0,Borja Ekiza Imaz,2.0,Right Back,,,,,,,,,,,,,True,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.468,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.11179831497249826
55ec7c98-7bb3-48ba-8c3b-9f7ff8def239,419,1,00:09:58.805,9,58,21,,42,Ball Receipt*,214,Espanyol,4,From Throw In,214,Espanyol,,,['460dd7ee-015f-4e2f-85c8-3de40309774d'],"[54.4, 23.5]",6867.0,Papa Kouly Diop,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.805,1.336999999999989,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5895482244256133
0704d10a-5488-46d0-8101-7eefa01fa6c9,420,1,00:09:58.805,9,58,22,1.84204,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['0a1ff08e-ffdb-459b-8f7e-002d8a486180', '460dd7ee-015f-4e2f-85c8-3de40309774d']","[62.1, 58.1]",6557.0,Adrián González Morales,11.0,Left Defensive Midfield,6566.0,Borja González Tomás,9.558765,-0.8372036,3.0,High Pass,"[68.5, 51.0]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.805,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.04564301885892741
0a1ff08e-ffdb-459b-8f7e-002d8a486180,421,1,00:10:00.647,10,0,22,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['0704d10a-5488-46d0-8101-7eefa01fa6c9'],"[68.5, 51.0]",6566.0,Borja González Tomás,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.647,1.8420000000000982,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7777915353042029
03bcce73-3c70-4d80-bf4b-8b4b613b0423,422,1,00:10:00.647,10,0,22,1.162753,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['351a1e20-013f-41b9-8c21-6800770657a9', '817b6bd0-48d6-4738-a852-d74048ad3832']","[68.5, 51.0]",6566.0,Borja González Tomás,24.0,Left Center Forward,6700.0,Sergio Enrich Ametller,12.692123,-0.1742158,3.0,High Pass,"[81.0, 48.8]",37.0,Head,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.647,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.2204021030335218
351a1e20-013f-41b9-8c21-6800770657a9,423,1,00:10:01.810,10,1,22,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['03bcce73-3c70-4d80-bf4b-8b4b613b0423'],"[80.2, 54.0]",6700.0,Sergio Enrich Ametller,22.0,Right Center Forward,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.81,1.1629999999998972,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4317072640043834
817b6bd0-48d6-4738-a852-d74048ad3832,424,1,00:10:01.810,10,1,22,2.945677,30,Pass,322,Eibar,1,Regular Play,214,Espanyol,,,"['03bcce73-3c70-4d80-bf4b-8b4b613b0423', '9df476e7-3d83-4b25-a5cf-9db354454bb3', 'aad582df-ab6f-4298-8a3f-e8551a5ab5ba']","[39.1, 31.3]",6762.0,Álvaro González Soberón,3.0,Right Center Back,6766.0,Gerard Moreno Balaguero,40.8496,-0.40778473,3.0,High Pass,"[76.6, 15.1]",38.0,Left Foot,64.0,Interception,,,9.0,Incomplete,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.81,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6573265005957988
9df476e7-3d83-4b25-a5cf-9db354454bb3,425,1,00:10:04.756,10,4,22,,42,Ball Receipt*,322,Eibar,1,Regular Play,214,Espanyol,,,['817b6bd0-48d6-4738-a852-d74048ad3832'],"[77.1, 14.9]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.756,2.9460000000000264,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.32911673554018017
