id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,foul_committed_advantage,foul_won_advantage,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_no_touch,pass_aerial_won,out,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,foul_won_defensive,off_camera,pass_switch,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,dribble_nutmeg,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_technique_id,pass_technique_name,pass_through_ball,ball_recovery_recovery_failure,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_outswinging,pass_inswinging,clearance_left_foot,foul_committed_type_id,foul_committed_type_name,dribble_no_touch,pass_cut_back,shot_one_on_one,clearance_other,clearance_right_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,miscontrol_aerial_won,dribble_overrun,pass_deflected,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
f3703b6a-e30f-45ec-a4bf-845d11f710c6,1310,1,00:32:42.529,32,42,69,1.656342,30,Pass,213,Sevilla,3,From Free Kick,213,Sevilla,,,"['1667da12-aa71-4c91-b921-29f604d23292', '3cdf73d5-9bab-4a06-8e69-dce9a2f50601']","[105.0, 57.0]",3253.0,Adil Rami,3.0,Right Center Back,,,16.999413,-0.7271309,3.0,High Pass,"[117.7, 45.7]",,,,,,True,,,,,,,,,,9.0,Incomplete,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.529,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.3217817987074504
3cdf73d5-9bab-4a06-8e69-dce9a2f50601,1311,1,00:32:44.186,32,44,70,0.0,2,Ball Recovery,322,Eibar,6,From Counter,322,Eibar,,,['f3703b6a-e30f-45ec-a4bf-845d11f710c6'],"[2.4, 34.4]",10763.0,Asier Riesgo Unamuno,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.186,1.6569999999999254,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6083960008036529
b35e6eb6-053d-4565-8f0e-b74c4971fdcf,1312,1,00:32:44.186,32,44,70,6.584547,43,Carry,322,Eibar,6,From Counter,322,Eibar,,,"['211fab4f-bbf7-4faa-a0d3-62d20cbf11c8', '3cdf73d5-9bab-4a06-8e69-dce9a2f50601']","[2.4, 34.4]",10763.0,Asier Riesgo Unamuno,1.0,Goalkeeper,,,,,,,,,,,,"[15.4, 30.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964.186,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18655115291996083
211fab4f-bbf7-4faa-a0d3-62d20cbf11c8,1313,1,00:32:50.770,32,50,70,3.420953,30,Pass,322,Eibar,6,From Counter,322,Eibar,,,['2565fe83-1359-448f-b191-7d259774da5d'],"[15.4, 30.3]",10763.0,Asier Riesgo Unamuno,1.0,Goalkeeper,6700.0,Sergio Enrich Ametller,52.568146,0.28143525,3.0,High Pass,"[65.9, 44.9]",68.0,Drop Kick,,,,,,,,,,,,,,77.0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.77,6.58400000000006,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8364321651087633
2565fe83-1359-448f-b191-7d259774da5d,1314,1,00:32:54.191,32,54,70,,42,Ball Receipt*,322,Eibar,6,From Counter,322,Eibar,,,['211fab4f-bbf7-4faa-a0d3-62d20cbf11c8'],"[64.8, 44.2]",6700.0,Sergio Enrich Ametller,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.191,3.421000000000049,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8118021831012537
6d764e6c-4d89-46f7-ad36-9ce03d8a8ed2,1315,1,00:32:54.191,32,54,70,0.0,22,Foul Committed,322,Eibar,6,From Counter,213,Sevilla,,,['38f3a0b3-b8d7-4eef-8e94-84b3f36666b4'],"[57.2, 37.5]",27483.0,Benoît Trémoulinas,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,6 Seconds,,,,,,,,,,,,,1974.191,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0384065315795209
38f3a0b3-b8d7-4eef-8e94-84b3f36666b4,1316,1,00:32:54.191,32,54,70,0.0,21,Foul Won,322,Eibar,6,From Counter,322,Eibar,,,['6d764e6c-4d89-46f7-ad36-9ce03d8a8ed2'],"[62.9, 42.6]",6700.0,Sergio Enrich Ametller,24.0,Left Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.191,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5141390555748315
5ac384ac-5bb8-4639-8efd-cb6aebc66f6e,1317,1,00:33:05.769,33,5,71,2.536983,30,Pass,322,Eibar,3,From Free Kick,322,Eibar,,,['8c0a5170-a9fe-41cf-9465-193ffd46399c'],"[65.4, 44.6]",24453.0,Josip Radošević,11.0,Left Defensive Midfield,6776.0,David Juncà Reñé,39.718132,-1.5405788,1.0,Ground Pass,"[66.6, 4.9]",40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985.769,11.577999999999975,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.5335782156149592
8c0a5170-a9fe-41cf-9465-193ffd46399c,1318,1,00:33:08.306,33,8,71,,42,Ball Receipt*,322,Eibar,3,From Free Kick,322,Eibar,,,['5ac384ac-5bb8-4639-8efd-cb6aebc66f6e'],"[66.6, 4.9]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988.306,2.5370000000000346,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4253969821245328
20eb8795-e20f-4ead-a057-9c9361f3670d,1319,1,00:33:09.556,33,9,71,1.150095,30,Pass,322,Eibar,3,From Free Kick,322,Eibar,,,['6c36e4f2-187c-44cb-b1b3-478ba3e2f604'],"[66.6, 4.9]",6776.0,David Juncà Reñé,6.0,Left Back,6775.0,Daniel García Carrillo,8.20975,1.6195382,1.0,Ground Pass,"[66.2, 13.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989.556,1.25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.24876899341994285
